count$path$bad_name$	suggested_name
   18$_NO_HIGHERTAXON$? Conospermum none_2714 enervia$	Conospermum sp_none_2714_enervia
    1$_NO_HIGHERTAXON$Abies balsamea$	Abies sp_ms_balsamea
    1$_NO_HIGHERTAXON$Abies firma$	Abies sp_ms_firma
    1$_NO_HIGHERTAXON$Abies$	Abies
    1$_NO_HIGHERTAXON$Abutilon indicum$	Abutilon sp_ms_indicum
    3$_NO_HIGHERTAXON$Abutilon lepidum$	Abutilon sp_ms_lepidum
    1$_NO_HIGHERTAXON$Abutilon leucopetalum$	Abutilon sp_ms_leucopetalum
    8$_NO_HIGHERTAXON$Abutilon otocarpum$	Abutilon sp_ms_otocarpum
    1$_NO_HIGHERTAXON$Abutilon pritzelianum$	Abutilon sp_ms_pritzelianum
    3$_NO_HIGHERTAXON$Acacia Iysiphloia$	Acacia sp_Iysiphloia
  112$_NO_HIGHERTAXON$Acacia acinacea$	Acacia sp_ms_acinacea
   41$_NO_HIGHERTAXON$Acacia ancistrocarpa$	Acacia sp_ms_ancistrocarpa
   19$_NO_HIGHERTAXON$Acacia aneura var. aneura$	Acacia sp_ms_aneura
   11$_NO_HIGHERTAXON$Acacia aneura var. latifolia$	Acacia sp_ms_aneura
   20$_NO_HIGHERTAXON$Acacia aneura$	Acacia sp_ms_aneura
    1$_NO_HIGHERTAXON$Acacia armata$	Acacia sp_ms_armata
    7$_NO_HIGHERTAXON$Acacia ausfeldii$	Acacia sp_ms_ausfeldii
    1$_NO_HIGHERTAXON$Acacia baileyana x dealbata$	Acacia sp_baileyana_x_dealbata
   98$_NO_HIGHERTAXON$Acacia baileyana$	Acacia sp_ms_baileyana
   20$_NO_HIGHERTAXON$Acacia bivenosa$	Acacia sp_ms_bivenosa
   29$_NO_HIGHERTAXON$Acacia brachybotrya$	Acacia sp_ms_brachybotrya
    3$_NO_HIGHERTAXON$Acacia brachystachya$	Acacia sp_ms_brachystachya
   36$_NO_HIGHERTAXON$Acacia burkittii$	Acacia sp_ms_burkittii
    1$_NO_HIGHERTAXON$Acacia buxifolia$	Acacia sp_ms_buxifolia
    1$_NO_HIGHERTAXON$Acacia cambagei$	Acacia sp_ms_cambagei
   14$_NO_HIGHERTAXON$Acacia cf. brachystachya$	Acacia sp_cf_brachystachya
    3$_NO_HIGHERTAXON$Acacia cf. platycarpa &#40;leptoloba&#41;$	Acacia sp_cf_platycarpa_leptoloba
    6$_NO_HIGHERTAXON$Acacia chrysocephala$	Acacia sp_ms_chrysocephala
    1$_NO_HIGHERTAXON$Acacia citrinoviridis$	Acacia sp_ms_citrinoviridis
    1$_NO_HIGHERTAXON$Acacia constricta$	Acacia sp_ms_constricta
    1$_NO_HIGHERTAXON$Acacia coolgardiensis$	Acacia sp_ms_coolgardiensis
   16$_NO_HIGHERTAXON$Acacia coriacea pergranulata$	Acacia sp_coriacea_pergranulata
