rank	count	Coll. end date

1	57290	NULL
2	913	0000-00-00
3	191	1958-12-16
4	156	1965-11-20
5	149	1964-07-03
6	129	2009-01-30
7	112	1961-05-24
8	107	1960-08-21
9	106	2005-08-03
10	79	1964-05-09
11	75	1959-07-19
12	72	1956-11-13
13	71	1959-11-20
14	64	1948-07-05
15	61	1978-02-12
16	59	1964-08-16
17	58	1956-10-06
18=	47	1961-04-15
18=	47	1982-08-20
20	43	1956-06-20
21	42	1977-01-18
22	37	1975-12-31
23	35	1965-02-07
24=	34	1960-06-19
24=	34	1962-10-02
26	30	1983-05-02
27	28	1964-02-15
28	26	1986-07-03
29=	25	1959-06-24
29=	25	1973-08-14
29=	25	2005-04-25
32	24	1958-12-31
33=	21	1956-05-13
33=	21	2006-03-05
35	19	1964-08-20
36=	17	1953-05-11
36=	17	1962-07-07
36=	17	1980-02-28
36=	17	1982-11-06
40=	16	1956-04-12
40=	16	1960-07-07
40=	16	1972-01-08
40=	16	1985-04-29
40=	16	2000-03-22
45=	15	1948-06-26
45=	15	1959-07-23
45=	15	1982-09-12
45=	15	1984-11-24
45=	15	1985-10-22
45=	15	1998-04-08
51=	14	1961-05-15
51=	14	1966-11-26
51=	14	1979-03-19
51=	14	1981-11-05
51=	14	2006-11-23
56=	13	1963-12-31
56=	13	1971-12-14
56=	13	1981-11-09
56=	13	2005-12-09
56=	13	2006-02-01
61=	12	1955-07-18
61=	12	1960-04-24
61=	12	1961-04-14
61=	12	1961-05-19
61=	12	1964-05-15
61=	12	1981-10-31
61=	12	1984-09-27
61=	12	2001-11-03
61=	12	2005-01-30
70=	11	1956-07-06
70=	11	1959-10-14
70=	11	1973-04-27
70=	11	1985-12-08
70=	11	1986-06-26
70=	11	1987-10-29
70=	11	2005-07-09
77=	10	1967-02-06
77=	10	1976-07-09
77=	10	1985-11-22
77=	10	2006-03-04
81=	9	1958-11-18
81=	9	1960-02-09
81=	9	1967-12-20
81=	9	1979-08-20
81=	9	1979-09-05
81=	9	1998-09-18
81=	9	2001-11-07
81=	9	2001-12-15
89=	8	1938-11-15
89=	8	1956-04-18
89=	8	1956-10-09
89=	8	1959-08-15
89=	8	1962-01-31
89=	8	1962-02-15
89=	8	1979-03-23
89=	8	1979-07-15
89=	8	1980-10-29
89=	8	1985-12-10
89=	8	1986-03-31
89=	8	1995-09-15
89=	8	1997-12-20
89=	8	2001-11-05
103=	7	1948-05-15
103=	7	1962-08-04
103=	7	1964-10-17
103=	7	1972-01-31
103=	7	1975-06-28
103=	7	1980-10-16
103=	7	1982-04-26
103=	7	1985-06-03
103=	7	1990-11-04
103=	7	1990-12-05
103=	7	1995-11-26
103=	7	1997-10-12
103=	7	1997-12-17
103=	7	1999-09-13
117=	6	1932-04-19
117=	6	1936-01-22
117=	6	1958-07-25
117=	6	1959-05-11
117=	6	1959-10-07
117=	6	1961-03-21
117=	6	1961-05-28
117=	6	1962-09-02
117=	6	1964-02-18
117=	6	1967-06-25
117=	6	1974-03-10
117=	6	1975-06-30
117=	6	1978-11-16
117=	6	1979-08-17
117=	6	1982-01-18
117=	6	1984-11-05
117=	6	1986-07-06
117=	6	1987-08-23
117=	6	1988-12-21
136=	5	1958-07-09
136=	5	1958-10-11
136=	5	1958-12-14
136=	5	1959-02-19
136=	5	1959-12-01
136=	5	1961-11-08
136=	5	1962-10-30
136=	5	1963-03-13
136=	5	1972-11-27
136=	5	1976-12-14
136=	5	1978-11-25
136=	5	1981-06-07
136=	5	1981-11-08
136=	5	1990-01-15
136=	5	1990-09-11
136=	5	1999-12-13
136=	5	2004-10-05
153=	4	1952-02-12
153=	4	1953-10-04
153=	4	1956-04-15
153=	4	1956-10-01
153=	4	1956-10-29
153=	4	1956-12-06
153=	4	1959-01-14
153=	4	1962-09-27
153=	4	1965-10-16
153=	4	1965-12-24
153=	4	1967-09-01
153=	4	1972-09-19
153=	4	1972-11-11
153=	4	1973-08-18
153=	4	1974-01-06
153=	4	1974-01-20
153=	4	1974-08-01
153=	4	1975-08-08
153=	4	1978-11-05
153=	4	1979-03-04
153=	4	1980-08-29
153=	4	1980-10-03
153=	4	1981-03-05
153=	4	1981-11-07
153=	4	1981-12-02
153=	4	1985-11-29
153=	4	1986-02-28
153=	4	1986-12-02
153=	4	1990-01-06
153=	4	1996-10-20
153=	4	1997-12-21
153=	4	1998-04-02
153=	4	1999-12-16
153=	4	2000-10-03
153=	4	2004-03-14
153=	4	2004-04-20
153=	4	2010-01-20
190=	3	1932-11-07
190=	3	1935-08-22
190=	3	1935-09-05
190=	3	1950-09-01
190=	3	1956-06-22
190=	3	1957-02-09
190=	3	1957-11-14
190=	3	1958-06-29
190=	3	1958-07-21
190=	3	1958-08-30
190=	3	1958-09-05
190=	3	1958-11-15
190=	3	1958-12-15
190=	3	1959-01-07
190=	3	1959-09-30
190=	3	1959-11-18
190=	3	1961-12-03
190=	3	1962-10-09
190=	3	1964-05-25
190=	3	1967-05-06
190=	3	1968-04-14
190=	3	1968-10-16
190=	3	1970-08-28
190=	3	1975-05-12
190=	3	1975-07-09
190=	3	1975-07-13
190=	3	1975-07-15
190=	3	1976-07-05
190=	3	1976-07-10
190=	3	1977-04-11
190=	3	1979-07-13
190=	3	1979-07-24
190=	3	1979-10-09
190=	3	1979-11-13
190=	3	1979-12-31
190=	3	1980-08-23
190=	3	1980-10-30
190=	3	1981-05-03
190=	3	1982-04-18
190=	3	1982-12-03
190=	3	1983-05-19
190=	3	1983-12-19
190=	3	1984-11-09
190=	3	1985-03-17
190=	3	1986-04-24
190=	3	1986-07-10
190=	3	1986-12-12
190=	3	1987-08-19
190=	3	1989-12-08
190=	3	1991-01-19
190=	3	1993-07-15
190=	3	1995-01-09
190=	3	1996-07-24
190=	3	1997-01-01
190=	3	1997-03-01
190=	3	1999-01-13
190=	3	1999-03-18
190=	3	2002-12-08
190=	3	2005-09-28
190=	3	2006-01-12
190=	3	2006-03-06
190=	3	2006-03-10
252=	2	1945-01-01
252=	2	1953-05-04
252=	2	1953-07-13
252=	2	1956-06-09
252=	2	1956-09-18
252=	2	1956-09-24
252=	2	1956-10-20
252=	2	1956-11-03
252=	2	1957-11-25
252=	2	1958-06-26
252=	2	1958-06-30
252=	2	1958-08-14
252=	2	1958-09-30
252=	2	1958-10-20
252=	2	1958-11-19
252=	2	1958-12-26
252=	2	1959-01-17
252=	2	1959-06-18
252=	2	1959-08-07
252=	2	1959-08-31
252=	2	1959-10-23
252=	2	1959-11-15
252=	2	1959-11-25
252=	2	1960-04-30
252=	2	1960-05-05
252=	2	1961-02-20
252=	2	1962-10-28
252=	2	1962-11-26
252=	2	1963-02-17
252=	2	1963-11-08
252=	2	1963-12-07
252=	2	1964-06-05
252=	2	1967-02-21
252=	2	1967-02-28
252=	2	1967-11-27
252=	2	1968-03-22
252=	2	1968-03-27
252=	2	1970-06-01
252=	2	1970-09-30
252=	2	1972-07-05
252=	2	1975-02-04
252=	2	1975-06-29
252=	2	1976-07-04
252=	2	1977-03-27
252=	2	1978-09-26
252=	2	1979-07-09
252=	2	1980-06-15
252=	2	1980-08-10
252=	2	1980-12-06
252=	2	1981-02-25
252=	2	1981-05-17
252=	2	1981-09-30
252=	2	1981-10-09
252=	2	1981-10-23
252=	2	1982-01-20
252=	2	1982-02-04
252=	2	1982-03-28
252=	2	1982-04-29
252=	2	1982-09-10
252=	2	1982-09-20
252=	2	1982-10-02
252=	2	1983-08-09
252=	2	1984-11-16
252=	2	1984-12-12
252=	2	1985-01-07
252=	2	1985-03-20
252=	2	1985-03-25
252=	2	1986-02-16
252=	2	1987-01-14
252=	2	1988-07-28
252=	2	1988-08-26
252=	2	1990-02-10
252=	2	1990-11-10
252=	2	1990-11-15
252=	2	1993-04-09
252=	2	1995-04-06
252=	2	1998-04-04
252=	2	1998-11-20
252=	2	1998-11-27
252=	2	1999-01-19
252=	2	2000-01-28
252=	2	2000-03-24
252=	2	2001-12-13
252=	2	2004-04-30
252=	2	2005-11-02
252=	2	2005-12-11
252=	2	2005-12-12
252=	2	2006-03-07
252=	2	2006-03-09
341=	1	1913-12-12
341=	1	1919-04-30
341=	1	1928-11-01
341=	1	1938-08-30
341=	1	1945-10-12
341=	1	1950-03-12
341=	1	1951-05-22
341=	1	1953-03-01
341=	1	1953-03-30
341=	1	1955-05-22
341=	1	1956-03-29
341=	1	1956-06-17
341=	1	1957-03-22
341=	1	1957-12-10
341=	1	1958-06-01
341=	1	1958-06-23
341=	1	1958-07-04
341=	1	1958-07-06
341=	1	1958-07-26
341=	1	1958-10-05
341=	1	1958-10-07
341=	1	1958-10-21
341=	1	1958-11-07
341=	1	1958-12-17
341=	1	1958-12-22
341=	1	1959-01-23
341=	1	1959-01-25
