rank	count	DetDate

1	33928	NULL
2	5706	2011
3	4669	2007
4	4526	2009
5	3434	2006
6	2163	2016
7	2101	2012
8	2031	2010
9	1156	2013
10	987	2008
11	492	2015
12	188	1982
13	136	2014
14	96	1984
15	82	2005
16	72	2001
17	35	1989
18	34	1956
19	33	1962
20	20	1983
21	16	1961
22	15	1969
23	13	2002
24=	12	1965
24=	12	1994
26=	11	1976
26=	11	1977
26=	11	1987
29=	9	1973
29=	9	1975
31=	8	1972
31=	8	1988
33	6	1927
34	5	1957
35=	4	1955
35=	4	1995
35=	4	1996
38=	3	1978
38=	3	1981
38=	3	2003
41=	2	1873
41=	2	1914
41=	2	1928
41=	2	1929
41=	2	1954
41=	2	1974
47=	1	1861
47=	1	1885
47=	1	1904
47=	1	1908
47=	1	1920
47=	1	1951
47=	1	1953
47=	1	1958
47=	1	1963
47=	1	1991
47=	1	1992
47=	1	1993
47=	1	1998
47=	1	1999
47=	1	2000

62083	TOTAL
