rank	count	DeterminationVB

1	46028	NULL
2	4572	Weirauch and Schuh
3	621	Wallabicoris waitzii Schuh and Pedraza
4	421	Wallabicoris pityrodii Schuh and Pedraza
5	413	Wallabicoris rutidosi Schuh and Pedraza
6	407	Sejanus albisignatus &#40;Knight&#41;, det. K. Menard 2008
7	338	Wallabicoris lachnostachyos Schuh and Pedraza
8	317	Wallabicoris ozothamni Schuh and Pedraza
9	300	Diomocoris nebulosus &#40;Poppius, 1914&#41;
10	292	Wallabicoris pultanaei Schuh and Pedraza
11	263	Wallabicoris pinochii Schuh and Pedraza
12	259	Sejanus meridionalis Carvalho and Gross, det. K. Menard 2008
13	225	Wallabicoris spyridii Schuh and Pedraza
14	219	Rayeria basifer &#40;Walker, 1873&#41;
15	198	G004 &#40;AmoukM&#41; S001
16	194	Wallabicoris dicrastyli Schuh and Pedraza
17	193	Wallabicoris newcastelii Schuh and Pedraza
18	186	Sejanus vividus Carvalho and Gross, det. K. Menard 2008
19	176	Sejanus mcdonaldi Carvalho and Gross, det. K. Menard 2008
20	127	Felisacus sp.
21	123	G004 &#40;AmoukM&#41; S009
22	121	Ommatodema sp_n_c
23	114	Ausejanus tiramisu, det. K. Menard 2008
24	112	Wallabicoris schwartzi Schuh and Pedraza
25=	111	Diplazicoris lombokianus
25=	111	Sejanus albisignatus &#40;Knight&#41;, det. Menard 2009
25=	111	Wallabicoris cassisi Schuh and Pedraza
28	110	G004 &#40;AmoukM&#41; S005
29	108	Wallabicoris ellae Schuh and Pedraza
30	105	Inoma sp.18 Cassis and Symonds
31	99	Orthotylini
32	98	Wallabicoris spyridiellus Schuh and Pedraza
33	88	Hekista laudator
34	83	Felisacus longiceps Poppius, 1915
35	82	Wallabicoris tasmanensis Schuh and Pedraza
36	81	Sejanus femoralis, det. K. Menard 2008
37	80	Rayieria acacia
38	78	Sejanus neboissi Carvalho and Gross, det. K. Menard 2008
39	77	Sejanus albisignatus &#40;Knight&#41;, det. K. Menard 2009
40=	74	Leucophoroptera fasciatipennis Poppius, det. K. Menard 2010
40=	74	Ragwelellus suspectus &#40;Distant, 1904&#41;
42	70	Arafuramiris gressitti Schuh, det K. Menard 2010
43	69	Stenotus nigrifrons Schwartz mans. n.
44	67	Wallabicoris rhamnicola Schuh and Pedraza
45=	66	Wallabicoris pityrodiellus Schuh and Pedraza
45=	66	Weirach and Schuh
47=	65	Rayieria kennedyi Namyatova and Cassis, 2013
47=	65	Wallabicoris thomasii Schuh and Pedraza
49	64	G004 &#40;AmoukM&#41; S002
50	62	Ommatodema sp_n_d
51	60	Rayieria basifer &#40;Walker, 1873&#41;
52	59	Leucophoroptera cavenda Carvalho and Gross, det. K. Menard 2010
53	58	Wallabicoris chrysocephali Schuh and Predraza
54	56	Rayieria kennedyi
55	55	Blesingia gularis Carvalho and Gross, det. K. Menard 2010
56	53	Wallabicoris paradicrastyli Schuh and Predraza
57=	52	Linacoris LO3
57=	52	Wallabicoris cuneotinctus Schuh and Pedraza
59	50	Ragwelellus thetis &#40;Kirkaldy, 1908&#41;
60=	49	Campylomma liebknechti
60=	49	Ommatodema sp_n_a2
60=	49	Ommatodema sp_n_f
60=	49	Wallabicoris helichrysi Schuh and Pedraza
64	46	Papuamimus maai Schuh, det. K. Menard 2010
65=	41	Leucophoroptera quadrimaculata Poppius, det. K. Menard 2010
65=	41	Micromimetus pictipes Eyles, 1999
67	40	Sejanus tasmaniae Carvalho and Gross
68	39	Sejanus albisignatus &#40;Knight&#41;, det. K. Menard 2010
69=	38	Decomia notata Schuh
69=	38	G004 &#40;AmoukM&#41; S008
69=	38	Sejanus luteoelytratus, det. K. Menard 2008
72=	36	Ausejanus albisignatus &#40;Knight&#41;, det. K. Menard 2008
72=	36	Scholtzia linnavuorii Schuh
74	35	Helopeltis sp.
75=	34	Laryngodus luteomaculatus Slater et al.
75=	34	Rayieria acaciae Namyatova &#38; Cassis, 2013
77	33	Pachypeltis reuteri &#40;Stal, 1871&#41;
78	32	Xyphoidellus aquilus Weirach and Schuh
79	31	Wallabicoris cassisi Schuh and Predraza
80=	30	Coridromius det. R.T. Schuh
80=	30	Taylorilygus apicalis &#40;Fieber, 1861&#41;
82	29	Inoma sp.06
83	28	Wallabicoris halganii Schuh and Pedraza
84=	27	Ragwelellus vittatus &#40;Distant, 1904&#41;
84=	27	Rayieria decorata Namyatova &#38; Cassis, 2013
84=	27	Sejanus freycinet MS, det. K. Menard 2010
84=	27	Sejanus tasmanie Carvalho and Gross, det. K. Menard 2008
88=	26	Felisacus elegantulus &#40;Reuter, 1904&#41;
88=	26	Sejanus albisignatus &#40;Knight&#41;, det. Menard 2008
88=	26	Wallabicoris pomaderi Schuh and Pedraza
91=	25	Ausejanus tiramisu, det. K. Menard 2007
91=	25	Ommatodema sp_n_c Schwart and Cassis
91=	25	Ragwelellus pallipes &#40;Odhiambo, 1962&#41;
91=	25	Sejanus femoralis Carvalho and Gross, det. K. Menard 2009
91=	25	Wallabicoris pimelii Schuh and Predraza
96=	24	Laryngodus cervantes Slater et al.
96=	24	Stenotus gressitti
98	23	Felisacus javanus Reuter, 1908
99=	22	Collessicoris bellissimus Carvalho and Gross, det. K. Menard 2009
99=	22	Euander lacertosus &#40;Erichson&#41;
101=	21	G004 &#40;AmoukM&#41; S006
101=	21	Neocallitrosella madeleineae Cassis and Schwartz
103=	20	Ommatodema sp_n_b2
103=	20	Rayeria acaciae
103=	20	Rayieria sp.
106=	19	Ommatodema sp_n_c Schwartz and Cassis
106=	19	Sejanus howardae Carvalho and Gross, det. K. Menard 2010
108=	18	Sejanus funerellus Schuh, det. R.T. Schuh 1982
108=	18	Sejanus sinuosus Schuh, det. K. Menard 2009
108=	18	Wallabicoris prostantheri Schuh and Pedraza
111=	17	Bifidostylus omnivora Schuh and Schwartz
