rank	count	HerbID

1	23409	NULL
2	603	Perth 05671396
3	493	PERTH 05236819
4	466	Perth 05671035
5	426	Perth 05054923
6	370	NSW 395987
7	348	NSW666254
8	335	NSW666375
9	315	NSW 395912
10	300	Perth 05120195
11	293	PERTH 05236622
12	284	Perth 05120640
13	276	Perth 05120497
14	272	Perth 05099706
15	269	NSW427516
16	260	PERTH 05236886
17	259	NSW658128
18	255	Perth 05056454
19	250	NSW 395968
20	248	NSW427507
21	234	NSW666424
22	232	NSW427521
23	212	Perth 05099862
24	210	PERTH 05120241
25	208	Perth 05055385
26	201	Perth 05056527
27	200	NSW666337
28=	199	NSW666362
28=	199	Perth 05099692
28=	199	Perth 05120306
31	194	NSW666260
32	183	Perth 05120349
33	173	Perth 05120608
34	169	Perth 05120209
35	167	Perth 05672368
36	166	PERTH 05879256
37	165	Perth 05670187
38	164	Perth 05672023
39	160	Perth 05054729
40=	157	NSW666320
40=	157	Perth 05120136
40=	157	Perth 05670152
43=	154	NSW427519
43=	154	Perth 05120160
45=	153	NSW427514
45=	153	Perth 05099854
47=	149	PERTH 05227461
47=	149	Perth 05056284
49	146	Perth 05055482
50	145	PERTH5636485
51	144	NSW658367
52	142	NYBG voucher
53	138	PERTH05672341
54	137	NSW658110
55	131	PERTH6989829
56	130	NSW666255
57	129	Perth 05120586
58	128	NSW 395982
59	126	NSW 395964
60=	124	NSW658082
60=	124	Perth 05120667
60=	124	Perth 05670101
63	122	Perth 05055512
64=	120	PERTH6988946
64=	120	Perth 05672376
66=	119	NSW 658290
66=	119	Perth 05055350
66=	119	Perth 05120071
66=	119	Perth 05120594
70	118	NSW 395916
71	116	Perth 05227585
72=	115	Perth 05095182
72=	115	Perth 05120675
74=	114	NSW427347
74=	114	Perth 05100011
74=	114	Perth 05672198
77=	113	NSW 395989
77=	113	Perth 05120144
79=	112	NSW427370
79=	112	PERTH6988687
81	110	NSW 395914
82	107	PERTH05227232
83=	106	NSW 395993
83=	106	PERTH6988016
85=	105	Perth 05055342
85=	105	Perth 05056403
87=	104	NSW 395923
87=	104	PERTH 05879264
89=	103	NSW658179
89=	103	PERTH 05236592
91	101	Perth 05120756
92=	100	Perth 05095328
92=	100	Perth 05670438
94=	99	NSW 395983
94=	99	PERTH 05120195
96=	98	NSW658375
96=	98	PERTH6988059
96=	98	Perth 05054567
99=	96	NSW 396009
99=	96	NSW658237
99=	96	NSW658290
99=	96	NSW666376
103	95	05670403
104	93	Perth 05056195
105=	91	Perth 05056446
105=	91	Perth 05056489
105=	91	Perth 05099846
108=	90	NSW658372
108=	90	NSW666275
108=	90	PERTH6989950
111	89	PERTH 05236673
112=	88	Perth 05671272
112=	88	Perth 05671868
114	86	Perth 05670195
115=	85	Perth 05120446
115=	85	Perth 05671817
115=	85	Perth 05672104
118=	84	NSW 395915
118=	84	NSW427362
118=	84	PERTH6987788
118=	84	Perth 05671183
122	83	Perth 05120500
123=	82	NSW 395972
123=	82	NSW658335
123=	82	PERTH 05120527
123=	82	Perth 05056144
123=	82	Perth 05671353
128=	81	NSW 427661
128=	81	Perth 05054540
128=	81	Perth 05055113
128=	81	Perth 05670373
132=	80	NSW427510
132=	80	Perth 05672147
134=	79	PERTH 05879248
134=	79	Perth 05054680
134=	79	Perth 05120373
134=	79	Perth 05227437
138=	78	NSW427467
138=	78	PERTH6989314
138=	78	Perth 05120322
138=	78	Perth 05671671
142	77	NSW658232
143=	76	NSW 395934
