rank	count	HostAuth

1	20196	NULL
2	4065	R. Br.
3	3829	F. Muell.
4	1995	Benth.
5	1655	Endl.
6	1353	Lindl.
7	1316	Schauer
8	1099	Diels
9	1066	Labill.
10	1060	DC.
11	941	W. Fitzg.
12	640	Meisn.
13	623	Steetz
14	599	&#40;DC.&#41; Benth.
15	540	Chinnock
16	476	Miq.
17	432	&#40;F. Muell.&#41; Carolin
18	426	&#40;Diels&#41; L.A.S. Johnson
19	420	R. Br. ex Sims
20	417	&#40;Sm.&#41; R.Br.
21	413	Turcz.
22	373	&#40;Vent.&#41; DC.
23	364	E.Pritz.
24	353	&#40;Endl.&#41; A.S. George
25	341	&#40;F. Muell.&#41; Druce
26	293	&#40;F. Muell.&#41; R.O. Makinson
27	289	Paul G.Wilson
28	280	&#40;Otto &#38; F. Dietr.&#41; L.A.S. Johnson
29	275	E.M. Benn.
30	272	&#40;Willd.&#41; Sweet
31	267	S. Moore
32	265	Joy. Thomps. &#38; L.A.S. Johnson
33	258	&#40;E. Pritz.&#41; J.W. Green
34	242	&#40;Labill.&#41; Court
35	241	&#40;Labill.&#41; R. Br.
36	236	De Wild.
37	228	L.
38	225	R.Br.
39	222	J. Gay
40	209	Swartz
41	197	Link
42	194	Steud.
43	193	&#40;Blakely&#41; Danser
44	191	A.F. Oldfield &#38; F. Muell.
45	185	&#40;W.R. Price&#41; C.A. Gardner
46	181	C.A. Gardner
47	178	Craven
48	166	&#40;Sm.&#41; Druce
49	156	E. Pritz.
50	153	Hook.
51=	151	J. Black
51=	151	Jacq.
51=	151	Nees
54=	150	&#40;Labill.&#41; Steetz.
54=	150	R. Br. ex A. Rich. &#38; Rich.
56	148	Carolin
57=	147	&#40;F. Muell.&#41; Benth.
57=	147	&#40;Labill.&#41; Moq.
57=	147	Desf.
57=	147	Sm.
61	145	Hook
62=	143	&#40;Macklin&#41; L.A.S. Johnson
62=	143	Maiden &#38; Blakely
64	142	&#40;Miq.&#41; L.A.S. Johnson
65	141	&#40;Gilg.&#41; B.G. Briggs &#38; L.A.S. Johnson
66=	137	&#40;F. Muell.&#41; F. Muell.
66=	137	F.Muell. ex Miq.
68	134	Maiden &#38; Betche
69=	132	&#40;Behr&#41; Tiegh.
69=	132	&#40;Sol. ex Gaertner&#41; Smith
71	130	F. Muell. ex L.A.S. Johnson
72	128	Willd.
73	126	&#40;Sieber ex Spreng.&#41; L.A.S.Johnson
74=	124	K.R. Thiele
74=	124	Meissner
76	123	&#40;Schrad. &#38; J.C. Wendl.&#41; Hoffmanns.
77	122	&#40;Salisb.&#41; L.A.S. Johnson
78=	117	F.Muell
78=	117	S.T. Reynolds
80=	115	&#40;R.Br.&#41; F. Muell.
80=	115	Willd. ex H.L. Wendl.
82	109	R. Br. ex R.T. Baker &#38; H.G. Sm.
83=	105	&#40;Gaudich.&#41; F. Muell.
83=	105	&#40;Labill.&#41; DC
85=	104	&#40;Miq.&#41; Tiegh.
85=	104	&#40;Schott &#38; Endl.&#41; R. Br.
87=	101	Harv.
87=	101	Moq.
89	100	&#40;Labill.&#41; Benth.
90	97	&#40;Endl.&#41; Benth.
91=	94	&#40;DC.&#41; Sweet
91=	94	&#40;Gaudich.&#41; Benth.
93	93	Craven ms
94=	91	&#40;Endl.&#41; Schauer
94=	91	Hotchk.
94=	91	McGill.
94=	91	Sond.
98=	89	&#40;DC.&#41; Baill.
98=	89	A.S. George
100=	88	&#40;Andrews&#41; Willd.
100=	88	&#40;F. Muell. ex Miq.&#41; Cheel
100=	88	&#40;Nees&#41; Paul G. Wilson
103	87	Aellen
104	86	&#40;Lindley&#41; Tieghem
