rank	count	Host photo

1	41561	NULL
2	489	http://research.amnh.org/pbi/specimen/wa%201996%20l66%20h177.jpg
3	467	http://research.amnh.org/pbi/specimen/wa1999%20l15%20h051.jpg
4	322	http://research.amnh.org/pbi/specimen/nsw%201995%20l52%20h088.jpg
5	315	http://research.amnh.org/pbi/specimen/nsw%201995%20l07%20h013.jpg
6=	265	http://research.amnh.org/pbi/specimen/ca01h171a.jpg;http://research.amnh.org/pbi/specimen/ca01h171c.jpg;http://research.amnh.org/pbi/specimen/ca01h171b.jpg
6=	265	http://research.amnh.org/pbi/specimen/wa%201996%20l46%20h137.jpg
8	257	http://research.amnh.org/pbi/specimen/wa%201996%20l64%20h170.jpg
9	238	http://research.amnh.org/pbi/specimen/wa%201997%20l60%20h125.jpg
10	212	http://research.amnh.org/pbi/specimen/wa%201997%20l47%20h082.jpg
11	195	http://research.amnh.org/pbi/specimen/wa%201997%20l61%20h129.jpg
12	189	http://research.amnh.org/pbi/specimen/wa1999%20l12%20h043.jpg;http://research.amnh.org/pbi/specimen/wa99l12h43a.jpg;http://research.amnh.org/pbi/specimen/wa99l12h43c.jpg
13	185	http://research.amnh.org/pbi/specimen/wa%201996%20l21%20h076.jpg
14	183	http://research.amnh.org/pbi/specimen/ca01h259_01.jpg;http://research.amnh.org/pbi/specimen/ca01h259%20l61.jpg
15=	181	http://research.amnh.org/pbi/specimen/wa%201996%20l17%20h065.jpg
15=	181	http://research.amnh.org/pbi/specimen/wa%201997%20l55%20h104.jpg
17	166	http://research.amnh.org/pbi/specimen/wa1999%20l28%20h099.jpg;http://research.amnh.org/pbi/specimen/wa99l28h99a.jpg;http://research.amnh.org/pbi/specimen/wa99l28h99c.jpg
18	163	http://research.amnh.org/pbi/specimen/wa%201996%20l27%20h093.jpg
19	156	http://research.amnh.org/pbi/specimen/wa%201996%20l47%20h138.jpg
20	147	http://research.amnh.org/pbi/specimen/wa1999%20l54%20h182.jpg
21=	146	http://research.amnh.org/pbi/specimen/wa%201996%20l56%20h157.jpg
21=	146	http://research.amnh.org/pbi/specimen/wa%201996%20l56%20h157.jpg;
23	144	http://research.amnh.org/pbi/specimen/ca01h100b.jpg;http://research.amnh.org/pbi/specimen/pbi-cal04h31a.jpg
24	142	http://research.amnh.org/pbi/specimen/wa%201996%20l39%20h122.jpg
25	138	http://research.amnh.org/pbi/specimen/wa%201996%20l50%20h145.jpg
26	131	http://research.amnh.org/pbi/specimen/pbi_wa04l11h85.jpg;http://research.amnh.org/pbi/specimen/wa04l11h85a.jpg;http://research.amnh.org/pbi/specimen/wa04l12h85a.jpg;http://research.amnh.org/pbi/specimen/wa04l12h85b.jpg
27	130	http://research.amnh.org/pbi/specimen/wa1999%20l19%20h064.jpg;http://research.amnh.org/pbi/specimen/wa99l19h64a.jpg;http://research.amnh.org/pbi/specimen/wa99l19h64b.jpg
28	129	http://research.amnh.org/pbi/specimen/wa%201996%20l18%20h061.jpg
29=	127	http://research.amnh.org/pbi/specimen/wa%201996%20l32%20h108.jpg
29=	127	http://research.amnh.org/pbi/specimen/wa%201997%20l18%20h045.jpg
31	126	http://research.amnh.org/pbi/specimen/nsw%201995%20l49%20h083.jpg
32	125	http://research.amnh.org/pbi/specimen/wa%201997%20l11%20h033.jpg
33	121	http://research.amnh.org/pbi/specimen/wa%201996%20l18%20h057.jpg
34	119	http://research.amnh.org/pbi/specimen/ca01h241a.jpg;http://research.amnh.org/pbi/specimen/ca01h241_01.jpg
35=	117	http://research.amnh.org/pbi/specimen/wa%201996%20l18%20h061.jpg;
35=	117	http://research.amnh.org/pbi/specimen/wa%201996%20l39%20h120.jpg
35=	117	http://research.amnh.org/pbi/specimen/wa%201997%20l58%20h113.jpg
38	115	http://research.amnh.org/pbi/specimen/wa%201996%20l48%20h141.jpg
39=	114	http://research.amnh.org/pbi/specimen/wa%201996%20l17%20h051.jpg
39=	114	http://research.amnh.org/pbi/specimen/wa%201996%20l26%20h088.jpg;
39=	114	http://research.amnh.org/pbi/specimen/wa1999%20l16%20h052.jpg;http://research.amnh.org/pbi/specimen/wa99l16h52a.jpg;http://research.amnh.org/pbi/specimen/wa99l16h52d.jpg
42	111	http://research.amnh.org/pbi/specimen/wa%201996%20l28%20h098.jpg
43	109	http://research.amnh.org/pbi/specimen/wa%201996%20l16%20h045.jpg
44	106	http://research.amnh.org/pbi/specimen/pbi_wa04l13h101.jpg;http://research.amnh.org/pbi/specimen/wa04l13h101a.jpg;http://research.amnh.org/pbi/specimen/wa04l13h101b.jpg
45	105	http://research.amnh.org/pbi/specimen/wa1999%20l01%20h001.jpg
46	104	http://research.amnh.org/pbi/specimen/wa%201997%20l15%20h042.jpg
47=	103	http://research.amnh.org/pbi/specimen/wa%201996%20l68%20h182.jpg
47=	103	http://research.amnh.org/pbi/specimen/wa%201997%20l54%20h100.jpg
49	100	http://research.amnh.org/pbi/specimen/wa1999%20l04%20h013.jpg;http://research.amnh.org/pbi/specimen/wa99l04h13a.jpg;http://research.amnh.org/pbi/specimen/wa99l04h13b.jpg;http://research.amnh.org/pbi/specimen/wa99l04h13c.jpg;http://research.amnh.org/pbi/specimen/wa99l04h13d.jpg;http://research.amnh.org/pbi/specimen/wa99l04h13e.jpg;http://research.amnh.org/pbi/specimen/wa99l04h13f
50	99	http://research.amnh.org/pbi/specimen/wa1999%20l59%20h194.jpg
51	98	http://research.amnh.org/pbi/specimen/nsw%201995%20l50%20h084.jpg
52	97	http://research.amnh.org/pbi/specimen/wa%201996%20l30%20h106.jpg
53	96	http://research.amnh.org/pbi/specimen/wa%201996%20l45%20h135.jpg
