rank	count	Locality

1	794	~ 75 km W of Stuart Hiway on Ernest Giles Road
2	736	11 km N of Coolgardie-Esperance Hiway on Kambalda Road
3	711	28 km S of Menzies &#40;3.5 km E of Hiway&#41;
4	649	NW Coastal Hiway 57 km N of Kalbarri Road
5	618	33.3 km S of Norseman
6	588	Kalbarri National Park, Loop Road
7	522	Frank Hann National Park, Lillian Stoke Rock
8	507	81 km E of Norseman
9	476	Kalbarri National Park, Z-Bend Road
10	458	Fitzgerald River National Park, Hammersley Road
11	449	Madfish Bay, William Bay National Park
12	438	Scorpion Springs Cons. Park
13	425	14.3 km S of Erudina Woolshed
14	411	Little Desert National Park, 14 km E on McDonald Hiway
15	404	22 km S of Watheroo
16	400	Mt. Chudalup, D'Entrecasteaux National Park
17	399	Brand Hiway 8.2 km N of Eneabba
18	376	Mosman Park, Perth
19	349	Lake King
20	348	28 km S of Menzies
21	340	56.6 km W of Yalgoo
22	331	Royal National Park, Wattamolla Beach Car Park
23	315	just N of Bungwahl, Smiths Lake, 33 km S of Forster
24	307	4.2 km SE of Esperance, Lake Mullet Nature Reserve
25	297	46.5 km W of Yalgoo
26	293	14.2 km E of Charleville
27	275	Eneabba on Brand Hiway
28	274	Baiteta
29	272	Yalgorup National Park
30	270	11 km S of Eneabba, Eneabba National Park
31	269	49.5 km NE of Wooltana Homestead
32	267	80.2 km W of Agnew toward Sandstone
33	263	51 km NW of Morgan
34	259	Discovery Bay Coastal Park, Quarry Rd carpark area, at beach
35	256	Discovery Bay National Park, Swan Lake Beach area
36	254	Yadboro State Forest, Castle Campground
37	247	3.5 km E of Lillian Stoke Rock
38	246	ca 35 km S of Menzies
39	243	Brand Hiway 45.9 km S of Dongarra Road
40	241	2.1 km W of Broke Inlet Road on Chesapeak Road, D'Entrecasteaux National Park
41	235	24 km SE of jct of Manga Rd and Shark Bay Rd, Shark Bay World Heritage Area
42=	229	91 km N of Quilpie
42=	229	Conspicuous Beach, Walpole-Nornalup National Park, 10 km E of Nornalup
44	225	0.6 km S of Eneabba on Brand Hiway
45	224	Brand Hiway 55.9 km S of Dongarra Road
46	218	96 km NW of Morgan, Pine Valley Stn
47=	216	Carnarvon, Small Boat Harbour
47=	216	Newman Rocks, 136.5 km E of Norseman
47=	216	Yalgorup National Park, 3.3 km SE of Martins Tank Campground
50=	215	2 km W of Caves Road, Leeuwin Naturaliste National Park
50=	215	Canberra
52	214	Kalbarri National Park, 7 km E of Kalbarri
53=	212	2.2 km W of Windy Harbor, D'Entrecasteaux National Park
53=	212	Cape Naturaliste National Park
55	208	10.1 km W of Broke Inlet Road on Chesapeak Road, D'Entrecasteaux National Park
56	203	Little Desert National Park, 5-6 km W of McDonald Hiway
57	200	8 km S of Martins Well
58=	198	17 km N of Albany, Simpson Road at Chester Pass Hiway
58=	198	7 km E Para Wirra National Park near Williamstown
60	196	Kuala Tahan
61	194	Torbay Bay Road and South Coast Hiway
62	191	5 km SW of Whyalla
63	190	123 km W of Coolgardie on Great Eastern Hiway
64	189	139.2 km SE of William Creek, Finnis Springs &#40;63 km NW of Maree&#41;
