rank	count	Longitude

1	794	132.53222
2	736	121.58990
3	711	121.15140
4	649	114.68670
5	618	121.67780
6	588	114.43760
7	522	120.09710
8	507	122.61660
9	504	115.24321
10	425	139.55060
11	411	141.40000
12	404	116.04380
13	400	116.08640
14	399	115.25400
15	349	119.24560
16	348	121.12310
17	340	116.12330
18	338	115.76870
19	331	151.11333
20	315	152.50000
21	307	121.95427
22	297	116.21510
23	293	146.37560
24	287	145.75000
25	275	115.26990
26	269	139.78340
27	267	119.95930
28	263	140.00000
29	261	117.25730
30	259	141.13020
31	256	141.30980
32	254	150.10000
33=	247	120.13200
33=	247	NULL
35	246	121.13230
36	243	115.13480
37=	241	116.46440
37=	241	140.86980
39	235	114.00940
40=	229	116.84430
40=	229	144.40980
42	225	115.25850
43	224	115.21870
44	218	140.20000
45=	216	113.64770
45=	216	115.66720
45=	216	123.17040
48	215	115.06570
49	214	114.23860
50=	212	115.01230
50=	212	116.01120
52	208	116.39450
53	205	119.77980
54	203	141.16670
55=	200	116.40500
55=	200	139.07530
57=	198	117.91480
57=	198	138.85000
59=	196	102.40000
59=	196	140.43320
61	194	117.50920
62	193	151.25000
63	191	137.50040
64	190	120.15620
65=	189	123.21800
65=	189	137.41750
67=	188	117.25420
67=	188	132.71010
69	187	114.47460
70	186	150.88330
71=	185	114.37110
71=	185	115.65111
73	184	115.16610
74=	182	116.07530
74=	182	119.78700
76	180	147.62480
77	179	113.61670
78	177	149.21670
79=	176	117.64460
79=	176	119.71950
81	175	141.21670
82=	171	134.37000
82=	171	146.71667
84=	168	117.88530
84=	168	120.09820
86	166	115.57540
87	165	114.23940
88	162	132.35888
89=	161	114.29100
89=	161	121.69060
89=	161	140.73640
92=	160	116.15750
92=	160	133.62120
94=	159	114.16670
94=	159	147.20000
96=	157	114.43860
96=	157	140.67120
98	153	139.10000
99=	150	114.99305
99=	150	116.08333
99=	150	123.01260
102	149	160.67500
103	148	115.25740
104=	146	113.81670
104=	146	121.25580
106=	145	114.70540
106=	145	115.86670
106=	145	146.81990
109=	143	120.00590
109=	143	140.03330
111=	141	122.16960
111=	141	149.20000
113	138	120.92910
114	137	141.96430
115	136	147.28700
116	133	141.56220
117=	131	114.45690
117=	131	119.71810
117=	131	139.45230
117=	131	144.82463
121=	130	120.09640
121=	130	133.16528
123=	129	113.71580
123=	129	145.40120
125=	128	114.28410
125=	128	114.78630
127=	127	133.23070
127=	127	140.41060
129=	126	146.68333
129=	126	161.91666
131=	125	116.40833
131=	125	132.68139
131=	125	133.29990
131=	125	141.94570
135=	124	133.45670
135=	124	148.63840
137=	121	119.97690
137=	121	120.42770
139	120	149.95680
140=	119	115.05510
140=	119	119.28870
140=	119	121.21140
140=	119	124.08900
144	118	132.35250
145	117	131.56890
146=	116	131.57028
146=	116	140.22310
148=	115	118.26270
148=	115	143.61500
150	114	121.17030
151=	113	123.35190
151=	113	140.86460
151=	113	141.50000
154=	112	134.15360
154=	112	137.63000
156=	111	115.13630
156=	111	119.58560
156=	111	152.53330
159=	109	119.69310
159=	109	151.57083
159=	109	160.23333
162	108	120.31000
163=	107	114.99750
163=	107	143.64540
163=	107	149.08333
166=	106	115.76260
166=	106	139.91670
168=	105	114.13580
168=	105	120.00310
170=	104	117.94500
170=	104	138.83700
172	102	146.45840
173=	101	123.31810
173=	101	139.26400
173=	101	142.04640
176=	100	113.84910
176=	100	115.11750
178=	98	122.96750
178=	98	142.20000
180	96	150.20120
181=	95	114.67680
181=	95	115.36420
181=	95	118.97900
181=	95	120.28130
181=	95	153.05000
186	93	115.25250
187=	92	119.82000
187=	92	149.83330
187=	92	150.03460
190=	91	114.72520
190=	91	147.73840
192=	90	114.66400
192=	90	123.01170
194=	89	119.04740
194=	89	138.83040
196=	88	115.71780
196=	88	139.12730
198	87	146.27490
199=	85	115.01650
199=	85	121.28510
201	84	133.83333
202	83	146.71680
203	82	119.28700
204	81	138.91670
205=	80	143.14590
205=	80	145.86370
207=	79	114.63430
207=	79	117.03363
207=	79	144.68716
207=	79	144.85902
207=	79	147.87280
212=	78	115.65240
212=	78	146.29721
214=	77	117.64027
214=	77	138.96670
214=	77	144.86247
214=	77	152.35000
218	76	153.02801
219=	75	116.08610
219=	75	131.45230
221=	74	145.66670
221=	74	152.71670
223	73	121.64140
224=	72	120.61590
224=	72	147.33330
224=	72	149.10051
227=	71	114.78210
227=	71	133.32230
227=	71	143.08333
227=	71	148.22250
231	70	151.05789
232=	69	119.38050
232=	69	149.90200
232=	69	151.99200
235=	68	116.70990
235=	68	130.68916
235=	68	145.27125
238=	66	115.26800
238=	66	118.69330
238=	66	132.85389
238=	66	152.13861
238=	66	154.14999
243=	65	146.90100
243=	65	168.32099
245=	64	119.49230
245=	64	141.83570
247=	63	146.17960
247=	63	159.62000
249=	62	115.76777
249=	62	119.71400
249=	62	119.95483
249=	62	121.15060
249=	62	132.17900
254=	61	144.30780
254=	61	145.48000
254=	61	149.50000
257=	60	114.38640
257=	60	133.20060
257=	60	145.85480
260=	59	113.46260
260=	59	116.71300
260=	59	122.26740
260=	59	147.16670
264=	58	121.93340
264=	58	132.32120
266=	57	114.21040
266=	57	115.02416
266=	57	150.86667
269=	56	117.48364
269=	56	143.21670
271=	55	115.06840
271=	55	115.11680
271=	55	120.09360
271=	55	152.00000
271=	55	161.86300
276=	54	115.04620
276=	54	141.65000
276=	54	165.32019
279=	53	116.08889
279=	53	133.43717
279=	53	150.80000
282=	52	115.03666
282=	52	116.00760
282=	52	139.09200
282=	52	150.51000
286=	51	114.52330
286=	51	115.12000
286=	51	139.55000
286=	51	145.16670
286=	51	149.78183
291=	50	140.58810
291=	50	144.51430
291=	50	159.95111
294=	49	116.57790
294=	49	116.96508
294=	49	140.44900
294=	49	147.13500
298	48	133.23306
299=	47	117.16480
299=	47	119.87920
299=	47	142.25920
299=	47	142.48963
