rank	count	Name

1	1465	Coridromius chenopoderis
2	1143	Linacoris viridescens
3	1012	Melaleucoides verticordiae
4	882	Melaleuca sp
5	872	Ausejanus albisignatus
6	838	Linacoris sp_ms_solomonensis
7	647	Bifidostylus omnivorus
8	621	Wallabicoris waitzii
9	564	Oncophysa sp
10	527	Eritingis koebeli
11	502	Melaleuca sp 3
12	475	Melaleuca sp 120
13	459	Xiphoidellus furvus
14	453	Ausejanus tiramisu
15	439	Wallabicoris pityrodii
16	437	Goodeniaphila cassisi
17	428	Coridromius monotocopsis
18	416	Protemiris adenanthi
19=	414	Epimixia sp_ms_aboccidente
19=	414	Wallabicoris rutidosi
21	409	Spinivesica eremophiloides
22	404	Inoma sp_02
23	401	Xiphoidellus pallidus
24	395	Ausejanus meridionalis
25	386	Rayieria acaciae
26	373	Wallabicoris pultenaei
27	360	Bifidostylus silverae
28	351	Exocarpocoris aurum
29	348	Wallabicoris lachnostachyos
30	344	Wallabicoris ozothamni
31	310	Malandiola sp_04c
32	309	Diomocoris sp_ms_nebulosus
33	307	Restiophylus leptocarpi
34	304	Epimixia vulturna
35	293	Mcateella elongata
36	292	Scholtzicoris linnavuorii
37	290	Rayieria basifer
38	275	Wallabicoris pinocchii
39	269	Halophylus tecticornii
40	268	Ausejanus vividus
41	250	Protemiris conospermi
42	249	Gn_OrthotyliniGp1 sp_005
43	245	Proteophylus grevilleae
44	244	Myoporophylus grossi
45	239	Epimixia veteris
46	238	Restiophylus lyginiae
47	234	Wallabicoris spyridii
48	232	Cyrtorhinus lividipennis
49	230	Inoma silveirae
50	228	Gn_OrthotyliniGp5 sp_003
51	225	Grandivesica cassisi
52=	224	Halophylus atriplicis
52=	224	Xiphoidellus unicolor
54	223	Lasiacantha aureolus
55=	222	Diplocysta trilobata
55=	222	Xiphoidellus gilvus
57	220	Asterophylus chrysocephali
58	218	Orthotylus sp_ms_sydneyensis
59	211	Epimixia nigripes ssp. dysmica
60=	207	None none
60=	207	Xiphoidellus dumosus
62=	205	Melaleucoides cassisi
62=	205	ZANCH_AUS &#35;1
64	199	Nethersia sp_ms_tatarnici
65	198	Gn_OrthotyliniGp11 sp_001
66=	197	Myrtlemiris russulatus
66=	197	Wallabicoris newcastelii
68	195	Wallabicoris dicrastyli
69	192	Diomocoris sp.
70=	190	Ausejanus mcdonaldi
70=	190	Oncophysa sp_02b
72	189	Polyozus galbanus
73=	188	Protemiris grevilleae
73=	188	Restiophylus hypolaenae
75	187	Eritingis aporema
76	186	Melaleucoides annae
77	182	Bifidostylus cassisi
78	180	Malandiola semota
79	174	Eritingis sp_03_poss_aporema
80	172	Melaleuca sp 36
81=	167	Mcateella schuhi
81=	167	Polyozus australianus
83=	165	Ausejanus femoralis
83=	165	Ommatodema sp_n_c
85	164	Inoma fuscata
86=	162	Coridromius pilbarensis
86=	162	Felisacus elegantulus
86=	162	Mcateella interioris
86=	162	Oncophysa vesiculata ssp. nigra
86=	162	Stephanitis sp
91=	158	Malandiola sp_04bb
91=	158	Protemiris isopogoni
93=	157	Exocarpocoris tantulus
93=	157	Myrtophylus calytrix
95	155	Agramma sp_ms_bicolor
96	153	Teleonemia scrupulosa
97	152	Hypseloecus lysiani
98	151	Proteophylus petrophile
99=	150	Austrokatanga monteithi
99=	150	Linacoris sp_ms_connori
99=	150	Linacoris sp_ms_incognita
102=	148	Asterophylus rutidosis
102=	148	Dicyphylus pilbara
102=	148	Melaleucoides pileanthicola
105	146	Orthotylus sp_ms_intratropica
106	145	Xiphoidellus aureus
107=	144	Halophylus chenopodos
107=	144	Peritropis punctatus
109	143	Melaleuca sp 23
110	142	Hypseloecus neoamyemi
111	141	Melaleuca sp 28
112	140	Diplocysta bilobata
113	139	ZANCH_AUS &#35;11
114	136	Halophylus salsoli
115=	134	Agramma sp_ms_donaldsoni
115=	134	Mcateella kwoki
117	133	Campylomma liebknechti
118	131	Polyozus furcilla
119	129	Melaleuca sp 40
120=	128	Eritingis sp_01
120=	128	Rayieria kennedyi
122	127	Gn_ms_Rankiniella sp
123	125	Froggattia olivinia
124=	124	Froggattia sp.
124=	124	Oncophysa sp_04
126	123	Myrtlemiris yalgoo
127	122	Eritingis sp_02
128	121	Inoma sp
129=	120	Austromiris sp.
129=	120	Gn_OrthotyliniGp16 sp_001
129=	120	Melaleucoides sheathianae
129=	120	Myrtlemiris rubrocuneatus
129=	120	Spinivesica eremophilicola
134=	118	Gn_ms_Flectotheca sp_wa0909msp100
134=	118	Pseudoloxops sp_155rh
136	117	Protemiris sp_101
137=	116	Gn_OrthotyliniGp7 sp_001
137=	116	Gn_ms_Granitohyoidea sp_wa0909msp119
137=	116	Ptilocnemus lemur
140=	114	Bifidostylus occidentalis
140=	114	Nethersia sp_ms_acaciaphila
142	113	Melaleuca sp 207
143=	112	Diplazicoris lombokianus
143=	112	Wallabicoris schwartzi
145=	111	Ausejanus neboissi
145=	111	Wallabicoris cassisi
147=	110	Gn_OrthotyliniGp5 sp_001
147=	110	Sejanus brittoni
149=	109	Felisacus filicicola
149=	109	Grandivesica agnew
151=	108	Coridromius confusus
151=	108	Wallabicoris ellae
153=	107	Coridromius variegatus
153=	107	Dicyphylus halganii
153=	107	Lasiacantha discordis
153=	107	Melaleuca sp 93
157	106	Halophylus maireani
158=	104	Hypseloecus paramyemi
158=	104	Oncophysa vesiculata
158=	104	ZANCH_AUS &#35;7a
161	103	Cyrtorhinus carvalhoi
162=	102	Gn_OrthotyliniGp7B sp_nsp_001
162=	102	ZANCH_AUS &#35;7e
164=	101	Mcateella esperancensis
164=	101	ZANCH_AUS &#35;17
166=	100	Gn_ms_Kikkocoris sp_anouk20.013
166=	100	Goodeniaphila schuhi
166=	100	Jiwarli heliotropium
166=	100	Omnivoriphylus frankenii
170=	98	Hypseloecus amyemicola
170=	98	Stephanitis pyrioides
170=	98	Wallabicoris spyridiellus
173	96	Gn_OrthotyliniGp6 sp_001
174=	95	Agramma sp_ms_kinchega
174=	95	Au_Phylini_nr Atractotomus sp.
176=	94	Mcateella austera
176=	94	Orthotylus sp_ms_notodytikos
176=	94	Protemiris distichi
179	93	Ptilocnemus vittatus
