rank	count	UID

1=	1	1004584
1=	1	1004585
1=	1	1004593
1=	1	1004594
1=	1	1006335
1=	1	1006336
1=	1	1006337
1=	1	1006338
1=	1	1006339
1=	1	1006340
1=	1	1006341
1=	1	1006342
1=	1	1006343
1=	1	1006344
1=	1	1006345
1=	1	1006346
1=	1	1006347
1=	1	1006348
1=	1	1006349
1=	1	1006350
1=	1	1006351
1=	1	1006352
1=	1	1006353
1=	1	1006357
1=	1	1006358
1=	1	1006359
1=	1	1006360
1=	1	1015074
1=	1	1015137
1=	1	1015138
1=	1	1015139
1=	1	1015140
1=	1	1015141
1=	1	1015142
1=	1	1015143
1=	1	1015144
1=	1	1015145
1=	1	1015146
1=	1	1015147
1=	1	1015148
1=	1	1015149
1=	1	1015150
1=	1	1015152
1=	1	1015153
1=	1	1015154
1=	1	1015155
1=	1	1015169
1=	1	101655
1=	1	101656
1=	1	101808
1=	1	101809
1=	1	101895
1=	1	101896
1=	1	101897
1=	1	101898
1=	1	101899
1=	1	101900
1=	1	101901
1=	1	101902
1=	1	102194
1=	1	1022224
1=	1	1022225
1=	1	1022226
1=	1	1022227
1=	1	1022228
1=	1	1022229
1=	1	1022230
1=	1	1022231
1=	1	1022232
1=	1	1022233
1=	1	1022245
1=	1	1022246
1=	1	1022247
1=	1	1022248
1=	1	1022249
1=	1	1022250
1=	1	1022251
1=	1	1022252
1=	1	1022253
1=	1	1022254
1=	1	1022255
1=	1	1023391
1=	1	1023819
1=	1	1023820
1=	1	1023821
1=	1	1024665
1=	1	1024666
1=	1	1024667
1=	1	1024668
1=	1	1024669
1=	1	102492
1=	1	102493
1=	1	102494
1=	1	102495
1=	1	1026581
1=	1	1026584
1=	1	1026585
1=	1	1027453
1=	1	1027459
1=	1	1027460
1=	1	1027461
1=	1	1027462
1=	1	1027464
1=	1	1027465
1=	1	104506
1=	1	104507
1=	1	104508
1=	1	104509
1=	1	104510
1=	1	104511
1=	1	104512
1=	1	104513
1=	1	104514
1=	1	104515
1=	1	104516
1=	1	104545
1=	1	104546
1=	1	104547
1=	1	104548
1=	1	104549
1=	1	104550
1=	1	104551
