rank	count	From

1	71	Avicennia marina
2	49	Bruguiera gymnorhiza
3	41	Excoecaria agallocha
4=	37	Aegiceras corniculatum
4=	37	Rhizophora stylosa
6	34	Ceriops tagal
7	33	Xylocarpus granatum
8=	31	Acrostichum speciosum
8=	31	Bruguiera exaristata
10	30	Xylocarpus moluccensis
11=	29	Ceriops pseudodecandra
11=	29	Rhizophora apiculata
13	28	Bruguiera parviflora
14	27	Heritiera littoralis
15=	26	Cynometra iripa
15=	26	Lumnitzera littorea
17=	24	Acanthus ilicifolius
17=	24	Hibiscus tiliaceus
17=	24	Lumnitzera racemosa
20	23	Aegialitis annulata
21=	22	Osbornia octodonta
21=	22	Rhizophora mucronata
23=	21	Bruguiera sexangula
23=	21	Camptostemon schultzii
25	20	Rhizophora X lamarckii
26=	19	Nypa fruticans
26=	19	Sporobolus virginicus
28=	18	Scyphiphora hydrophylacea
28=	18	Sonneratia alba
30=	17	Diospyros geminata
30=	17	Sonneratia caseolaris
30=	17	Suaeda australis
33=	16	Casuarina glauca
33=	16	Tecticornia halocnemoides
35=	13	Ceriops australis
35=	13	Gerygone tenebrosa
35=	13	Sarcocornia quinqueflora
38=	10	Amyema mackayensis
38=	10	Bruguiera cylindrica
38=	10	Tecticornia arbuscula
41=	9	Bostrychia calliptera
41=	9	Hemichroa diandra
43=	8	Bostrychia simpliciuscula
43=	8	Disphyma crassifolium
43=	8	Hypochrysops apelles
43=	8	Samolus repens
47=	7	Avicennia integra
47=	7	Gerygone magnirostris
47=	7	Juncus kraussii
47=	7	Parasesarma erythodactyla
47=	7	Ramalina confirmata
47=	7	Triglochin striata
53=	6	Arhopara micale
53=	6	Batis argillicola
53=	6	Bostrychia moritziana
53=	6	Diospyros littorea
53=	6	Dirinaria applanata
53=	6	Muellerolimon salicorniaceum
53=	6	Tecticornia indica
53=	6	Threlkeldia diffusa
61=	5	Acrolejeunea aulacophora
61=	5	Australoplax tridentata
61=	5	Bembicium auratum
61=	5	Butorides striata
61=	5	Caloglossa stipitata
61=	5	Caloplaca bassiae
61=	5	Catenella nipae
61=	5	Crematogaster sp1
61=	5	Distichlis distichophylla
61=	5	Graphis streimannii
61=	5	Heloecius cordiformis
61=	5	Hemichroa pentandra
61=	5	Heterodermia obscurata
61=	5	Hypochrysops narcissus
61=	5	Lysiana maritima
61=	5	Ogyris amaryllis
61=	5	Ophicardelus sulcatus
61=	5	Parmelia erumpens
61=	5	Peneonanthe pulverulenta
61=	5	Pertusaria commutata
61=	5	Pertusaria thiospoda
61=	5	Pertusaria velata
61=	5	Phallomedusa solida
61=	5	Pleuroloba quoyi
61=	5	Polyrhachis
61=	5	Pseudohelice quadrata
61=	5	Pyxine keralensis
61=	5	Pyxine retirugella
61=	5	Ramalina exiguella
61=	5	Ramalina pacifica
61=	5	Ramalina subfraxinea nortstictica
61=	5	Sarcocornia blackiana
61=	5	Schoenus nitens
94=	4	Acrodipsas illidgei
94=	4	Bactronophorus thoracites
94=	4	Caloglossa adhaerens
94=	4	Cheilolejeunea intertexta
94=	4	Cotula coronopifolia
94=	4	Dactylospora haliotrepha
94=	4	Flavoparmelia haysomii
94=	4	Frullania subtropica
94=	4	Gelidium sp
94=	4	Haematomma persoonii
94=	4	Ilyograpsus paludicola
94=	4	Lecanora helva
94=	4	Leptolejeunea maculata
94=	4	Littoraria scabra
94=	4	Myzomela erythrocephala
94=	4	Parmotrema saccatilobum
94=	4	Pertusaria hermaka
94=	4	Ramalina inflata perpusilla
94=	4	Ramalina peruviana
94=	4	Scylla serrata
94=	4	Selliera radicans
94=	4	Sesuvium portulacastrum
94=	4	Spergularia media
94=	4	Tecticornia pterygosperma
118=	3	Ardea sumatrana
118=	3	Bulbothrix queenslandica
118=	3	Campecopea
118=	3	Capitella
118=	3	Cassidula nucleus
118=	3	Cassidula zonata
118=	3	Clistocoeloma merguiense
118=	3	Crematogaster
118=	3	Dicyathifer manni
118=	3	Frullania ericoides
118=	3	Gerygone levigaster
118=	3	Haematomma stevensiae
118=	3	Halosarpheia marina
118=	3	Hypolycaena phorbas
118=	3	Lejeunea flava
118=	3	Leptochloa fusca
118=	3	Leptograpsus variegatus
118=	3	Leptosphaeria australiensis
118=	3	Lichenoconium laevisporum
118=	3	Lignincola laevis
118=	3	Lineolata rhizophorae
118=	3	Macromitrium aurescens
118=	3	Melita
118=	3	Metopograpsus frontalis
118=	3	Mictyris longicarpus
118=	3	Nerita balteata
118=	3	Orchestia
118=	3	Pachycephala lanioides
118=	3	Paragrapsus laevis
118=	3	Parkinsonia aculeata
118=	3	Parmotrema crinitum
118=	3	Parmotrema gardneri
118=	3	Parmotrema norsticticatum
118=	3	Parmotrema parahypotropum
118=	3	Parmotrema reticulatum
118=	3	Pertusaria clarkeana
118=	3	Pertusaria leioplacella
118=	3	Polyrhachis sokolova
118=	3	Ptyosphaera alata
118=	3	Pyxine cocoes
118=	3	Ramalina leiodea
118=	3	Ramalina nervulosa
118=	3	Relicina sydneyensis
118=	3	Rhizoclonium
118=	3	Saccostrea glomerata
118=	3	Usnea dasaea
164=	2	Acanthus
164=	2	Acanthus ebracteatus
164=	2	Aigialus grandis
164=	2	Amarygmus
164=	2	Aniptodera longispora
164=	2	Austroparmelina conlabrosa
164=	2	Austrostipa stipoides
