rank	count	From AboutURI

1	741	NULL
2	71	http://biodiversity.org.au/apni.taxon/424976
3	49	http://biodiversity.org.au/apni.taxon/296775
4	41	http://biodiversity.org.au/apni.taxon/409131
5=	37	http://biodiversity.org.au/apni.taxon/263774
5=	37	http://biodiversity.org.au/apni.taxon/75937
7	34	http://biodiversity.org.au/apni.taxon/296793
8	33	http://biodiversity.org.au/apni.taxon/345445
9=	31	http://biodiversity.org.au/apni.taxon/269298
9=	31	http://biodiversity.org.au/apni.taxon/296772
11	30	http://biodiversity.org.au/apni.taxon/345454
12=	29	http://biodiversity.org.au/apni.taxon/61004
12=	29	http://biodiversity.org.au/apni.taxon/75622
14	28	http://biodiversity.org.au/apni.taxon/75718
15	27	http://biodiversity.org.au/apni.taxon/409769
16=	26	http://biodiversity.org.au/apni.taxon/105986
16=	26	http://biodiversity.org.au/apni.taxon/294511
18=	24	http://biodiversity.org.au/apni.taxon/106110
18=	24	http://biodiversity.org.au/apni.taxon/262837
18=	24	http://biodiversity.org.au/apni.taxon/408748
21	23	http://biodiversity.org.au/apni.taxon/392625
22=	22	http://biodiversity.org.au/apni.taxon/296796
22=	22	http://biodiversity.org.au/apni.taxon/419948
24=	21	http://biodiversity.org.au/apni.taxon/408594
24=	21	http://biodiversity.org.au/apni.taxon/75778
26	20	http://biodiversity.org.au/apni.taxon/75701
27=	19	http://biodiversity.org.au/apni.taxon/340709
27=	19	http://biodiversity.org.au/apni.taxon/358303
29=	18	http://biodiversity.org.au/apni.taxon/152847
29=	18	http://biodiversity.org.au/apni.taxon/409687
31=	17	http://biodiversity.org.au/apni.taxon/152991
31=	17	http://biodiversity.org.au/apni.taxon/153264
31=	17	http://biodiversity.org.au/apni.taxon/347618
34=	16	http://biodiversity.org.au/apni.taxon/290698
34=	16	http://biodiversity.org.au/apni.taxon/332136
36=	13	http://biodiversity.org.au/apni.taxon/60978
36=	13	urn:lsid:biodiversity.org.au:apni.taxon:66395
38=	10	http://biodiversity.org.au/apni.taxon/297248
38=	10	http://biodiversity.org.au/apni.taxon/332066
38=	10	http://biodiversity.org.au/apni.taxon/75610
41	9	http://biodiversity.org.au/apni.taxon/328284
42=	8	http://biodiversity.org.au/apni.taxon/294699
42=	8	urn:lsid:biodiversity.org.au:apni.taxon:374090
44=	7	http://biodiversity.org.au/apni.taxon/279831
44=	7	http://biodiversity.org.au/apni.taxon/318770
44=	7	http://biodiversity.org.au/apni.taxon/323274
47=	6	http://biodiversity.org.au/apni.taxon/159163
47=	6	http://biodiversity.org.au/apni.taxon/295737
47=	6	http://biodiversity.org.au/apni.taxon/332158
47=	6	http://biodiversity.org.au/apni.taxon/347639
47=	6	urn:lsid:biodiversity.org.au:apni.taxon:394314
52=	5	http://biodiversity.org.au/apni.taxon/139462
52=	5	http://biodiversity.org.au/apni.taxon/158915
52=	5	http://biodiversity.org.au/apni.taxon/314372
52=	5	http://biodiversity.org.au/apni.taxon/328294
52=	5	http://biodiversity.org.au/apni.taxon/353885
52=	5	urn:lsid:biodiversity.org.au:apni.taxon:66308
58=	4	http://biodiversity.org.au/apni.taxon/103491
58=	4	http://biodiversity.org.au/apni.taxon/294839
58=	4	http://biodiversity.org.au/apni.taxon/315187
58=	4	http://biodiversity.org.au/apni.taxon/316436
58=	4	http://biodiversity.org.au/apni.taxon/317474
58=	4	http://biodiversity.org.au/apni.taxon/332236
58=	4	http://biodiversity.org.au/apni.taxon/378253
58=	4	http://biodiversity.org.au/apni.taxon/91678
66=	3	http://biodiversity.org.au/apni.taxon/316252
66=	3	http://biodiversity.org.au/apni.taxon/321682
66=	3	http://biodiversity.org.au/apni.taxon/323077
66=	3	urn:lsid:biodiversity.org.au:apni.taxon:178471
70=	2	http://biodiversity.org.au/apni.taxon/102134
70=	2	http://biodiversity.org.au/apni.taxon/155084
70=	2	http://biodiversity.org.au/apni.taxon/291396
70=	2	http://biodiversity.org.au/apni.taxon/295538
70=	2	http://biodiversity.org.au/apni.taxon/315692
70=	2	http://biodiversity.org.au/apni.taxon/316266
70=	2	http://biodiversity.org.au/apni.taxon/318130
70=	2	http://biodiversity.org.au/apni.taxon/321023
70=	2	http://biodiversity.org.au/apni.taxon/379082
70=	2	http://biodiversity.org.au/apni.taxon/84634
70=	2	urn:lsid:biodiversity.org.au:apni.taxon:132022
70=	2	urn:lsid:biodiversity.org.au:apni.taxon:56837
70=	2	urn:lsid:biodiversity.org.au:apni.taxon:579772
83=	1	http://biodiversity.org.au/afd.taxon/0a9a116e-1456-4918-99bd-99308bd83411.html
83=	1	http://biodiversity.org.au/afd.taxon/35196743-0275-4b47-908c-2f4d5cc2f62a.html
83=	1	http://biodiversity.org.au/apni.taxon/112330
83=	1	http://biodiversity.org.au/apni.taxon/160775
83=	1	http://biodiversity.org.au/apni.taxon/167542
83=	1	http://biodiversity.org.au/apni.taxon/258110
83=	1	http://biodiversity.org.au/apni.taxon/297509
83=	1	http://biodiversity.org.au/apni.taxon/302857
83=	1	http://biodiversity.org.au/apni.taxon/308428
83=	1	http://biodiversity.org.au/apni.taxon/309345
83=	1	http://biodiversity.org.au/apni.taxon/316360
83=	1	http://biodiversity.org.au/apni.taxon/317751
83=	1	http://biodiversity.org.au/apni.taxon/318905
83=	1	http://biodiversity.org.au/apni.taxon/345961
83=	1	http://biodiversity.org.au/apni.taxon/346667
83=	1	urn:lsid:biodiversity.org.au:apni.taxon:574266

1906	TOTAL
