rank	count	To AboutURI

1	185	http://biodiversity.org.au/apni.taxon/424976
2	167	NULL
3	121	http://biodiversity.org.au/apni.taxon/75937
4	80	http://biodiversity.org.au/apni.taxon/296775
5	75	http://biodiversity.org.au/apni.taxon/263774
6	62	http://biodiversity.org.au/apni.taxon/75546
7	61	http://biodiversity.org.au/apni.taxon/409131
8	60	http://biodiversity.org.au/apni.taxon/296793
9	44	http://biodiversity.org.au/apni.taxon/165072
10	37	http://biodiversity.org.au/apni.taxon/296778
11=	34	http://biodiversity.org.au/apni.taxon/106110
11=	34	http://biodiversity.org.au/apni.taxon/296772
13=	33	http://biodiversity.org.au/apni.taxon/345445
13=	33	http://biodiversity.org.au/apni.taxon/409769
15=	31	http://biodiversity.org.au/apni.taxon/269298
15=	31	http://biodiversity.org.au/apni.taxon/75622
17	29	http://biodiversity.org.au/apni.taxon/75718
18=	28	http://biodiversity.org.au/apni.taxon/105986
18=	28	http://biodiversity.org.au/apni.taxon/152847
18=	28	http://biodiversity.org.au/apni.taxon/345454
18=	28	http://biodiversity.org.au/apni.taxon/409152
22	27	http://biodiversity.org.au/apni.taxon/408748
23	26	http://biodiversity.org.au/apni.taxon/61004
24=	25	http://biodiversity.org.au/apni.taxon/262837
24=	25	http://biodiversity.org.au/apni.taxon/294511
24=	25	http://biodiversity.org.au/apni.taxon/60963
27=	24	http://biodiversity.org.au/apni.taxon/290698
27=	24	http://biodiversity.org.au/apni.taxon/296796
27=	24	http://biodiversity.org.au/apni.taxon/358303
30	23	http://biodiversity.org.au/apni.taxon/392625
31=	22	http://biodiversity.org.au/apni.taxon/408594
31=	22	http://biodiversity.org.au/apni.taxon/419948
33	20	http://biodiversity.org.au/apni.taxon/75778
34=	19	http://biodiversity.org.au/apni.taxon/340709
34=	19	http://biodiversity.org.au/apni.taxon/75701
34=	19	urn:lsid:biodiversity.org.au:apni.taxon:374090
37	18	http://biodiversity.org.au/apni.taxon/409687
38	17	http://biodiversity.org.au/apni.taxon/347618
39=	16	http://biodiversity.org.au/apni.taxon/152991
39=	16	http://biodiversity.org.au/apni.taxon/332136
39=	16	urn:lsid:biodiversity.org.au:apni.taxon:66395
42	13	http://biodiversity.org.au/apni.taxon/279831
43=	11	http://biodiversity.org.au/apni.taxon/153264
43=	11	http://biodiversity.org.au/apni.taxon/379082
43=	11	http://biodiversity.org.au/apni.taxon/75610
46	10	http://biodiversity.org.au/apni.taxon/60978
47	9	http://biodiversity.org.au/apni.taxon/328284
48	8	http://biodiversity.org.au/apni.taxon/297248
49=	7	http://biodiversity.org.au/apni.taxon/294937
49=	7	http://biodiversity.org.au/apni.taxon/328294
51=	6	http://biodiversity.org.au/apni.taxon/102134
51=	6	http://biodiversity.org.au/apni.taxon/159163
51=	6	http://biodiversity.org.au/apni.taxon/258110
51=	6	http://biodiversity.org.au/apni.taxon/295737
51=	6	http://biodiversity.org.au/apni.taxon/332066
51=	6	http://biodiversity.org.au/apni.taxon/332158
51=	6	http://biodiversity.org.au/apni.taxon/378253
51=	6	urn:lsid:biodiversity.org.au:apni.taxon:394314
59=	5	http://biodiversity.org.au/apni.taxon/105839
59=	5	http://biodiversity.org.au/apni.taxon/295734
59=	5	http://biodiversity.org.au/apni.taxon/314372
59=	5	http://biodiversity.org.au/apni.taxon/318770
63=	4	http://biodiversity.org.au/apni.taxon/160775
63=	4	http://biodiversity.org.au/apni.taxon/167542
63=	4	http://biodiversity.org.au/apni.taxon/294839
63=	4	http://biodiversity.org.au/apni.taxon/315187
63=	4	http://biodiversity.org.au/apni.taxon/316436
63=	4	http://biodiversity.org.au/apni.taxon/317474
63=	4	http://biodiversity.org.au/apni.taxon/332236
63=	4	urn:lsid:biodiversity.org.au:apni.taxon:291880
71=	3	http://biodiversity.org.au/apni.taxon/250732
71=	3	http://biodiversity.org.au/apni.taxon/316252
71=	3	http://biodiversity.org.au/apni.taxon/321682
71=	3	http://biodiversity.org.au/apni.taxon/345440
71=	3	http://biodiversity.org.au/apni.taxon/353885
76=	2	http://biodiversity.org.au/apni.taxon/112330
76=	2	http://biodiversity.org.au/apni.taxon/163856
76=	2	http://biodiversity.org.au/apni.taxon/295538
76=	2	http://biodiversity.org.au/apni.taxon/315692
76=	2	http://biodiversity.org.au/apni.taxon/316266
76=	2	http://biodiversity.org.au/apni.taxon/318130
76=	2	http://biodiversity.org.au/apni.taxon/321023
76=	2	http://biodiversity.org.au/apni.taxon/347639
76=	2	http://biodiversity.org.au/apni.taxon/409168
76=	2	urn:lsid:biodiversity.org.au:apni.taxon:132022
76=	2	urn:lsid:biodiversity.org.au:apni.taxon:178471
76=	2	urn:lsid:biodiversity.org.au:apni.taxon:579772
88=	1	http://biodiversity.org.au/afd.taxon/0a9a116e-1456-4918-99bd-99308bd83411.html
88=	1	http://biodiversity.org.au/afd.taxon/35196743-0275-4b47-908c-2f4d5cc2f62a.html
88=	1	http://biodiversity.org.au/apni.taxon/113303
88=	1	http://biodiversity.org.au/apni.taxon/113419
88=	1	http://biodiversity.org.au/apni.taxon/113835
88=	1	http://biodiversity.org.au/apni.taxon/153277
88=	1	http://biodiversity.org.au/apni.taxon/155084
88=	1	http://biodiversity.org.au/apni.taxon/257434
88=	1	http://biodiversity.org.au/apni.taxon/294976
88=	1	http://biodiversity.org.au/apni.taxon/297509
88=	1	http://biodiversity.org.au/apni.taxon/300644
88=	1	http://biodiversity.org.au/apni.taxon/308428
88=	1	http://biodiversity.org.au/apni.taxon/311882
88=	1	http://biodiversity.org.au/apni.taxon/316360
88=	1	http://biodiversity.org.au/apni.taxon/317751
88=	1	http://biodiversity.org.au/apni.taxon/318905
88=	1	http://biodiversity.org.au/apni.taxon/323274
88=	1	http://biodiversity.org.au/apni.taxon/345961
88=	1	http://biodiversity.org.au/apni.taxon/346667
88=	1	http://biodiversity.org.au/apni.taxon/369592
88=	1	http://biodiversity.org.au/apni.taxon/84634
88=	1	http://biodiversity.org.au/apni.taxon/91678
88=	1	urn:lsid:biodiversity.org.au:apni.taxon:348219
88=	1	urn:lsid:biodiversity.org.au:apni.taxon:66308

1906	TOTAL
