rank	count	Coll. end date

1	25361	NULL
2	491	0000-00-00
3	85	2005-08-03
4	53	2001-11-05
5	34	1972-12-29
6	31	1973-04-27
7	24	1981-11-05
8	16	1985-12-10
9=	15	1981-11-09
9=	15	2010-08-22
11	13	1982-04-30
12	12	2010-09-10
13=	11	1981-05-08
13=	11	1988-12-30
15=	10	1969-04-20
15=	10	2008-12-24
17=	9	1975-07-04
17=	9	1995-12-09
19	8	1990-01-15
20=	7	1973-05-01
20=	7	1975-06-27
20=	7	1989-04-28
20=	7	1998-04-08
24=	6	1986-12-12
24=	6	1990-01-14
24=	6	1990-02-09
24=	6	1999-10-06
24=	6	2009-12-21
29=	5	1978-10-18
29=	5	1981-10-24
29=	5	1982-04-26
29=	5	1985-12-03
29=	5	1990-01-05
29=	5	1990-01-13
29=	5	1993-04-09
29=	5	1998-07-05
29=	5	2006-12-16
29=	5	2010-01-20
39=	4	1987-08-23
39=	4	1991-10-19
39=	4	1994-02-25
39=	4	1996-01-11
39=	4	1998-01-02
39=	4	1998-09-25
39=	4	1999-12-13
39=	4	2011-04-21
47=	3	1974-09-27
47=	3	1977-07-22
47=	3	1982-04-29
47=	3	1982-08-05
47=	3	1983-05-02
47=	3	1987-01-06
47=	3	1988-12-31
47=	3	1991-01-17
47=	3	1992-01-26
47=	3	1998-02-04
47=	3	1999-01-29
47=	3	1999-04-19
59=	2	1958-12-22
59=	2	1968-05-17
59=	2	1968-07-07
59=	2	1975-06-28
59=	2	1975-08-15
59=	2	1977-07-17
59=	2	1978-11-25
59=	2	1980-02-06
59=	2	1981-10-21
59=	2	1981-11-07
59=	2	1982-01-18
59=	2	1985-11-30
59=	2	1986-12-21
59=	2	1987-01-14
59=	2	1988-12-13
59=	2	1990-11-21
59=	2	1991-11-29
59=	2	1995-01-10
59=	2	1998-12-18
59=	2	1999-01-22
59=	2	1999-09-13
59=	2	2000-10-15
59=	2	2003-12-01
59=	2	2004-01-02
59=	2	2004-03-01
59=	2	2004-03-31
59=	2	2007-02-14
59=	2	2008-10-10
59=	2	2009-03-23
59=	2	2010-05-18
89=	1	1927-02-01
89=	1	1953-03-01
89=	1	1961-02-20
89=	1	1964-02-18
89=	1	1965-11-03
89=	1	1967-12-20
89=	1	1968-04-24
89=	1	1969-06-10
89=	1	1970-08-28
89=	1	1971-03-20
89=	1	1972-11-27
89=	1	1973-01-30
89=	1	1973-10-22
89=	1	1974-01-06
89=	1	1974-08-01
89=	1	1974-09-07
89=	1	1975-01-24
89=	1	1975-07-09
89=	1	1975-07-13
89=	1	1975-08-08
89=	1	1975-12-26
89=	1	1976-07-18
89=	1	1977-01-18
89=	1	1977-04-11
89=	1	1978-10-15
89=	1	1979-04-12
89=	1	1979-04-21
89=	1	1979-08-29
89=	1	1979-11-18
89=	1	1979-12-30
89=	1	1980-05-19
89=	1	1980-08-10
89=	1	1981-03-20
89=	1	1981-09-22
89=	1	1981-11-11
89=	1	1981-11-13
89=	1	1982-01-21
89=	1	1982-03-12
89=	1	1982-04-22
89=	1	1982-04-24
89=	1	1982-10-01
89=	1	1982-10-07
89=	1	1982-12-01
89=	1	1982-12-13
89=	1	1983-09-01
89=	1	1983-10-27
89=	1	1984-02-19
89=	1	1985-01-20
89=	1	1985-03-14
89=	1	1985-12-06
89=	1	1986-06-01
89=	1	1986-06-26
89=	1	1986-07-03
89=	1	1986-07-04
89=	1	1986-11-06
89=	1	1986-11-21
89=	1	1986-12-05
89=	1	1986-12-09
89=	1	1986-12-30
89=	1	1987-01-02
89=	1	1987-01-21
89=	1	1987-02-01
89=	1	1987-10-10
89=	1	1988-02-18
89=	1	1988-12-21
89=	1	1989-01-08
89=	1	1989-01-16
89=	1	1989-04-18
89=	1	1990-01-04
89=	1	1990-01-09
89=	1	1990-02-17
89=	1	1990-12-08
89=	1	1991-01-08
89=	1	1991-01-19
89=	1	1991-10-20
89=	1	1993-12-10
89=	1	1995-01-09
89=	1	1995-03-31
89=	1	1995-04-30
89=	1	1995-10-23
89=	1	1996-02-09
89=	1	1996-10-25
89=	1	1997-01-01
89=	1	1997-10-12
89=	1	1997-11-26
89=	1	1997-11-28
89=	1	1998-12-08
89=	1	1998-12-17
89=	1	1999-03-18
89=	1	1999-12-15
89=	1	1999-12-17
89=	1	2001-05-28
89=	1	2001-12-11
89=	1	2001-12-29
89=	1	2002-01-22
89=	1	2004-03-29
89=	1	2004-04-29
89=	1	2004-10-05
89=	1	2004-12-09
89=	1	2006-04-30
89=	1	2011-03-30

26555	TOTAL
