rank	count	Coll. start date

1	494	2004-10-23
2	491	NULL
3	404	2002-11-18
4	379	2012-04-24
5	372	2001-10-29
6	362	1999-12-03
7	353	2001-11-14
8	334	2001-10-24
9	323	1999-05-29
10	310	2011-09-06
11	305	2004-11-01
12	286	2006-05-18
13=	269	2002-11-20
13=	269	2004-11-06
15	261	2004-10-26
16	260	2009-09-20
17	257	2009-09-19
18	240	2001-10-21
19	237	2001-11-08
20	234	2011-11-28
21	233	2002-11-13
22	226	1996-10-24
23	225	2002-11-07
24	223	2001-10-27
25	218	1999-11-21
26	213	2001-10-28
27	210	2004-10-21
28	208	1999-05-20
29	207	2011-09-05
30	202	2002-11-03
31	200	2004-10-22
32	196	2009-09-17
33=	193	1999-12-04
33=	193	2001-11-04
35	181	1999-11-25
36	179	2009-09-18
37	178	2005-08-29
38	176	2004-11-04
39	172	1996-11-05
40	160	1999-12-01
41	159	2004-10-25
42	156	2002-11-05
43	151	1999-11-30
44=	150	2009-09-15
44=	150	2011-11-27
46	145	2006-05-24
47	143	2015-01-30
48	142	1998-11-02
49=	141	2004-10-28
49=	141	2014-06-04
51	140	1999-11-27
52	135	2013-12-10
53=	133	1999-11-23
53=	133	2005-08-23
55	131	2012-04-29
56=	129	1999-11-28
56=	129	2001-11-03
58	127	1996-10-30
59=	125	2004-10-27
59=	125	2005-08-28
61=	123	1998-01-02
61=	123	2009-09-23
63	118	2002-11-12
64	115	1999-05-27
65=	114	1997-12-16
65=	114	2001-11-02
65=	114	2009-09-16
68	113	2009-09-21
69	111	1999-11-17
70	110	1996-10-31
71	105	2001-10-31
72	104	2012-05-02
73	103	2014-02-19
74=	99	1997-12-14
74=	99	1999-08-07
76	97	1999-11-24
77	96	1996-11-01
78=	95	1990-09-08
78=	95	1994-01-21
80	93	2012-05-01
81	92	2005-08-09
82=	91	1997-09-25
82=	91	2004-11-07
84	90	1995-10-23
85=	89	2009-09-24
85=	89	2011-08-31
87=	88	1999-05-31
87=	88	2001-11-01
87=	88	2006-05-22
90=	87	1996-10-26
90=	87	2001-10-22
90=	87	2004-01-16
93	85	2005-08-01
94	84	2009-09-22
95	82	1999-05-28
96	81	2001-11-11
97=	80	1997-12-17
97=	80	2005-08-10
97=	80	2011-09-07
100	79	1997-12-07
101=	77	1998-10-31
101=	77	1999-05-30
101=	77	2004-10-24
104	76	2001-10-19
105=	75	1999-12-02
105=	75	2001-11-09
105=	75	2004-10-31
105=	75	2013-12-11
109=	74	1990-09-15
109=	74	2012-04-25
111	73	1972-11-21
112=	72	1990-09-20
112=	72	1990-09-21
112=	72	2001-10-23
115=	71	1998-11-25
115=	71	2002-11-08
117=	70	2004-01-15
117=	70	2014-03-28
119	69	1998-11-05
120=	68	2001-10-25
120=	68	2006-05-25
120=	68	2013-12-09
123	67	2011-06-21
124	66	2002-11-14
125	65	2001-12-10
126=	63	2005-08-25
126=	63	2006-05-31
128=	62	1996-10-23
128=	62	2011-09-08
130=	60	1999-11-18
130=	60	2006-06-02
132=	58	1996-10-29
132=	58	1999-05-26
134=	56	1995-11-02
134=	56	2005-08-31
136=	55	1998-11-07
136=	55	2011-09-04
138=	53	1997-12-15
138=	53	1999-05-19
138=	53	2014-02-22
141	52	2012-04-23
142=	51	2002-11-06
142=	51	2004-11-05
144	49	2002-11-19
145=	48	1995-11-04
145=	48	1996-10-28
145=	48	1999-11-15
145=	48	1999-11-16
145=	48	2012-11-18
150	47	1995-10-27
151=	46	1997-12-06
151=	46	2011-03-30
151=	46	2013-05-14
154	45	2012-04-30
155=	44	1996-11-08
155=	44	1999-11-19
155=	44	2015-01-20
158=	43	1981-10-17
158=	43	1998-11-01
158=	43	2006-05-16
158=	43	2011-09-01
162=	41	1998-11-24
162=	41	2006-05-26
164=	40	1972-03-04
164=	40	1999-05-21
164=	40	2014-02-20
167=	39	2004-01-27
167=	39	2006-05-20
167=	39	2015-02-02
170=	38	1996-10-25
170=	38	2001-10-26
170=	38	2011-09-03
173=	36	1995-11-05
173=	36	2001-11-07
175=	34	1972-12-27
175=	34	1996-10-22
177=	33	1969-04-30
177=	33	1996-11-03
