rank	count	Elevation meters

1	4461	0
2	888	50
3	625	100
4	599	20
5	595	60
6	594	53
7	551	30
8	474	400
9	394	600
10	381	2
11	327	500
12	315	412
13	297	150
14	293	10
15=	277	16
15=	277	28
17	255	167
18	238	300
19	221	646
20	193	130
21	186	70
22=	181	240
22=	181	695
24=	177	103
24=	177	15
24=	177	312
27	175	567
28	173	19
29	170	637
30	164	25
31	163	190
32	161	502
33	157	170
34	150	700
35	148	441
36	147	163
37	142	29
38	141	282
39	138	162
40	133	200
41=	131	37
41=	131	450
43=	125	197
43=	125	78
45	124	714
46	122	308
47=	120	252
47=	120	407
49	115	623
50=	111	250
50=	111	40
50=	111	406
53	108	307
54	103	296
55=	101	120
55=	101	274
55=	101	464
58=	100	284
58=	100	58
60	99	540
61=	96	633
61=	96	650
63	95	741
64	90	95
65	89	80
66	88	67
67=	84	457
67=	84	592
69	83	268
70=	82	189
70=	82	467
70=	82	474
70=	82	777
74=	81	34
74=	81	45
76=	79	237
76=	79	3
78	78	14
79=	77	114
79=	77	203
79=	77	586
79=	77	694
83=	76	302
83=	76	77
85=	75	519
85=	75	560
87	73	86
88	72	350
89=	71	33
89=	71	55
91	70	892
92=	68	309
92=	68	593
94=	67	146
94=	67	414
94=	67	555
97=	66	26
97=	66	294
97=	66	38
100=	65	1100
100=	65	1151
100=	65	253
103=	64	18
103=	64	357
103=	64	360
103=	64	671
107	63	454
108	62	711
109	61	1134
110=	60	127
110=	60	183
110=	60	22
110=	60	320
110=	60	722
110=	60	746
116=	57	589
116=	57	750
116=	57	891
119=	55	1000
119=	55	395
121=	54	36
121=	54	945
123	53	727
124	51	427
125	50	131
126=	48	472
126=	48	489
128=	47	297
128=	47	630
130	46	690
131=	45	234
131=	45	24
131=	45	453
131=	45	850
135=	44	271
135=	44	451
137=	42	173
137=	42	281
137=	42	686
140=	40	224
140=	40	709
142=	39	111
142=	39	292
144=	38	231
144=	38	347
144=	38	672
147=	37	266
147=	37	476
147=	37	482
147=	37	914
151=	36	259
151=	36	972
153	35	440
154=	34	1033
154=	34	432
154=	34	900
157=	33	5
157=	33	65
159=	32	330
159=	32	341
161=	31	305
161=	31	501
161=	31	950
164=	30	126
164=	30	230
164=	30	42
164=	30	437
164=	30	510
164=	30	69
170=	29	1210
170=	29	339
170=	29	508
170=	29	8
174=	28	232
174=	28	430
174=	28	639
177=	27	186
177=	27	215
177=	27	270
177=	27	335
177=	27	445
177=	27	782
183=	26	156
183=	26	194
183=	26	444
183=	26	52
183=	26	580
183=	26	64
189=	25	386
189=	25	660
189=	25	968
192=	24	195
192=	24	21
192=	24	276
192=	24	375
192=	24	438
192=	24	730
198=	23	140
198=	23	198
198=	23	219
201=	22	226
201=	22	23
201=	22	384
201=	22	439
205	21	683
206=	20	113
206=	20	145
206=	20	229
206=	20	31
206=	20	513
206=	20	547
206=	20	662
206=	20	754
206=	20	844
215=	19	110
215=	19	275
215=	19	511
215=	19	550
215=	19	598
215=	19	681
221=	18	326
221=	18	411
221=	18	47
221=	18	74
225=	17	1050
225=	17	192
227=	16	1200
227=	16	258
227=	16	775
227=	16	915
231=	15	104
231=	15	155
231=	15	6
231=	15	743
231=	15	873
236=	14	254
236=	14	260
236=	14	272
236=	14	385
236=	14	402
236=	14	82
236=	14	90
243=	13	1150
243=	13	306
243=	13	322
243=	13	380
243=	13	470
243=	13	503
243=	13	520
243=	13	640
243=	13	7
243=	13	758
243=	13	800
243=	13	940
255=	12	108
255=	12	125
255=	12	1500
255=	12	160
255=	12	480
260=	11	12
260=	11	188
260=	11	353
260=	11	458
260=	11	573
260=	11	72
266=	10	1280
266=	10	1300
266=	10	1306
266=	10	175
266=	10	216
266=	10	225
266=	10	236
266=	10	390
266=	10	471
266=	10	505
266=	10	634
266=	10	760
266=	10	792
279=	9	158
279=	9	1792
279=	9	35
279=	9	466
279=	9	473
279=	9	628
279=	9	999
286=	8	1325
286=	8	310
286=	8	740
286=	8	870
290=	7	1060
290=	7	1067
290=	7	1126
290=	7	121
290=	7	181
290=	7	202
290=	7	417
290=	7	459
290=	7	496
290=	7	788
300=	6	1070
300=	6	1087
300=	6	1140
300=	6	135
300=	6	171
300=	6	267
300=	6	370
300=	6	781
300=	6	790
300=	6	886
300=	6	94
300=	6	96
300=	6	960
313=	5	1040
313=	5	136
313=	5	1676
313=	5	17
313=	5	251
313=	5	285
313=	5	410
313=	5	413
313=	5	420
313=	5	429
313=	5	434
313=	5	446
313=	5	455
313=	5	487
313=	5	494
313=	5	610
313=	5	669
313=	5	698
313=	5	860
313=	5	918
333=	4	1080
333=	4	1090
333=	4	1121
333=	4	1180
333=	4	1250
333=	4	1260
333=	4	129
333=	4	142
333=	4	298
333=	4	365
333=	4	443
333=	4	493
333=	4	504
333=	4	545
333=	4	575
333=	4	608
333=	4	635
333=	4	755
333=	4	83
333=	4	880
333=	4	904
354=	3	115
354=	3	1158
354=	3	1297
354=	3	1330
354=	3	138
354=	3	161
354=	3	1800
354=	3	1890
354=	3	220
354=	3	280
354=	3	319
354=	3	408
354=	3	492
354=	3	527
354=	3	605
354=	3	620
354=	3	680
354=	3	76
354=	3	822
354=	3	85
354=	3	862
375=	2	122
375=	2	1267
375=	2	1284
375=	2	13
375=	2	1320
375=	2	137
375=	2	1560
375=	2	2950
375=	2	299
375=	2	424
375=	2	449
375=	2	460
375=	2	479
375=	2	485
375=	2	491
375=	2	497
375=	2	543
375=	2	554
375=	2	566
375=	2	631
375=	2	712
375=	2	720
375=	2	75
375=	2	762
375=	2	827
375=	2	9
375=	2	91
375=	2	939
375=	2	99
375=	2	992
405=	1	1010
405=	1	102
405=	1	1032
405=	1	105
405=	1	1176
405=	1	1217
405=	1	1219
405=	1	1230
405=	1	1290
405=	1	1316
405=	1	132
405=	1	134
405=	1	1447
405=	1	1460
405=	1	1498
405=	1	1524
405=	1	153
405=	1	154
405=	1	1783
405=	1	180
405=	1	191
405=	1	218
405=	1	248
405=	1	287
405=	1	295
405=	1	329
405=	1	343
405=	1	352
405=	1	401
405=	1	48
405=	1	49
405=	1	525
405=	1	530
405=	1	533
405=	1	534
405=	1	572
405=	1	579
405=	1	590
405=	1	647
405=	1	684
405=	1	701
405=	1	770
405=	1	836
405=	1	840
405=	1	843
405=	1	849
405=	1	895
405=	1	907
405=	1	936
405=	1	975
405=	1	979

26555	TOTAL
