rank	count	HerbID

1	11254	NULL
2	333	PERTH6988423
3	275	RBGV
4	253	TMAG
5	220	NSW658397
6	208	NSW658323
7	169	Perth 05120748
8	159	NSW658128
9	158	NSW658179
10	156	Perth 05671515
11	148	PERTH5635934
12	135	NSW658185
13	124	PERTH 05236819
14	118	Perth 05671000
15	114	PERTH6989764
16=	111	NSW427514
16=	111	NSW666308
18	106	PERTH5636361
19=	102	NSW658298
19=	102	PERTH6989950
21	100	NSW666358
22	99	NSW658375
23	92	NSW658088
24	91	PERTH5635888
25	88	NSW 395918
26	87	NSW658217
27=	86	NSW666419
27=	86	PERTH6989225
29	82	NSW666366
30	81	Perth 05670233
31	80	PERTH5635918
32	77	PERTH6987125
33=	74	NSW658390
33=	74	Perth 07620268
35	72	PERTH6987257
36	71	Perth 05055369
37=	70	NSW658213
37=	70	NYBG voucher
39	67	NSW666402
40	66	NSW658162
41=	65	NSW658297
41=	65	NSW666409
43	64	D0217458
44=	63	7018
44=	63	NSW658300
44=	63	PERTH05227569
47=	62	BS838-937
47=	62	PERTH6988687
47=	62	Perth 7273312
50	60	PERTH6990258
51	59	Perth 05054648
52	58	NSW666293
53=	57	NSW658366
53=	57	Perth 05671647
55=	56	NSW658327
55=	56	Perth 05671396
57=	55	MC069
57=	55	PERTH6990207
57=	55	Perth 05670128
60=	54	NSW658299
60=	54	NSW658368
60=	54	PERTH05672260
60=	54	PERTH5669898
60=	54	PERTH6987699
60=	54	Perth 05120063
66=	52	NSW658145
66=	52	PERTH05055105
68=	51	NSW658156
68=	51	PERTH6989454
70	50	NSW658201
71=	49	PERTH6988059
71=	49	Perth 05670985
73	47	NSW666255
74=	46	NSW658335
74=	46	Perth05227410
76	45	NSW658383
77=	44	PERTH5636493
77=	44	Perth 05120314
77=	44	Perth 07620152
80=	43	PERTH6986943
80=	43	Perth 07619952
80=	43	Perth 7250541
83=	42	NSW658279
83=	42	Perth 05120373
85=	41	NSW658097
85=	41	PERTH6988504
85=	41	PERTH6989780
85=	41	PERTH6990118
85=	41	Perth 05670152
90=	40	PERTH6989098
90=	40	Perth 05672147
92=	39	NSW 395976
92=	39	NSW658268
92=	39	PERTH 05236576
92=	39	Perth 07620195
96=	38	NSW666320
96=	38	NSW666410
96=	38	Perth 05671051
96=	38	Perth 05671701
96=	38	Perth 05671914
101=	37	MC031
101=	37	NSW658164
101=	37	NSW658208
101=	37	PERTH5636434
101=	37	Perth 7273096
106=	36	MC030
106=	36	PERTH 05670500
108=	35	NSW658166
108=	35	NSW658402
108=	35	PERTH5636310
108=	35	PERTH6990312
108=	35	Perth 7250754
113=	34	MC053
113=	34	PERTH 05236533
113=	34	PERTH6987028
113=	34	PERTH6988881
117=	33	D0217451
117=	33	NSW 395990
117=	33	NSW658111
117=	33	NSW658148
117=	33	NSW658173
117=	33	NSW658187
