rank	count	Host photo

1	19988	NULL
2	333	http://research.amnh.org/pbi/specimen/pbi_wa04l06h56.jpg;http://research.amnh.org/pbi/specimen/wa04l6h56a.jpg;http://research.amnh.org/pbi/specimen/wa04l6h56b.jpg
3	208	http://research.amnh.org/pbi/specimen/ca01h55d.jpg;http://research.amnh.org/pbi/specimen/ca01h55a.jpg;http://research.amnh.org/pbi/specimen/ca01h55b.jpg;http://research.amnh.org/pbi/specimen/ca01h55c.jpg
4	169	http://research.amnh.org/pbi/specimen/wa 1996 l17 h052.jpg
5	158	http://research.amnh.org/pbi/specimen/wa1999 l64 h202.jpg
6	124	http://research.amnh.org/pbi/specimen/wa 1996 l66 h177.jpg
7	122	http://research.amnh.org/pbi/specimen/wa1999 l64 h201.jpg
8	114	http://research.amnh.org/pbi/specimen/pbi_wa04l04h33.jpg;http://research.amnh.org/pbi/specimen/wa04l4h33a.jpg;http://research.amnh.org/pbi/specimen/wa04l4h33b.jpg
9	102	http://research.amnh.org/pbi/specimen/pbi_wa04l11h86.jpg;http://research.amnh.org/pbi/specimen/wa04l11h86 b.jpg;http://research.amnh.org/pbi/specimen/wa04l11h86a.jpg
10=	88	http://research.amnh.org/pbi/specimen/nsw 1995 l15 h019.jpg
10=	88	http://research.amnh.org/pbi/specimen/pbi_wa04_l41_h273.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04l41h273.jpg
12	87	http://research.amnh.org/pbi/specimen/tas04l07h08b.jpg;http://research.amnh.org/pbi/specimen/tas04l07h08a.jpg;http://research.amnh.org/pbi/specimen/tas04l07h08c.jpg
13	81	http://research.amnh.org/pbi/specimen/wa1999 l49 h156.jpg
14	77	http://research.amnh.org/pbi/specimen/pbi_wa04_l32_h213.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_h213_01.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_h213_02.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_hc213.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04l32h213.jpg
15	76	http://research.amnh.org/pbi/specimen/wa 1996 l39 h124.jpg
16	74	http://research.amnh.org/pbi/specimen/pbi_wa04_l48_h299.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l48_hc299.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04l48h299.jpg
17	71	http://research.amnh.org/pbi/specimen/wa 1997 l54 h101.jpg
18	70	http://research.amnh.org/pbi/specimen/tas04l03h04b.jpg
19	67	http://research.amnh.org/pbi/specimen/ca01h325_01.jpg
20	62	http://research.amnh.org/pbi/specimen/pbi_wa04l16h139.jpg;http://research.amnh.org/pbi/specimen/pbiwa04l16h139a.jpg;http://research.amnh.org/pbi/specimen/pbiwa04l16h139b.jpg
21=	60	http://research.amnh.org/pbi/specimen/pbi_wa04_l49_hc302.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l49_hc302_01.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04l49h302.jpg
21=	60	http://research.amnh.org/pbi/specimen/wa 1996 l22 h080.jpg
23	59	http://research.amnh.org/pbi/specimen/wa1999 l46 h151.jpg
24	57	http://research.amnh.org/pbi/specimen/ca01h99b.jpg;http://research.amnh.org/pbi/specimen/ca01h99a.jpg
25	56	http://research.amnh.org/pbi/specimen/wa 1996 l50 h148.jpg
26=	55	http://research.amnh.org/pbi/specimen/pbi_wa04l34h237.jpg
