rank	count	Locality photo

1	23348	NULL
2	297	http://research.amnh.org/pbi/specimen/ca01l32b.jpg;http://research.amnh.org/pbi/specimen/ca01l32G.jpg;http://research.amnh.org/pbi/specimen/ca01l32e.jpg;http://research.amnh.org/pbi/specimen/ca01l32d.jpg;http://research.amnh.org/pbi/specimen/ca01l32c.jpg;http://research.amnh.org/pbi/specimen/ca01l32f.jpg;http://research.amnh.org/pbi/specimen/ca01l32I.jpg;http://research.amnh.org/pbi/specimen/ca01l32h.jpg
3	221	http://research.amnh.org/pbi/specimen/ca01l15d.jpg
4	173	http://research.amnh.org/pbi/specimen/wa04l11.jpg
5	167	http://research.amnh.org/pbi/specimen/wa04l4.jpg
6	165	http://research.amnh.org/pbi/specimen/wa99l19a.jpg;http://research.amnh.org/pbi/specimen/wa99l19b.jpg;http://research.amnh.org/pbi/specimen/wa99l19c.jpg;http://research.amnh.org/pbi/specimen/wa99l19d.jpg
7	153	http://research.amnh.org/pbi/specimen/wa04l14a.jpg;http://research.amnh.org/pbi/specimen/wa04l14b.jpg
8	124	http://research.amnh.org/pbi/specimen/ca01h101b.jpg
9	109	http://research.amnh.org/pbi/specimen/wa99l38a.jpg;http://research.amnh.org/pbi/specimen/wa99l38d.jpg;http://research.amnh.org/pbi/specimen/wa99l38e.jpg;http://research.amnh.org/pbi/specimen/wa99l38f.jpg;http://research.amnh.org/pbi/specimen/wa99l38g.jpg;http://research.amnh.org/pbi/specimen/wa99l38h.jpg;http://research.amnh.org/pbi/specimen/wa99l38i.jpg
10	101	http://research.amnh.org/pbi/specimen/ca01h128c.jpg
11	88	http://research.amnh.org/pbi/specimen/pbiwa04l15a.jpg
12	84	http://research.amnh.org/pbi/specimen/ca01l40h198a.jpg;http://research.amnh.org/pbi/specimen/ca01l40h198b.jpg
13	77	http://research.amnh.org/pbi/specimen/ca01h241b.jpg
14	72	http://research.amnh.org/pbi/specimen/pbiwa04l19.jpg
15	70	http://research.amnh.org/pbi/specimen/tas04l03.jpg;http://research.amnh.org/pbi/specimen/tas04l03 mds beating.jpg
16	69	http://research.amnh.org/pbi/specimen/pbiwa04l18.jpg
17	63	http://research.amnh.org/pbi/specimen/ca01l19c.jpg;http://research.amnh.org/pbi/specimen/ca01l19b.jpg;http://research.amnh.org/pbi/specimen/ca01l19.jpg
18	62	http://research.amnh.org/pbi/specimen/ca01h251b.jpg;http://research.amnh.org/pbi/specimen/ca01l53a.jpg;http://research.amnh.org/pbi/specimen/ca01l53.jpg
19	58	http://research.amnh.org/pbi/specimen/wa99l4242b.jpg;http://research.amnh.org/pbi/specimen/wa99l4242c.jpg;http://research.amnh.org/pbi/specimen/wa99l4242d.jpg;http://research.amnh.org/pbi/specimen/wa99l4242e.jpg;http://research.amnh.org/pbi/specimen/wa99l4242f.jpg;http://research.amnh.org/pbi/specimen/wa99l4242g.jpg;http://research.amnh.org/pbi/specimen/wa99l42a.jpg
20	57	http://research.amnh.org/pbi/specimen/ca01l12a.jpg
21	56	http://research.amnh.org/pbi/specimen/wa99l12a.jpg;http://research.amnh.org/pbi/specimen/wa99l12h43b.jpg
22	54	http://research.amnh.org/pbi/specimen/wa99l27b.jpg
23	52	http://research.amnh.org/pbi/specimen/wa99l33c.jpg
24	51	http://research.amnh.org/pbi/specimen/pbiwa04l25.jpg;http://research.amnh.org/pbi/specimen/pbiwa04l25_01.jpg
25	50	http://research.amnh.org/pbi/specimen/pbiwa04_nearl51.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_nearl51_01.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_nearl51_02.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_nearl51_03.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_nearl51_04.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_nearl51_05.jpg
26	48	http://research.amnh.org/pbi/specimen/wa99l06a.jpg
27	47	http://research.amnh.org/pbi/specimen/wa99l21a.jpg;http://research.amnh.org/pbi/specimen/wa99l21b.jpg
28	46	http://research.amnh.org/pbi/specimen/ca01l18.jpg;http://research.amnh.org/pbi/specimen/ca01l18c.jpg;http://research.amnh.org/pbi/specimen/ca01l18d.jpg;http://research.amnh.org/pbi/specimen/ca01l18b.jpg
29	33	http://research.amnh.org/pbi/specimen/wa04l3a.jpg;http://research.amnh.org/pbi/specimen/wa04l3b.jpg
30	32	http://research.amnh.org/pbi/specimen/wa99l26a.jpg;http://research.amnh.org/pbi/specimen/wa99l26b.jpg
31	31	http://research.amnh.org/pbi/specimen/wa99l14a.jpg
32=	30	http://research.amnh.org/pbi/specimen/pbiwa04_l37.jpg
32=	30	http://research.amnh.org/pbi/specimen/wa04l13.jpg
32=	30	http://research.amnh.org/pbi/specimen/wa04l9.jpg
35	29	http://research.amnh.org/pbi/specimen/wa99l09h38b.jpg;http://research.amnh.org/pbi/specimen/wa99l09h38e.jpg;http://research.amnh.org/pbi/specimen/wa99l09h38g.jpg
36=	26	http://research.amnh.org/pbi/specimen/ca01l67c.jpg;http://research.amnh.org/pbi/specimen/ca01l67a.jpg
36=	26	http://research.amnh.org/pbi/specimen/wa99l08a.jpg;http://research.amnh.org/pbi/specimen/wa99l08b.jpg;http://research.amnh.org/pbi/specimen/wa99l08c.jpg;http://research.amnh.org/pbi/specimen/wa99l08d.jpg
