rank	count	Name

1	819	Austromiris sp.
2	721	Kirkaldyella sp_ms_carenotus_a
3	656	Diomocoris sp.
4	488	Oxycarenus luctuosus
5	426	Nysius vinitor
6	422	Singhalesia sp_n_sp_1
7	381	Gn_OrthotyliniGp18 sp_001
8	380	Malandiola sp_04c
9	353	Setocoris sp_ms_monteithi
10	291	Witchelinamiris mchughi
11	268	Setocoris droserae
12	259	Gn_BB_Rhyparochromidae sp_bbned11msp043
13	255	Gn_OrthotyliniGp38 sp_001
14	252	Stenophyella macreta
15	236	Peritropisca bituberculata
16	190	Engytatus nicotianae
17	185	Ommatodema sp_n_c
18=	184	Diomocoris sp_ms_nebulosus
18=	184	Gn_OrthotyliniGp5 sp_003
20	182	Darwinocoris australicus
21	180	Germalus humeralis
22	173	Ommatodema sp_n_cc
23	172	Setocoris sp_a
24	167	Gn_OrthotyliniGp38 sp_004
25	163	Sidnia kinbergi
26=	148	Cumare pallida
26=	148	Gn_OrthotyliniGp4C sp_nsp_014
26=	148	Urentius sp_ms_meedo
29=	145	Gn_ms_Naranjakotta sp_ms_rosa
29=	145	Malandiola sp_ms_coomallo
31	144	Inoma sp_n_sp_nr_stysi
32	142	Inoma sp_n_sp_b_nr_kalbarri
33	138	Setocoris sp_ms_decalbandtata
34	133	Ommatodema sp_n_a
35	130	Fulvius sp.
36=	127	Malandiola semota
36=	127	Pachygrontha austrina
38=	125	Austropeplus annulipes
38=	125	Peritropis sp.
40	119	Gn_ms_Naranjakotta sp_ms_keraudrenia
41	115	Gn_ms_Naranjakotta sp_ms_bicolorata
42	113	Myrtlemiris yalgoo
43	111	Gn_ms_Rankiniella sp_001
44	109	Crompus opacus
45	108	Ausejanus meridionalis
46=	106	Gn_OrthotyliniGp10 sp_001
46=	106	Lattinova sp.
46=	106	Woodwardiola sp
49	104	Mycetocylapus sp.
50	103	Setocoris russelli
51	97	Orthotylus sp_bbcht14msp010
52	95	Granitohyoidea calycopeplus
53	94	Eritingis sp_02
54	92	Ontiscus obscurus
55	91	Bironiella sp.
56=	89	Ausejanus macrozonata
56=	89	Gn_OrthotyliniGp8 sp_003
56=	89	Pachygrontha sp
56=	89	Pseudopantilius australis
60	88	Gn_OrthotyliniGp21 sp_001
61=	87	Coridromius sp_bbnabb13msp030
61=	87	Gn_ms_Naranjakotta sp_ms_dimorpha
63	86	Myrtlemiris astartephila
64=	83	Coridromius chenopoderis
64=	83	Coridromius monotocopsis
64=	83	Gn_OrthotyliniGp9 sp_002
64=	83	Myrtlemiris meanarra
68=	82	Austromiris sp_bbgr12msp064
68=	82	Eupolemus insularis
70	81	Wallabicoris sp_bbcre11msp086
71	80	Setocoris bybliphilus
72=	79	Austromiris sp_s003
72=	79	Eupolemus venustulus
72=	79	Gn_ms_Rankiniella sp_003
75	78	Gn_OrthotyliniGp14 sp_001
76	77	Ischnodemus sp.
77=	76	Eupolemus angularis
77=	76	Fingulus atrocaeruleus
77=	76	Myrtlemiris rubrocuneatus
80=	74	Gn_OrthotyliniGp8 sp_001
80=	74	Lincolnia sp_n_sp_c
82=	73	Creontiades dilutus
82=	73	Gn_ms_Granitohyoidea sp_wa0909msp119
84=	72	Graptostethus servus
84=	72	Pachygrontha sp_n_sp_1
86	71	Gn_OrthotyliniGp26 sp_004
87=	70	Austromiris sp_s039
87=	70	Campylomma sp_bbcre11msp085
87=	70	Leptocoris tagalicus
90=	68	Dysdercus cingulatus
90=	68	Gn_BB_Tingini sp_bbfr12_msp_077
