rank	count	USI

1=	1	00000001
1=	1	00000002
1=	1	00000003
1=	1	00000004
1=	1	00000005
1=	1	00000006
1=	1	00000007
1=	1	00000008
1=	1	00000009
1=	1	00000010
1=	1	00000011
1=	1	00000012
1=	1	00000013
1=	1	00000014
1=	1	00000015
1=	1	00000017
1=	1	00000018
1=	1	00000019
1=	1	00000020
1=	1	00000021
1=	1	00000022
1=	1	00000023
1=	1	00000024
1=	1	00000025
1=	1	00000026
1=	1	00000027
1=	1	00000034
1=	1	00000035
1=	1	00000036
1=	1	00000037
1=	1	00000038
1=	1	00000039
1=	1	00000040
1=	1	00000041
1=	1	00000042
1=	1	00000043
1=	1	00000044
1=	1	00000045
1=	1	00000046
1=	1	00000047
1=	1	00000048
1=	1	00000049
1=	1	00000050
1=	1	00000051
1=	1	00000052
1=	1	00000053
1=	1	00000054
1=	1	00000055
1=	1	00000056
1=	1	00000057
1=	1	00000058
1=	1	00000059
1=	1	00000060
1=	1	00000061
1=	1	00000062
1=	1	00000064
1=	1	00000065
1=	1	00000066
1=	1	00000067
1=	1	00000068
1=	1	00000069
1=	1	00000070
1=	1	00000071
1=	1	00000072
1=	1	00000073
1=	1	00000074
1=	1	00000075
1=	1	00000076
1=	1	00000077
1=	1	00000078
1=	1	00000079
1=	1	00000080
1=	1	00000081
1=	1	00000082
1=	1	00000083
1=	1	00000084
1=	1	00000085
1=	1	00000086
1=	1	00000087
1=	1	00000090
1=	1	00000091
1=	1	00000092
1=	1	00000093
1=	1	00000094
1=	1	00000095
1=	1	00000096
1=	1	00000097
1=	1	00000098
1=	1	00000099
1=	1	00000100
1=	1	00000101
1=	1	00000102
1=	1	00000103
1=	1	00000104
1=	1	00000105
1=	1	00000106
1=	1	00000107
1=	1	00000108
1=	1	00000109
1=	1	00000110
1=	1	00000111
1=	1	00000112
1=	1	00000113
1=	1	00000114
1=	1	00000115
1=	1	00000116
1=	1	00000117
1=	1	00000118
1=	1	00000127
1=	1	00000128
1=	1	00000129
1=	1	00000130
1=	1	00000131
1=	1	00000132
1=	1	00000133
1=	1	00000134
1=	1	00000135
1=	1	00000136
1=	1	00000138
1=	1	00000144
1=	1	00000145
1=	1	00000146
1=	1	00000147
1=	1	00000148
1=	1	00000149
1=	1	00000150
1=	1	00000151
1=	1	00000152
1=	1	00000153
1=	1	00000154
1=	1	00000155
1=	1	00000156
1=	1	00000157
1=	1	00000190
1=	1	00000196
1=	1	00000197
1=	1	00000198
1=	1	00000199
1=	1	00000200
1=	1	00000201
1=	1	00000202
1=	1	00000203
1=	1	00000204
1=	1	00000205
1=	1	00000206
1=	1	00000207
1=	1	00000208
1=	1	00000209
1=	1	00000210
1=	1	00000211
1=	1	00000212
1=	1	00000213
1=	1	00000214
1=	1	00000215
1=	1	00000216
1=	1	00000217
1=	1	00000218
1=	1	00000219
1=	1	00000220
1=	1	00000221
1=	1	00000222
1=	1	00000223
1=	1	00000224
1=	1	00000225
1=	1	00000226
1=	1	00000227
1=	1	00000228
1=	1	00000229
1=	1	00000230
1=	1	00000231
1=	1	00000232
1=	1	00000233
1=	1	00000234
1=	1	00000235
1=	1	00000236
1=	1	00000237
1=	1	00000238
1=	1	00000239
1=	1	00000240
1=	1	00000241
1=	1	00000242
1=	1	00000243
1=	1	00000244
1=	1	00000245
1=	1	00000246
1=	1	00000247
1=	1	00000248
1=	1	00000249
1=	1	00000250
1=	1	00000251
1=	1	00000252
1=	1	00000253
1=	1	00000254
1=	1	00000255
1=	1	00000256
1=	1	00000257
1=	1	00000258
1=	1	00000259
1=	1	00000260
1=	1	00000261
1=	1	00000262
1=	1	00000263
1=	1	00000264
1=	1	00000265
1=	1	00000266
1=	1	00000267
1=	1	00000268
1=	1	00000269
1=	1	00000270
1=	1	00000271
1=	1	00000272
1=	1	00000273
1=	1	00000274
1=	1	00000275
1=	1	00000276
1=	1	00000277
1=	1	00000278
1=	1	00000279
1=	1	00000280
1=	1	00000281
1=	1	00000282
1=	1	00000283
1=	1	00000284
1=	1	00000285
1=	1	00000286
1=	1	00000287
1=	1	00000288
1=	1	00000289
1=	1	00000290
1=	1	00000291
1=	1	00000292
1=	1	00000293
1=	1	00000294
1=	1	00000295
1=	1	00000296
1=	1	00000297
1=	1	00000298
1=	1	00000299
1=	1	00000300
1=	1	00000301
1=	1	00000302
1=	1	00000303
1=	1	00000304
1=	1	00000305
1=	1	00000306
1=	1	00000307
1=	1	00000308
1=	1	00000309
1=	1	00000310
1=	1	00000311
1=	1	00000312
1=	1	00000313
1=	1	00000314
1=	1	00000315
1=	1	00000316
1=	1	00000317
1=	1	00000318
1=	1	00000319
1=	1	00000320
1=	1	00000321
1=	1	00000322
1=	1	00000323
1=	1	00000324
1=	1	00000325
1=	1	00000326
1=	1	00000327
1=	1	00000328
1=	1	00000329
1=	1	00000330
1=	1	00000331
1=	1	00000332
1=	1	00000333
1=	1	00000334
1=	1	00000335
1=	1	00000336
1=	1	00000337
1=	1	00000338
1=	1	00000339
1=	1	00000340
1=	1	00000341
1=	1	00000342
1=	1	00000343
1=	1	00000344
1=	1	00000345
1=	1	00000346
1=	1	00000347
1=	1	00000348
1=	1	00000349
1=	1	00000350
1=	1	00000351
1=	1	00000352
1=	1	00000353
1=	1	00000354
1=	1	00000355
1=	1	00000356
1=	1	00000357
1=	1	00000358
1=	1	00000359
1=	1	00000360
1=	1	00000361
1=	1	00000362
1=	1	00000363
1=	1	00000364
1=	1	00000365
1=	1	00000366
1=	1	00000367
1=	1	00000368
1=	1	00000369
1=	1	00000370
1=	1	00000371
1=	1	00000372
1=	1	00000373
1=	1	00000374
1=	1	00000375
1=	1	00000376
1=	1	00000377
1=	1	00000378
1=	1	00000379
1=	1	00000380
1=	1	00000381
1=	1	00000382
1=	1	00000383
1=	1	00000384
1=	1	00000385
1=	1	00000386
1=	1	00000387
1=	1	00000388
1=	1	00000389
1=	1	00000390
1=	1	00000391
1=	1	00000392
1=	1	00000393
1=	1	00000394
1=	1	00000395
1=	1	00000396
1=	1	00000397
1=	1	00000398
1=	1	00000399
1=	1	00000400
1=	1	00000401
1=	1	00000402
1=	1	00000403
1=	1	00000404
1=	1	00000405
1=	1	00000406
1=	1	00000407
1=	1	00000408
1=	1	00000409
1=	1	00000410
1=	1	00000411
1=	1	00000412
1=	1	00000413
1=	1	00000414
1=	1	00000415
1=	1	00000416
1=	1	00000417
1=	1	00000418
1=	1	00000419
1=	1	00000420
1=	1	00000421
1=	1	00000422
1=	1	00000423
1=	1	00000424
1=	1	00000425
1=	1	00000426
1=	1	00000427
1=	1	00000428
1=	1	00000429
1=	1	00000430
