name	family	highertaxon	interaction	host name	host family	host highertaxon	source
Amegilla adelaidae	Apidae	Apoidea	Associate:Mutualist:Pollinates	Persoonia virgata	Proteaceae	Dicotyledoneae	Ken Walker
Amegilla aeruginosa	Apidae	Apoidea	Associate:Mutualist:Pollinates	Trichodesma zeylanicum	Boraginaceae	Dicotyledoneae	Ken Walker
Amegilla aeruginosa	Apidae	Apoidea	Associate:Mutualist:Pollinates	Ipomoea	Convolvulaceae	Dicotyledoneae	Ken Walker
Amegilla aeruginosa	Apidae	Apoidea	Associate:Mutualist:Pollinates	Acacia	Mimosaceae	Dicotyledoneae	Ken Walker
Amegilla aeruginosa	Apidae	Apoidea	Associate:Mutualist:Pollinates	Calytrix	Myrtaceae	Dicotyledoneae	Ken Walker
Amegilla aeruginosa	Apidae	Apoidea	Associate:Mutualist:Pollinates	Eucalyptus	Myrtaceae	Dicotyledoneae	Ken Walker
Amegilla aeruginosa	Apidae	Apoidea	Associate:Mutualist:Pollinates	Solanum cunninghamii	Solanaceae	Dicotyledoneae	Ken Walker
Amegilla aeruginosa	Apidae	Apoidea	Associate:Mutualist:Pollinates	Solanum dioicum	Solanaceae	Dicotyledoneae	Ken Walker
Amegilla aeruginosa	Apidae	Apoidea	Associate:Mutualist:Pollinates	Solanum eburneum	Solanaceae	Dicotyledoneae	Ken Walker
Amegilla asserta	Apidae	Apoidea	Associate:Mutualist:Pollinates	Persoonia	Proteaceae	Dicotyledoneae	Ken Walker
Amegilla bombiformis	Apidae	Apoidea	Associate:Mutualist:Pollinates	Lantana	Verbenaceae	Dicotyledoneae	Ken Walker
Amegilla chlorocyanea	Apidae	Apoidea	Associate:Mutualist:Pollinates	Brassica rapa	Cruciferae	Dicotyledoneae	Ken Walker
Amegilla chlorocyanea	Apidae	Apoidea	Associate:Mutualist:Pollinates	Calytrix fraseri	Myrtaceae	Dicotyledoneae	Ken Walker
Amegilla chlorocyanea	Apidae	Apoidea	Associate:Mutualist:Pollinates	Persoonia teretifolia	Proteaceae	Dicotyledoneae	Ken Walker
Amegilla chlorocyanea	Apidae	Apoidea	Associate:Mutualist:Pollinates	Boronia capitata	Rutaceae	Dicotyledoneae	Ken Walker
Amegilla dawsoni	Apidae	Apoidea	Associate:Mutualist:Pollinates	Trichodesma	Boraginaceae	Coleoptera	Ken Walker
Amegilla dawsoni	Apidae	Apoidea	Associate:Mutualist:Pollinates	Acacia	Mimosaceae	Dicotyledoneae	Ken Walker
Amegilla dawsoni	Apidae	Apoidea	Associate:Mutualist:Pollinates	Eremophila	Myoporaceae	Aves	Ken Walker
Amegilla dawsoni	Apidae	Apoidea	Associate:Mutualist:Pollinates	Eremophila longifolia	Myoporaceae	Dicotyledoneae	Ken Walker
Amegilla dawsoni	Apidae	Apoidea	Associate:Mutualist:Pollinates	Cajanus acutifolius	Papilionaceae	Dicotyledoneae	Ken Walker
Amegilla houstoni	Apidae	Apoidea	Associate:Mutualist:Pollinates	Trichodesma	Boraginaceae	Coleoptera	Ken Walker
Amegilla paracalva	Apidae	Apoidea	Associate:Mutualist:Pollinates	Trichodesma	Boraginaceae	Coleoptera	Ken Walker
Amegilla paracalva	Apidae	Apoidea	Associate:Mutualist:Pollinates	Eremophila	Myoporaceae	Aves	Ken Walker
Amegilla preissi	Apidae	Apoidea	Associate:Mutualist:Pollinates	Trichodesma	Boraginaceae	Coleoptera	Ken Walker
Amegilla pulchra	Apidae	Apoidea	Associate:Mutualist:Pollinates	Lantana	Verbenaceae	Dicotyledoneae	Ken Walker
Amegilla rhodoscymna	Apidae	Apoidea	Associate:Mutualist:Pollinates	Angophora costata	Myrtaceae	Dicotyledoneae	Ken Walker
Amegilla rhodoscymna	Apidae	Apoidea	Associate:Mutualist:Pollinates	Xanthorrhoea	Xanthorrhoeaceae	Monocotyledoneae	Ken Walker
Apis mellifera	Apidae	Apoidea	Associate:Mutualist:Pollinates	Brassica rapa	Cruciferae	Dicotyledoneae	Ken Walker
Apis mellifera	Apidae	Apoidea	Associate:Mutualist:Pollinates	Eucalyptus	Myrtaceae	Dicotyledoneae	Ken Walker
