rank	count	Host name

1	392	Eucalyptus
2	162	Melaleuca
3	108	Acacia
4	99	Leptospermum
5	95	Eremophila
6	73	Not Recorded
7	66	Hakea
8=	63	Atalaya hemiglauca
8=	63	Kunzea ericoides
10	53	Jacksonia
11	51	Wahlenbergia
12	46	Grevillea
13	43	Melaleuca lanceolata
14	41	Bursaria spinosa
15	40	Eucalyptus oleosa
16	39	Eucalyptus campaspe
17	37	Eucalyptus camaldulensis
18	36	Xanthorrhoea
19	34	Eremophila scoparia
20=	33	Cassia
20=	33	Ptilotus
22	31	Eucalyptus calophylla
23=	30	Angophora
23=	30	Daviesia
25	29	Jacksonia scoparia
26	27	Tristania
27=	26	Eremophila longifolia
27=	26	Eucalyptus populnea
29=	25	Baeckea
29=	25	Brassica rapa
29=	25	Eucalyptus leptopoda
32	24	Dicrastylis exsuccosa
33	23	Melaleuca uncinata
34=	22	Calytrix
34=	22	Calytrix tetragona
34=	22	Scaevola
34=	22	Schinus molle
38=	21	Acacia aneura
38=	21	Eucalyptus largiflorens
38=	21	Solanum
38=	21	Thryptomene tuberculata
42=	20	Amyema
42=	20	Eremophila pantoni
42=	20	Eucalyptus gracilis
42=	20	Eucalyptus socialis
42=	20	Scaevola spinescens
47	19	Hakea preissii
48=	18	Eucalyptus odorata
48=	18	Frankenia
48=	18	Pultenaea
48=	18	Verticordia densiflora
52=	17	Bursaria
52=	17	Eremophila sturtii
52=	17	Eucalyptus argillacea
52=	17	Eucalyptus melliodora
52=	17	Grevillea eriostachya
52=	17	Grevillea hookerana
52=	17	Melaleuca pubescens
52=	17	Taraxacum
52=	17	Thryptomene
61=	16	Calothamnus
61=	16	Eucalyptus conglobata
61=	16	Eucalyptus tectifica
61=	16	Eucalyptus tereticornis
61=	16	Hypochoeris radicata
61=	16	Melaleuca bracteata
61=	16	Melaleuca scabra
68=	15	Eremophila gilesii
68=	15	Eucalyptus oldfieldii
68=	15	Grevillea pterosperma
68=	15	Grevillea teretifolia
68=	15	Jacksonia sternbergiana
68=	15	Myoporum
68=	15	Nitraria billardieri
68=	15	Ptilotus obovatus
68=	15	Santalum
77=	14	Carpobrotus
77=	14	Crotalaria
77=	14	Eucalyptus incrassata
77=	14	Eucalyptus microtheca
77=	14	Gastrolobium
77=	14	Grevillea commutata
77=	14	Jacksonia sericea
77=	14	Melaleuca huegelii
77=	14	Scholtzia
86=	13	Adenanthos cygnorum
86=	13	Daviesia aphylla
86=	13	Eucalyptus papuana
86=	13	Persoonia
90=	12	Angophora intermedia
90=	12	Astartea fascicularis
90=	12	Baeckea stowardii
90=	12	Calandrinia
90=	12	Eremophila spathulata
90=	12	Grevillea erectiloba
90=	12	Lechenaultia stenosepala
90=	12	Melaleuca linariifolia
90=	12	Trichodesma
99=	11	Banksia
99=	11	Callistemon
99=	11	Calytrix formosa
99=	11	Eremophila granitica
99=	11	Eucalyptus confertiflora
99=	11	Eucalyptus intertexta
99=	11	Eucalyptus salubris
99=	11	Keraudrenia
99=	11	Melaleuca nematophylla
99=	11	Senecio lautus
99=	11	Thryptomene australis
110=	10	Angophora floribunda
110=	10	Asphodelus fistulosus
110=	10	Bossiaea
110=	10	Dicrastylis lewellinii
110=	10	Eucalyptus blakelyi
110=	10	Eucalyptus ficifolia
110=	10	Eucalyptus normantonensis
110=	10	Hakea leucoptera
110=	10	Hakea teretifolia
110=	10	Helichrysum
110=	10	Hibbertia
110=	10	Hibbertia riparia
110=	10	Leucopogon
110=	10	Mesembryanthemum
110=	10	Scaevola crassifolia
125=	9	Dryandra
125=	9	Dryandra arborea
125=	9	Eremophila "crenulata"
125=	9	Eremophila affin georgei
125=	9	Eucalyptus baxteri
125=	9	Eucalyptus cylindriflora
125=	9	Eucalyptus diversifolia
125=	9	Eucalyptus gammophylla
125=	9	Gastrolobium spinosum
125=	9	Glischrocaryon aureum
125=	9	Goodenia
125=	9	Grevillea paniculata
125=	9	Jacksonia furcellata
125=	9	Leptospermum erubescens
125=	9	Nuytsia floribunda
125=	9	Pittosporum phylliraeoides
125=	9	Pityrodia oldfieldii
125=	9	Stemodia floribunda
125=	9	Swainsona
125=	9	Thryptomene maisonneuvei
125=	9	Tristaniopsis
125=	9	Verticordia
125=	9	Viminaria
148=	8	(Unidentified)
148=	8	Calothamnus quadrifidus
148=	8	Conospermum stoechadis
148=	8	Dicrastylis beveridgei
148=	8	Eremaea
148=	8	Eremophila battii
148=	8	Eucalyptus nr oxymitra
148=	8	Eucalyptus uncinata
148=	8	Eucalyptus viminalis
148=	8	Eucalyptus wandoo
148=	8	Exocarpus
148=	8	Gompholobium
148=	8	Grevillea biformis
148=	8	Helipterum
148=	8	Jacksonia eremodendron
148=	8	Leptospermum laevigatum
148=	8	Melaleuca rhaphiophylla
148=	8	Melaleuca seriata
148=	8	Prostanthera wilkieana
148=	8	Senecio
148=	8	Thryptomene affin mucronulata
148=	8	Thryptomene strongylophylla
148=	8	Tristaniopsis suaveolans
148=	8	Wehlia thryptomenoides
172=	7	Acacia calamnifolia
172=	7	Acacia ligulata
172=	7	Acacia terminalis
172=	7	Agonis
172=	7	Cleome viscosa
172=	7	Dryandra sessilis
