rank	count	Name

1	236	Leioproctus sp_lei
2	103	Lasioglossum cognatum
3	102	Lasioglossum erythrurum
4	100	Lasioglossum sp_chi
5	93	Homalictus urbanus
6	91	Euhesma sp_euh
7	88	Lasioglossum lanarium
8	86	Leioproctus sp_eur
9	85	Hylaeus sp_pro
10	83	Megachile sp_hac
11	77	Lipotriches flavoviridis
12	71	Lasioglossum eremaean
13	70	Lasioglossum vitripenne
14=	69	Lasioglossum hemichalceum
14=	69	Lasioglossum hiltacum
16	68	Hylaeus sp_pse
17	66	Amegilla sp_murray
18	65	Trichocolletes sp_tri
19=	60	Lasioglossum castor
19=	60	Lasioglossum chapmani
21	58	Homalictus dotatus
22	55	Lasioglossum immaculatum
23	52	Lasioglossum appositum
24=	50	Hylaeus proximus
24=	50	Lasioglossum mundulum
26=	46	Lasioglossum sulthicum
26=	46	Megachile sp_auc
28=	45	Lasioglossum sororculum
28=	45	Lasioglossum triangulatum
30	42	Leioproctus sp_lam
31	41	Megachile tosticauda
32=	39	Lasioglossum ebeneum
32=	39	Lasioglossum greavesi
34	38	Lasioglossum clelandi
35=	36	Lasioglossum gilesi
35=	36	Megachile semiluctuosa
37	35	Megachile chrysopyga
38=	34	Lasioglossum pulvitectum
38=	34	Megachile canifrons
40	33	Lasioglossum semipolitum
41=	32	Lasioglossum amplexum
41=	32	Lasioglossum bicingulatum
41=	32	Lasioglossum florale
41=	32	Lasioglossum instabilis
41=	32	Lasioglossum sculpturatum
46=	31	Hylaeus sp_rho
46=	31	Lasioglossum mediopolitum
46=	31	Lipotriches sp_aus
46=	31	Neopasiphae mirabilis
50=	30	Amegilla sp_asa
50=	30	Lasioglossum altichum
50=	30	Lasioglossum expansifrons
53=	29	Hylaeus sanguinipictus
53=	29	Lasioglossum adustum
53=	29	Lasioglossum brazieri
53=	29	Lasioglossum victoriellum
57=	28	Exoneura pictifrons
57=	28	Lasioglossum orbatum
57=	28	Leioproctus sp_ana
57=	28	Leioproctus velutinellus
61=	27	Homalictus dampieri
61=	27	Hylaeus amiculus
63	26	Hylaeus elegans
64=	25	Hylaeus vittatifrons
64=	25	Lasioglossum veronicae
66=	23	Hylaeus chlorosomus
66=	23	Hylaeus rufipes
66=	23	Lasioglossum convexum
66=	23	Lasioglossum fasciatum
66=	23	Lasioglossum platychilum
71	22	Lipotriches sicheli
72=	21	Hylaeus violaceus
72=	21	Lipotriches australica
72=	21	Megachile macularis
72=	21	Megachile oblonga
76=	20	Hylaeus sp_hyl
76=	20	Megachile aurifrons
78=	19	Lasioglossum pachycephalum
78=	19	Lasioglossum picticorne
78=	19	Lasioglossum speculatum
81=	18	Hylaeus alcyoneus
81=	18	Lasioglossum bicolor
81=	18	Lasioglossum sp austroc
81=	18	Leioproctus minutus
81=	18	Megachile sp_eut
81=	18	Paracolletes nigrocinctus
87=	17	Apis mellifera
87=	17	Hylaeus lateralis
87=	17	Lasioglossum dissimulator
87=	17	Lasioglossum quadratum
87=	17	Megachile speluncarum
92=	16	Lasioglossum disclusum
92=	16	Lasioglossum gunbowerense
92=	16	Lasioglossum hilactum
92=	16	Lasioglossum imitans
92=	16	Lasioglossum lithuscum
92=	16	Lasioglossum sp_aspere
92=	16	Leioproctus speculiferus
92=	16	Megachile captionis
92=	16	Megachile ignita
101=	15	Callohesma sp_cal
101=	15	Ctenocolletes smaragdinus
101=	15	Homalictus punctatus
101=	15	Lasioglossum calophyllae
101=	15	Megachile atrella
101=	15	Megachile australis
107=	14	Ctenocolletes albomarginatus
107=	14	Ctenocolletes nicholsoni
107=	14	Ctenocolletes rufescens
107=	14	Euhesma sybilae
107=	14	Homalictus sphecodopsis
107=	14	Lasioglossum brunnesetum
107=	14	Lasioglossum helichrysi
107=	14	Lasioglossum plorator
115=	13	Ctenocolletes tigris
115=	13	Lasioglossum globosum
115=	13	Lasioglossum littleri
118=	12	Lasioglossum albopilosum
118=	12	Lasioglossum conspicuum
118=	12	Lasioglossum opacicolle
118=	12	Lasioglossum sexsetum
118=	12	Lipotriches gracilipes
118=	12	Megachile callura
118=	12	Megachile clypeata
118=	12	Megachile semicandens
126=	11	Callomelitta antipodes
126=	11	Euhesma evansi
126=	11	Exoneurella tridentata
126=	11	Homalictus brisbanensis
126=	11	Homalictus murrayi
126=	11	Homalictus sphecodoides
126=	11	Lasioglossum eurycephalum
126=	11	Lasioglossum leichardti
126=	11	Lasioglossum mirandum
126=	11	Lasioglossum ochrochilum
126=	11	Lasioglossum repraesentans
126=	11	Leioproctus excubitor
126=	11	Megachile remeata
126=	11	Megachile remotula
126=	11	Megachile rugosa
126=	11	Thyreus waroonensis
142=	10	Euryglossa sp_eur
142=	10	Homalictus blackburni
142=	10	Homalictus ctenander
142=	10	Homalictus imitatus
142=	10	Hylaeus maiellus
142=	10	Hylaeus ruficeps
142=	10	Lasioglossum aspratulum
142=	10	Lasioglossum blighi
142=	10	Lasioglossum carbonarium
142=	10	Lasioglossum lacthium
142=	10	Lasioglossum ochroma
142=	10	Lasioglossum plebeium
142=	10	Lasioglossum willsi
142=	10	Leioproctus sp_bae
142=	10	Megachile obtusa
142=	10	Xylocopa parvula
158=	9	Amegilla aeruginosa
158=	9	Ctenocolletes centralis
158=	9	Exoneura nigrescens
158=	9	Homalictus flindersi
158=	9	Hylaeus desertoris
158=	9	Lasioglossum alacarinatum
158=	9	Lasioglossum baudini
158=	9	Lasioglossum delobeli
158=	9	Lasioglossum forresti
158=	9	Lasioglossum lichatum
158=	9	Lasioglossum occiduum
158=	9	Lasioglossum peraustrale
158=	9	Lasioglossum polygoni
158=	9	Lasioglossum risbeci
158=	9	Lasioglossum seminitens
