rank	count	SCIENTIFIC_NAME

1	26	Petrochelidon (Petrochelidon) ariel
2=	24	Tachyglossus aculeatus
2=	24	Tachyglossus aculeatus aculeatus
4	23	Tyto (Tyto) javanica
5	22	Eurostopodus (Eurostopodus) argus
6=	21	Chalcites (Chalcites) basalis
6=	21	Chroicocephalus novaehollandiae
6=	21	Chroicocephalus novaehollandiae novaehollandiae
6=	21	Tachyglossus aculeatus multiaculeatus
10	20	Chroicocephalus novaehollandiae gunni
11=	18	Cacomantis (Vidgenia) flabelliformis flabelliformis
11=	18	Cacomantis (Vidgenia) pallidus
11=	18	Ceyx azureus azureus
11=	18	Chalcites (Misocalius) osculans
11=	18	Litoria rubella
11=	18	Neophema (Neonanodes) chrysostoma
11=	18	Rhipidura (Sauloprocta) leucophrys
18=	17	Ceyx azureus ruficollaris
18=	17	Melopsittacus undulatus
18=	17	Microfilaria sp.
18=	17	Petrochelidon (Hylochelidon) nigricans
18=	17	Petrochelidon (Hylochelidon) nigricans nigricans
18=	17	Platycercus (Platycercus) caledonicus caledonicus
18=	17	Rhipidura (Sauloprocta) leucophrys leucophrys
25=	16	Centropus (Polophilus) phasianinus melanurus
25=	16	Centropus (Polophilus) phasianinus phasianinus
25=	16	Centropus (Polophilus) phasianinus thierfelderi
25=	16	Ceyx pusilla pusilla
25=	16	Coracina (Coracina) novaehollandiae melanops
25=	16	Eurostopodus (Eurostopodus) mystacalis mystacalis
25=	16	Lialis burtonis
25=	16	Macrotis lagotis
25=	16	Menetia greyii
25=	16	Merops (Merops) ornatus
25=	16	Morelia spilota
25=	16	Neophema (Neonanodes) elegans carteri
25=	16	Neophema (Neonanodes) elegans elegans
25=	16	Polytelis alexandrae
25=	16	Tachyglossus aculeatus setosus
25=	16	Varanus gouldii
41=	15	Barnardius zonarius barnardi
41=	15	Ceyx azureus diemenensis
41=	15	Coracina (Coracina) novaehollandiae
41=	15	Eolophus roseicapillus albiceps
41=	15	Eolophus roseicapillus kuhli
41=	15	Eolophus roseicapillus roseicapillus
41=	15	Gehyra variegata
41=	15	Heteronotia binoei
41=	15	Litoria bicolor
41=	15	Lophochroa leadbeateri mollis
41=	15	Neophema (Neonanodes) chrysogaster
41=	15	Neophema (Neophema) pulchella
41=	15	Neophema (Neophema) splendida
41=	15	Ocyphaps lophotes whitlocki
41=	15	Ornithorhynchus anatinus
41=	15	Pezoporus occidentalis
41=	15	Platycercus (Platycercus) elegans elegans
41=	15	Pseudechis australis
41=	15	Rhipidura (Rhipidura) albiscapa
41=	15	Varanus tristis
61=	14	Arocatus aenescens
61=	14	Barnardius zonarius macgillivrayi
61=	14	Barnardius zonarius semitorquatus
61=	14	Barnardius zonarius zonarius
61=	14	Cacatua (Licmetis) sanguinea gymnopis
61=	14	Cacatua (Licmetis) sanguinea normantoni
61=	14	Cacatua (Licmetis) sanguinea sanguinea
61=	14	Ceyx pusilla ramsayi
61=	14	Chicoreus (Triplex) brunneus
61=	14	Demansia psammophis
61=	14	Eudynamys orientalis cyanocephala
61=	14	Eudynamys orientalis subcyanocephala
61=	14	Gavicalis virescens
61=	14	Limnodynastes dumerilii
61=	14	Lophochroa leadbeateri leadbeateri
61=	14	Neobatrachus sutor
61=	14	Neophema (Neonanodes) petrophila petrophila
61=	14	Neophema (Neonanodes) petrophila zietzi
61=	14	Ninox (Ninox) novaeseelandiae boobook
61=	14	Ninox (Ninox) novaeseelandiae leucopsis
61=	14	Ocyphaps lophotes lophotes
61=	14	Ommastrephes bartramii
61=	14	Petrochelidon (Hylochelidon) nigricans neglecta
61=	14	Platycercus (Platycercus) caledonicus brownii
61=	14	Platycercus (Platycercus) elegans fleurieuensis
61=	14	Platycercus (Platycercus) elegans melanoptera
61=	14	Platycercus (Violania) adscitus elecica
61=	14	Platycercus (Violania) adscitus palliceps
61=	14	Platycercus (Violania) eximius
61=	14	Pogona vitticeps
61=	14	Polytelis anthopeplus monarchoides
61=	14	Polytelis swainsonii
61=	14	Rhipidura (Rhipidura) albiscapa alisteri
61=	14	Tiliqua rugosa
61=	14	Urodynamis taitensis
61=	14	Varanus mertensi
61=	14	Vermicella annulata
98=	13	Alisterus scapularis scapularis
98=	13	Boiga irregularis
98=	13	Cacatua (Cacatua) galerita fitzroyi
98=	13	Cacatua (Licmetis) pastinator derbyi
98=	13	Ceyx pusilla halli
98=	13	Colluricincla (Colluricincla) harmonica
98=	13	Ctenophorus nuchalis
98=	13	Cyclorana novaehollandiae
98=	13	Demansia torquata
98=	13	Eremiascincus fasciolatus
98=	13	Eremiascincus richardsonii
98=	13	Euryscaphus angulatus
98=	13	Euryscaphus atratus
98=	13	Euryscaphus carbonarius
98=	13	Euryscaphus dilatatus
98=	13	Euryscaphus obesus ebeninus
98=	13	Euryscaphus obesus sulcicollis
98=	13	Euryscaphus subsulcatus
98=	13	Euryscaphus waterhousei
98=	13	Gelochelidon nilotica
98=	13	Gelochelidon nilotica affinis
98=	13	Gelochelidon nilotica macrotarsa
98=	13	Glochocoris monteithi
98=	13	Hirundo (Hirundo) neoxena
98=	13	Hirundo (Hirundo) neoxena neoxena
98=	13	Isoodon auratus
98=	13	Litoria caerulea
98=	13	Litoria nasuta
98=	13	Litoria rothii
98=	13	Macropus robustus
98=	13	Morethia ruficauda
98=	13	Ninox (Hieracoglaux) connivens connivens
98=	13	Ninox (Hieracoglaux) connivens peninsularis
98=	13	Ninox (Ninox) natalis
98=	13	Ninox (Ninox) novaeseelandiae halmaturina
98=	13	Ninox (Ninox) novaeseelandiae ocellata
98=	13	Notaden bennettii
98=	13	Petrophassa albipennis albipennis
98=	13	Petrophassa albipennis boothi
98=	13	Petrophassa rufipennis
98=	13	Phaps (Phaps) chalcoptera
98=	13	Platycercus (Platycercus) elegans flaveolus
98=	13	Platycercus (Platycercus) elegans nigrescens
98=	13	Platycercus (Platycercus) elegans subadelaidae
98=	13	Platycercus (Violania) adscitus adscitus
98=	13	Platycercus (Violania) adscitus diemenensis
98=	13	Platycercus (Violania) icterotis xanthogenys
98=	13	Platycercus (Violania) venustus hilli
98=	13	Platycercus (Violania) venustus venustus
98=	13	Podargus strigoides brachypterus
98=	13	Polytelis anthopeplus anthopeplus
98=	13	Pseudonaja nuchalis
98=	13	Pseudonaja textilis
98=	13	Pseudophryne bibronii
98=	13	Purpureicephalus spurius
98=	13	Rhinella marina
98=	13	Sminthopsis dolichura
98=	13	Tiliqua scincoides
98=	13	Tympanocryptis lineata
98=	13	Uperoleia rugosa
158=	12	Aegotheles (Aegotheles) cristatus cristatus
158=	12	Aegotheles (Aegotheles) cristatus tasmanicus
158=	12	Aerodramus terraereginae terraereginae
158=	12	Artamus (Angroyan) cinereus
158=	12	Austrochaperina robusta
158=	12	Brachyurophis semifasciatus
158=	12	Cacatua (Cacatua) galerita galerita
158=	12	Cacatua (Licmetis) pastinator pastinator
158=	12	Calyptorhynchus (Calyptorhynchus) banksii banksii
158=	12	Calyptorhynchus (Calyptorhynchus) banksii macrorhynchus
158=	12	Calyptorhynchus (Zanda) latirostris
158=	12	Chalcites (Chalcites) lucidus lucidus
158=	12	Chalcites (Chalcites) lucidus plagosus
158=	12	Chlidonias (Pelodes) hybrida
158=	12	Chlidonias (Pelodes) hybrida javanicus
158=	12	Collocalia esculenta
158=	12	Crinia parinsignifera
158=	12	Cuculus (Cuculus) optatus
158=	12	Cyclorana australis
158=	12	Ducula (Myristicivora) bicolor spilorrhoa
158=	12	Eucleoteuthis luminosa
158=	12	Euryscaphus obesus obesus
158=	12	Eurystomus orientalis pacificus
158=	12	Exomyocara submuticum
158=	12	Gehyra australis
158=	12	Geopelia humeralis headlandi
158=	12	Geopelia humeralis humeralis
158=	12	Geopelia humeralis inexpectata
158=	12	Lathamus discolor
158=	12	Limnodynastes interioris
158=	12	Limnodynastes terraereginae
158=	12	Litoria ewingii
158=	12	Litoria latopalmata
158=	12	Litoria meiriana
158=	12	Lophognathus gilberti
158=	12	Neobatrachus pictus
158=	12	Neobatrachus wilsmorei
158=	12	Nototodarus gouldi
158=	12	Nototodarus hawaiiensis
158=	12	Oedura marmorata
158=	12	Oryctolagus cuniculus
158=	12	Oxycarenus (Oxycarenus) arctatus
158=	12	Oxycarenus (Oxycarenus) bicolor
158=	12	Periglypta reticulata
158=	12	Platycercus (Violania) icterotis icterotis
158=	12	Platyplectrum ornatum
158=	12	Podargus strigoides phalaenoides
158=	12	Podargus strigoides strigoides
158=	12	Potorous tridactylus
