rank	count	URI

1	26	http://biodiversity.org.au/afd.name/466280
2=	24	http://biodiversity.org.au/afd.name/418776
2=	24	http://biodiversity.org.au/afd.name/462609
4	23	http://biodiversity.org.au/afd.name/389935
5	22	http://biodiversity.org.au/afd.name/463204
6=	21	http://biodiversity.org.au/afd.name/455512
6=	21	http://biodiversity.org.au/afd.name/459670
6=	21	http://biodiversity.org.au/afd.name/468421
6=	21	http://biodiversity.org.au/afd.name/471448
10	20	http://biodiversity.org.au/afd.name/467721
11=	18	http://biodiversity.org.au/afd.name/301995
11=	18	http://biodiversity.org.au/afd.name/457697
11=	18	http://biodiversity.org.au/afd.name/459644
11=	18	http://biodiversity.org.au/afd.name/463679
11=	18	http://biodiversity.org.au/afd.name/465238
11=	18	http://biodiversity.org.au/afd.name/471651
11=	18	http://biodiversity.org.au/afd.name/484904
18=	17	http://biodiversity.org.au/afd.name/425840
18=	17	http://biodiversity.org.au/afd.name/439904
18=	17	http://biodiversity.org.au/afd.name/468990
18=	17	http://biodiversity.org.au/afd.name/471287
18=	17	http://biodiversity.org.au/afd.name/471548
18=	17	http://biodiversity.org.au/afd.name/471603
24=	16	http://biodiversity.org.au/afd.name/292263
24=	16	http://biodiversity.org.au/afd.name/301907
24=	16	http://biodiversity.org.au/afd.name/302694
24=	16	http://biodiversity.org.au/afd.name/306731
24=	16	http://biodiversity.org.au/afd.name/314444
24=	16	http://biodiversity.org.au/afd.name/375729
24=	16	http://biodiversity.org.au/afd.name/386244
24=	16	http://biodiversity.org.au/afd.name/425866
24=	16	http://biodiversity.org.au/afd.name/459157
24=	16	http://biodiversity.org.au/afd.name/468172
24=	16	http://biodiversity.org.au/afd.name/468173
24=	16	http://biodiversity.org.au/afd.name/471050
24=	16	http://biodiversity.org.au/afd.name/471062
24=	16	http://biodiversity.org.au/afd.name/471335
24=	16	http://biodiversity.org.au/afd.name/471447
24=	16	http://biodiversity.org.au/afd.name/471584
40=	15	http://biodiversity.org.au/afd.name/301983
40=	15	http://biodiversity.org.au/afd.name/306734
40=	15	http://biodiversity.org.au/afd.name/312319
40=	15	http://biodiversity.org.au/afd.name/344180
40=	15	http://biodiversity.org.au/afd.name/386613
40=	15	http://biodiversity.org.au/afd.name/415973
40=	15	http://biodiversity.org.au/afd.name/432235
40=	15	http://biodiversity.org.au/afd.name/435922
40=	15	http://biodiversity.org.au/afd.name/451293
40=	15	http://biodiversity.org.au/afd.name/452819
40=	15	http://biodiversity.org.au/afd.name/453365
40=	15	http://biodiversity.org.au/afd.name/456291
40=	15	http://biodiversity.org.au/afd.name/456498
40=	15	http://biodiversity.org.au/afd.name/456499
40=	15	http://biodiversity.org.au/afd.name/459877
40=	15	http://biodiversity.org.au/afd.name/460760
40=	15	http://biodiversity.org.au/afd.name/465042
40=	15	http://biodiversity.org.au/afd.name/465648
40=	15	http://biodiversity.org.au/afd.name/466893
40=	15	http://biodiversity.org.au/afd.name/470447
60=	14	http://biodiversity.org.au/afd.name/295531
60=	14	http://biodiversity.org.au/afd.name/317173
60=	14	http://biodiversity.org.au/afd.name/320181
60=	14	http://biodiversity.org.au/afd.name/337726
60=	14	http://biodiversity.org.au/afd.name/347254
60=	14	http://biodiversity.org.au/afd.name/359078
60=	14	http://biodiversity.org.au/afd.name/372065
60=	14	http://biodiversity.org.au/afd.name/375730
60=	14	http://biodiversity.org.au/afd.name/386245
60=	14	http://biodiversity.org.au/afd.name/390016
60=	14	http://biodiversity.org.au/afd.name/414924
60=	14	http://biodiversity.org.au/afd.name/425328
60=	14	http://biodiversity.org.au/afd.name/447544
60=	14	http://biodiversity.org.au/afd.name/452820
60=	14	http://biodiversity.org.au/afd.name/453050
60=	14	http://biodiversity.org.au/afd.name/458826
60=	14	http://biodiversity.org.au/afd.name/462873
60=	14	http://biodiversity.org.au/afd.name/462874
60=	14	http://biodiversity.org.au/afd.name/463189
60=	14	http://biodiversity.org.au/afd.name/464923
60=	14	http://biodiversity.org.au/afd.name/465172
60=	14	http://biodiversity.org.au/afd.name/466904
60=	14	http://biodiversity.org.au/afd.name/467668
60=	14	http://biodiversity.org.au/afd.name/468183
60=	14	http://biodiversity.org.au/afd.name/468565
60=	14	http://biodiversity.org.au/afd.name/469243
60=	14	http://biodiversity.org.au/afd.name/469553
60=	14	http://biodiversity.org.au/afd.name/469560
60=	14	http://biodiversity.org.au/afd.name/469612
60=	14	http://biodiversity.org.au/afd.name/470117
60=	14	http://biodiversity.org.au/afd.name/470448
60=	14	http://biodiversity.org.au/afd.name/470920
60=	14	http://biodiversity.org.au/afd.name/471277
60=	14	http://biodiversity.org.au/afd.name/471278
60=	14	http://biodiversity.org.au/afd.name/471491
60=	14	http://biodiversity.org.au/afd.name/471494
60=	14	http://biodiversity.org.au/afd.name/593192
97=	13	http://biodiversity.org.au/afd.name/291911
97=	13	http://biodiversity.org.au/afd.name/291912
97=	13	http://biodiversity.org.au/afd.name/301337
97=	13	http://biodiversity.org.au/afd.name/304859
97=	13	http://biodiversity.org.au/afd.name/314157
97=	13	http://biodiversity.org.au/afd.name/320115
97=	13	http://biodiversity.org.au/afd.name/322582
97=	13	http://biodiversity.org.au/afd.name/324833
97=	13	http://biodiversity.org.au/afd.name/329133
97=	13	http://biodiversity.org.au/afd.name/330523
97=	13	http://biodiversity.org.au/afd.name/339671
97=	13	http://biodiversity.org.au/afd.name/346941
97=	13	http://biodiversity.org.au/afd.name/352971
97=	13	http://biodiversity.org.au/afd.name/360718
97=	13	http://biodiversity.org.au/afd.name/368566
97=	13	http://biodiversity.org.au/afd.name/368567
97=	13	http://biodiversity.org.au/afd.name/376948
97=	13	http://biodiversity.org.au/afd.name/396199
97=	13	http://biodiversity.org.au/afd.name/396202
97=	13	http://biodiversity.org.au/afd.name/396553
97=	13	http://biodiversity.org.au/afd.name/396616
97=	13	http://biodiversity.org.au/afd.name/400401
97=	13	http://biodiversity.org.au/afd.name/403157
97=	13	http://biodiversity.org.au/afd.name/404413
97=	13	http://biodiversity.org.au/afd.name/415964
97=	13	http://biodiversity.org.au/afd.name/419477
97=	13	http://biodiversity.org.au/afd.name/423706
97=	13	http://biodiversity.org.au/afd.name/423707
97=	13	http://biodiversity.org.au/afd.name/423709
97=	13	http://biodiversity.org.au/afd.name/437200
97=	13	http://biodiversity.org.au/afd.name/440438
97=	13	http://biodiversity.org.au/afd.name/440869
97=	13	http://biodiversity.org.au/afd.name/441523
97=	13	http://biodiversity.org.au/afd.name/443149
97=	13	http://biodiversity.org.au/afd.name/446344
97=	13	http://biodiversity.org.au/afd.name/450370
97=	13	http://biodiversity.org.au/afd.name/455951
97=	13	http://biodiversity.org.au/afd.name/456728
97=	13	http://biodiversity.org.au/afd.name/458087
97=	13	http://biodiversity.org.au/afd.name/459320
97=	13	http://biodiversity.org.au/afd.name/461662
97=	13	http://biodiversity.org.au/afd.name/462311
97=	13	http://biodiversity.org.au/afd.name/463365
97=	13	http://biodiversity.org.au/afd.name/463785
97=	13	http://biodiversity.org.au/afd.name/463841
97=	13	http://biodiversity.org.au/afd.name/465564
97=	13	http://biodiversity.org.au/afd.name/466710
97=	13	http://biodiversity.org.au/afd.name/468267
97=	13	http://biodiversity.org.au/afd.name/468944
97=	13	http://biodiversity.org.au/afd.name/469279
97=	13	http://biodiversity.org.au/afd.name/470036
97=	13	http://biodiversity.org.au/afd.name/470076
97=	13	http://biodiversity.org.au/afd.name/470077
97=	13	http://biodiversity.org.au/afd.name/470416
97=	13	http://biodiversity.org.au/afd.name/470924
