rank	count	BODY

1	526	Nest in ground layer.
2	381	Feather-feeder.
3	299	Prey larval Lepidoptera.
4	245	Nest in soil.
5	241	Soft bottom.
6	187	Under rocks.
7	166	Nymph might be phloem feeder or fungivore.
8	157	Larvae and adults subterranean and burrowing, larvae humus/plant root-feeder.
9	147	Flower visiting record: <I>Eucalyptus</I> L'Hérit. [Myrtaceae].
10	142	Tall forest.
11	132	Parasite from stomach.
12	128	Adults feed on nectar and pollen, larvae in rotten wood.
13	93	Prey adult Diptera.
14	84	Algae.
15	79	Larvae and adults subterranean, humus and fungus feeders.
16	74	Nest arboreal.
17=	54	Humus and fungus feeders.
17=	54	in small intestine
19	53	Collected from rainforest canopy.
20	49	Nymph may be fungal feeder
21	46	Male volant, female flightless.
22	45	Parasite from the gastrointestinal tract.
23	44	In small intestine.
24	43	Larva unknown.
25	42	Parasite from the stomach.
26=	40	Prey spiders, nest using mud or in ground.
26=	40	Social, nests of 'paper'.
28=	39	Female unknown.
28=	39	Under stones.
30=	38	Stream, riverine.
30=	38	Under logs.
32=	37	At rotting fruit.
32=	37	In nests of ants.
34=	35	Larvae and adults inhabit and feed on rotten wood.
34=	35	Prey Hemiptera.
36	33	Forms round lerps.
37=	32	Seasonal breeder, free-living tadpole.
37=	32	Unknown.
39=	31	Flower visiting record: <I>Leptospermum</I> Forster & G.Forster [Myrtaceae].
39=	31	Found on weeds, leaves, roots and stones.
39=	31	Lake margin.
39=	31	Larvae probably feed on rotting wood, humus or grass roots.
39=	31	Male unknown.
39=	31	Prey Orthoptera.
45	28	To 20 m.
46=	27	Damp shady situations.
46=	27	Feeds primarily on ant and termite larvae and pupae.
46=	27	Tall forest, under logs.
49=	26	1-30 m.
49=	26	In burrows, associated with alpheid shrimps.
49=	26	Semiaquatic.
52=	25	Flower visiting record: <I>Eremophila</I> R.Br. [Myoporaceae].
52=	25	Larvae under fallen eucalypt logs.
54	24	Open areas, pastures, mainly cattle dung.
55	22	Only known host.
56	21	Perennially active, viviparous.
57=	20	Male winged, female unknown.
57=	20	On Poaceae.
57=	20	Shallow water.
57=	20	Under figs.
61	19	Larvae in rotten wood.
62=	18	In leaf litter.
62=	18	Invertebrate associate.
62=	18	Male and female apterous.
62=	18	Male winged, female apterous.
66=	17	Brachypterous.
66=	17	In moss.
66=	17	Larvae and adults subterranean and burrowing, larvae humus/plant root-feeder, inquiline.
66=	17	Larvae unknown.
66=	17	Opportunistic breeder in swamps and inundated grassland.
71=	16	Adults feed on nectar and pollen, larvae possibly associated with termites.
71=	16	General carnivore.
71=	16	Larva in dead leaf litter. Larval foodplant: dead leaves of <I>Eucalyptus</I> sp. (Myrtaceae).
71=	16	Littoral (0 to 30 m).
71=	16	On bark.
71=	16	To 200 m.
71=	16	To 30 m.
78=	15	Free-living tadpole.
78=	15	In coral rubble.
78=	15	In rotting logs.
78=	15	Kleptoparasite.
78=	15	Stream.
78=	15	To 100 m.
84=	14	Direct development.
84=	14	Leaf litter.
84=	14	Lotic-erosional habitat.
84=	14	Prey Orthoptera (Gryllidae), nest in pre-existing holes preferred.
84=	14	Pupal enclosure of small stones, pupates within brown silken cocoon.
84=	14	Social, nest unknown, apparently subterranean, diet unknown.
90=	13	100 fathoms (approx. 183 m).
90=	13	Brooks (1948) recorded this species from flowers of <I>Eucalyptus gummifera</I>.
90=	13	Forest, leaf litter.
90=	13	Introduced.
90=	13	Lacertiphagous.
90=	13	Microvore.
90=	13	Mud-nest, prey larval Lepidoptera.
90=	13	Netbuilder.
90=	13	Obligate <I>Prochloron </I>[Prochlorophyta] symbionts.
90=	13	Seasonal breeder in swamps, free-living tadpole.
90=	13	Subsocial.
90=	13	To 20 metres.
102=	12	1-20 m.
102=	12	Construct sack-like silk nets, lotic-erosional.
102=	12	Forms round to oval lerps.
102=	12	In surge zone.
102=	12	Open areas.
102=	12	Snail shell-shaped case of small sand grains.
102=	12	Stream, riverine, larva unknown.
102=	12	With anemones.
110=	11	Ant mimic.
110=	11	Depth 350–385 m.
110=	11	Feeds on detritus.
110=	11	Larva in wet sandy soil near water.
110=	11	Larva pest of sugar cane.
110=	11	Nestling.
110=	11	Stream, larva unknown.
110=	11	To 150 m.
110=	11	male and female apterous.
119=	10	Aposematic, foliage frequenting.
119=	10	Artesian springs.
119=	10	Associated with coral (<I>Acropora</I>).
119=	10	Coastal rivers.
119=	10	Coated with heavy incrustation of soil and debris.
119=	10	Flightless.
119=	10	Flower visiting record: <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Leptospermum</I> Forster & G.Forster [Myrtaceae].
119=	10	Ground dwellers which retreat under stones, debris, logs and tussocks.
119=	10	Larval food plants not recorded.
119=	10	On <I>Casuarina</I> [Casuarinaceae].
119=	10	Parasite from the lungs.
119=	10	Riverine.
119=	10	Shallow waters.
119=	10	Sheltered habitats.
