rank	count	TAXON_URI

1=	2	http://biodiversity.org.au/afd.taxon/1fb2c4cf-4b41-4447-863c-4798d3f2eb56
1=	2	http://biodiversity.org.au/afd.taxon/562dd6d7-a071-4113-bdce-529c00781e09
3=	1	http://biodiversity.org.au/afd.taxon/000059a7-3415-4a7b-b9b8-0e3c390092a1
3=	1	http://biodiversity.org.au/afd.taxon/0009d0f1-161e-4b94-b0ed-b13e219a8f14
3=	1	http://biodiversity.org.au/afd.taxon/000d45dd-c21c-4120-9c0c-9e39f03ef151
3=	1	http://biodiversity.org.au/afd.taxon/000d9bb9-8c05-4d03-bab0-698be3947867
3=	1	http://biodiversity.org.au/afd.taxon/00110322-85ff-4f0b-9c2c-581d0f7d3b58
3=	1	http://biodiversity.org.au/afd.taxon/0016b606-3ac5-48d9-b1f5-3247c7b7d839
3=	1	http://biodiversity.org.au/afd.taxon/001edf5d-e193-4d95-b174-83b2ccbdb19b
3=	1	http://biodiversity.org.au/afd.taxon/002359f3-9c33-4bbe-a9a3-32dc4dcffbae
3=	1	http://biodiversity.org.au/afd.taxon/002559a3-9229-4d9b-9a89-723cc2c029d4
3=	1	http://biodiversity.org.au/afd.taxon/002f7c30-7605-4aaa-a032-e3ea2a11bb58
3=	1	http://biodiversity.org.au/afd.taxon/00383d6e-0015-40d4-8746-c85486922810
3=	1	http://biodiversity.org.au/afd.taxon/00399ce3-af1c-4014-a571-26fe45738c5c
3=	1	http://biodiversity.org.au/afd.taxon/003a3cb4-3773-4521-995b-45d24ea4ef72
3=	1	http://biodiversity.org.au/afd.taxon/003b641e-f639-4d7e-84ae-9c144eddf0d3
3=	1	http://biodiversity.org.au/afd.taxon/003b984f-c34e-43f1-a37a-5c33dd9cb57c
3=	1	http://biodiversity.org.au/afd.taxon/003d4c1d-9885-4a75-9bd5-c5fdc92c26c4
3=	1	http://biodiversity.org.au/afd.taxon/003f2307-8a20-44e5-8207-5f9c1bceaba6
3=	1	http://biodiversity.org.au/afd.taxon/0040ef27-f305-439f-8709-cc6966f8eb90
3=	1	http://biodiversity.org.au/afd.taxon/0040f712-b2ad-4275-8f4f-2c0c354e8b77
3=	1	http://biodiversity.org.au/afd.taxon/004179cf-8911-4897-b1d4-f9801142f2c3
3=	1	http://biodiversity.org.au/afd.taxon/004d57b1-bafc-4e65-b9c8-3061b2fb9974
3=	1	http://biodiversity.org.au/afd.taxon/00527081-7360-4881-9ebf-fe80dea421b0
3=	1	http://biodiversity.org.au/afd.taxon/00574ab5-d5dc-42b3-bf33-bba330df219b
3=	1	http://biodiversity.org.au/afd.taxon/0059a81e-ddb2-4285-bee4-0e3b6849ab7a
3=	1	http://biodiversity.org.au/afd.taxon/00601e9a-f3d5-402d-8c5c-196af1756eea
3=	1	http://biodiversity.org.au/afd.taxon/0064197c-0bae-43ab-80d9-f472b8df7dab
3=	1	http://biodiversity.org.au/afd.taxon/00642da2-3153-4b84-b8db-b311b237728c
3=	1	http://biodiversity.org.au/afd.taxon/0068a5a9-9cdb-46eb-a97f-2ae3c6d003dd
3=	1	http://biodiversity.org.au/afd.taxon/0069d066-3c33-4e30-8cce-9215a97eacf8
