rank	count	NAME_AUTHORSHIP

1	3033	Fabricius
2	2567	Linnaeus
3	2142	Maskell
4	1816	Moore
5	1480	Hewitson
6	1295	Taylor
7	1102	Martin
8	1098	Froggatt
9	997	Mawson
10	920	Donovan
11	851	Signoret
12	820	Johnston & Mawson
13	594	C. & R. Felder
14	582	Leach
15	529	Bouché
16	518	C. Felder
17	510	Brimblecombe
18	508	Yamaguti
19	453	Miskin
20	428	Herrich-Schäffer
21	427	Rudolphi
22	391	Westwood
23	385	Walker
24	378	Semper
25	377	Beveridge
26	369	Boisduval
27	364	Waterhouse
28	350	Green
29	316	McLeod, Smyth & Reay
30	315	Comstock
31	313	W.S. Macleay
32	301	Jones
33	300	Blanchard
34	299	Stål
35	279	T.P. Lucas
36	276	Takahashi
37	272	Johnston
38	263	Tatarnic & Cassis
39	243	Morgan
40	229	Waterhouse & Lyell
41	226	Mawson, Angel & Edmonds
42	218	Quaintance & Baker
43	209	Colbran
44	203	Cramer
45=	202	Beumer <em>et al</em>.
45=	202	Lea
47	200	Distant
48	198	Looss
49	191	Butler
50	190	Cooley
51	185	Bray, Cribb & Barker
52=	184	Guenée
52=	184	Rothschild
54	183	Manter
55=	172	Baylis
55=	172	Guérin-Méneville
57=	164	Bergroth
57=	164	Kirkaldy
59	163	Cobb
60=	160	Beveridge & Durette-Desset
60=	160	Crespi, Morris & Mound
60=	160	Gross
60=	160	Linstow
60=	160	McCoy
60=	160	Murray
66=	157	Dallas
66=	157	Piaget
68=	154	Carvalho & Gross
68=	154	Lower
70=	153	Evans
70=	153	Martin & Carver
72	150	Timmermann
73	149	Campbell & Beveridge
74	148	Goeze
75=	144	Cassis & Symonds
75=	144	Solomon
77	140	Fuller
78	139	Mackerras
79	137	G.S. Taylor
80	135	Cox
81	134	Nicolle & Manceaux
82	133	Olliff
83	130	Targioni
84	126	Delvinquier
85	123	Pichelin <em>et al</em>.
86=	120	Cassone & Baccam
86=	120	Schuh & Weirauch
88	115	Laing
89	112	Burmeister
90	110	Perty
91	108	Spratt
92=	105	Newstead
92=	105	Noack, Cassis & Rose
94	104	Kirby
95=	103	Fruhstorfer
95=	103	Raff
97=	100	Kane
97=	100	Wood
99	99	Röber
100=	97	Cockerell
100=	97	Kolesik
102	96	Metcalf
103	95	Girault
104	94	Riley & Self
105=	92	Knight
105=	92	Railliet
107=	90	Humphery-Smith
107=	90	Smales
109	89	Giles
110	88	Davaine
111	87	NULL
112=	86	Lavier
112=	86	Raski
114=	84	Barker, O'Callaghan & Beveridge
114=	84	Cobbold
114=	84	Dumbleton
114=	84	Humphery-Smith & Durette-Desset
118=	83	Cleland & Johnston
118=	83	Rudow
120	82	Dobell
121=	80	Antonius & Lipscomb
121=	80	Clay
123=	78	Corbett
123=	78	Godart
123=	78	Kotinsky
123=	78	Quaintance
127=	77	Curtis
127=	77	Gray
129=	75	Gory & Laporte
129=	75	Meyrick
131	74	Carter
132	73	Barker
133=	72	Mound
133=	72	Orton Williams
135	71	Burger & Adlard
136=	70	Batsch
136=	70	Meyrick & Lower
138=	69	Davies
138=	69	Stoll
140	68	Cribb
141=	67	Giebel
141=	67	Stiles
143	66	Grassi
144	65	Moulton
145=	63	Denny
145=	63	Horsfield
145=	63	Montrouzier
145=	63	Tuthill
149	62	Williams
150=	60	Kung
150=	60	Lutz
152=	59	Hacker
152=	59	Matsumura
152=	59	Plötz
152=	59	Saunders
156=	58	Gunter & Adlard
156=	58	Johnston & Cleland
156=	58	Kéler
156=	58	Menard & Schuh
156=	58	Mound & Morris
