rank	count	NAME_LSID

1	540	urn:lsid:biodiversity.org.au:afd.name:345598
2	484	urn:lsid:biodiversity.org.au:afd.name:543953
3	440	urn:lsid:biodiversity.org.au:afd.name:308237
4	405	urn:lsid:biodiversity.org.au:afd.name:543943
5	350	urn:lsid:biodiversity.org.au:afd.name:397304
6	324	urn:lsid:biodiversity.org.au:afd.name:365313
7	304	urn:lsid:biodiversity.org.au:afd.name:442842
8	300	urn:lsid:biodiversity.org.au:afd.name:355120
9=	279	urn:lsid:biodiversity.org.au:afd.name:328273
9=	279	urn:lsid:biodiversity.org.au:afd.name:543941
11	265	urn:lsid:biodiversity.org.au:afd.name:393701
12=	243	urn:lsid:biodiversity.org.au:afd.name:328027
12=	243	urn:lsid:biodiversity.org.au:afd.name:405557
14	230	urn:lsid:biodiversity.org.au:afd.name:301444
15	205	urn:lsid:biodiversity.org.au:afd.name:581717
16	203	urn:lsid:biodiversity.org.au:afd.name:343595
17	200	urn:lsid:biodiversity.org.au:afd.name:445754
18	189	urn:lsid:biodiversity.org.au:afd.name:544396
19	185	urn:lsid:biodiversity.org.au:afd.name:367728
20	170	urn:lsid:biodiversity.org.au:afd.name:301443
21	168	urn:lsid:biodiversity.org.au:afd.name:326876
22=	162	urn:lsid:biodiversity.org.au:afd.name:297014
22=	162	urn:lsid:biodiversity.org.au:afd.name:355017
24	160	urn:lsid:biodiversity.org.au:afd.name:320175
25=	153	urn:lsid:biodiversity.org.au:afd.name:313452
25=	153	urn:lsid:biodiversity.org.au:afd.name:362683
25=	153	urn:lsid:biodiversity.org.au:afd.name:380731
28	150	urn:lsid:biodiversity.org.au:afd.name:349102
29	147	urn:lsid:biodiversity.org.au:afd.name:543643
30=	144	urn:lsid:biodiversity.org.au:afd.name:315827
30=	144	urn:lsid:biodiversity.org.au:afd.name:375245
32=	143	urn:lsid:biodiversity.org.au:afd.name:337688
32=	143	urn:lsid:biodiversity.org.au:afd.name:543803
34=	140	urn:lsid:biodiversity.org.au:afd.name:324688
34=	140	urn:lsid:biodiversity.org.au:afd.name:327813
36	135	urn:lsid:biodiversity.org.au:afd.name:401572
37	134	urn:lsid:biodiversity.org.au:afd.name:537130
38	133	urn:lsid:biodiversity.org.au:afd.name:343596
39	130	urn:lsid:biodiversity.org.au:afd.name:344077
40=	126	urn:lsid:biodiversity.org.au:afd.name:323326
40=	126	urn:lsid:biodiversity.org.au:afd.name:442844
42	120	urn:lsid:biodiversity.org.au:afd.name:299211
