rank	count	NAME_YEAR

1	2018	1758
2	1561	1775
3	1446	1999
4	1260	1869
5	1104	1970
6	1021	1892
7	987	1961
8	920	1805
9	875	1865
10	834	1879
11	832	1793
12	807	1987
13	773	1889
14	704	1985
15	644	1994
16	632	1914
17=	573	1814
17=	573	1900
19	563	1860
20	510	1833
21	506	2008
22	504	1896
23	502	1874
24	500	1787
25	489	1908
26	472	1990
27	447	1890
28	435	2011
29	421	1986
30	408	1917
31	407	1901
32=	406	1903
32=	406	1960
34	404	1853
35	391	1899
36	388	1911
37	383	1934
38=	378	1848
38=	378	1891
40	375	1862
41	374	1942
42	370	1938
43	367	1858
44	365	1981
45	363	1982
46	361	1868
47	360	1893
48	355	1936
49	353	1983
50	352	1959
51	346	2009
52	340	1851
53	339	1767
54	329	1907
55=	327	1826
55=	327	1902
57	324	1832
58	322	1909
59	318	2010
60	303	1867
61=	301	1819
61=	301	1988
63	298	1957
64	294	1886
65	292	1923
66	288	1875
67	287	1962
68	286	1973
69=	284	1939
69=	284	2004
71	281	1992
72	279	1897
73	272	2000
74	268	2002
75	267	1910
76	264	1881
77=	254	1894
77=	254	1905
79	252	1895
80	246	1975
81=	243	1912
81=	243	1958
83	242	1980
84	238	1929
85	236	1926
86	235	1852
87=	233	1937
87=	233	1968
89	230	1940
90	227	1935
91	226	1964
92=	225	1965
92=	225	1996
94	224	1916
95	223	1969
96=	218	1904
96=	218	1931
98	217	1976
99	215	1882
100=	209	1873
100=	209	1979
102	201	1995
103	200	1925
104	199	1906
105	186	1997
106=	184	1989
106=	184	1998
108=	181	1898
108=	181	1971
110=	180	1866
110=	180	1915
112	175	1863
113	173	1857
114	172	1859
115	168	2007
116=	166	1956
116=	166	2012
118	163	1950
119	162	2003
120	159	1967
121	156	2001
122	154	1913
123=	150	1837
123=	150	1932
125=	149	1941
125=	149	1954
127	148	1977
128	146	1779
129	144	1952
130	142	1922
131	133	1880
132=	132	1876
132=	132	1930
134	130	1803
135=	129	1928
135=	129	2005
137	126	1763
138	125	1842
139=	123	1830
139=	123	1948
141	121	1883
142	120	1927
143	119	2006
144	118	1984
145	117	1888
146	116	1885
147=	115	1835
147=	115	1933
147=	115	1978
150	111	1993
151	110	1843
152	109	1991
153	108	1802
154	107	1921
155	106	1966
156	104	1838
157=	103	1861
157=	103	1972
159	102	1945
160	100	1777
161	99	NULL
162=	96	1829
162=	96	1953
164	95	1780
165	92	1831
166	84	1949
167=	83	1846
167=	83	1920
169	82	1963
170	81	1798
171	80	1768
172	76	1974
173	75	1924
174	74	1877
175	73	1951
176	72	1786
177=	70	1872
177=	70	1918
179	64	1919
180	61	1850
181=	60	1764
181=	60	1841
181=	60	1884
184	58	1955
185	57	1794
186	53	1800
187	50	1870
188	49	1809
189	48	1947
190=	43	1782
190=	43	1847
190=	43	1856
193=	40	1817
193=	40	1824
195=	39	1773
195=	39	1844
197	38	1783
198=	36	1878
198=	36	2013
200	34	1839
201	33	1834
202	32	1887
203=	31	1789
203=	31	1836
205	30	1818
206=	29	1857 [1858]
206=	29	1871
208	27	1849
209	26	1781
210=	25	1845
210=	25	1864
210=	25	1943
213	24	1854
214	23	1944
215	20	[1777]
216	18	1946
217	17	1811
218	15	1823
219=	14	1778
219=	14	1855
221=	12	1784
221=	12	1790
223	11	1801
224	10	1766
225	9	1840
226=	8	1776
226=	8	1788
228=	6	1730
228=	6	1761
228=	6	1810
228=	6	1828
232=	4	1762
232=	4	1815
234=	3	1774
234=	3	1795
236=	2	1771
236=	2	1791
236=	2	[1863]
239=	1	1799
239=	1	1807
239=	1	1808
239=	1	1816
239=	1	1821
239=	1	1825
239=	1	in prep

55963	TOTAL
