rank	count	N_EPITHET_NAME

1	40088	NULL
2	193	Sheep
3	168	Termite
4=	119	Goat
4=	119	River Red Gum
6	109	Human
7	107	Eastern Grey Kangaroo
8	105	Swamp Wallaby
9	89	Horse
10=	86	Bush Rat
10=	86	Common Wallaroo
12	84	Dusky Antechinus
13	82	Short-beaked Echidna
14	80	Rabbit
15	77	Long-nosed Bandicoot
16	76	Agile Antechinus
17	74	Southern Brown Bandicoot
18=	72	Brown Antechinus
18=	72	Pig
20	69	Orange
21=	65	House Mouse
21=	65	Red Deer
23=	62	Cat
23=	62	Northern Quoll
23=	62	Ox
26	61	Domestic Dog
27	60	Western Grey Kangaroo
28	54	Tantoon
29	52	Brown Rat
30	50	Common Brushtail Possum
31	49	Red-legged Pademelon
32	46	Inland Yabbie
33=	45	Black Rat
33=	45	Black-striped Wallaby
33=	45	European Cattle
36	44	Red-necked Pademelon
37=	41	Green and Golden Bell Frog
37=	41	Northern Brown Bandicoot
37=	41	Yellow-footed Antechinus
40	39	Tasmanian Pademelon
41=	38	Quokka
41=	38	Spotted Grass Frog
43=	37	Long-nosed Potoroo
43=	37	Pink Gum
43=	37	Sea Mullet
46=	36	Eastern Quoll
46=	36	Red-capped Plover
48=	35	Green Tree Frog
48=	35	Gummy Shark
48=	35	Red Kangaroo
51=	34	Brown Stringybark
51=	34	Marron
51=	34	White-footed Dunnart
54=	33	Black Swan
54=	33	European Brown Hare
54=	33	Manna Gum
57=	32	Cotton
57=	32	Forest Red Gum
57=	32	Gum trees
57=	32	Red Junglefowl
57=	32	Red-bellied Black Snake
62=	31	Blakely's Red Gum
62=	31	Fawn-footed Melomys
62=	31	Pacific Black Duck
62=	31	Water-rat
66=	30	Eastern Dwarf Tree Frog
66=	30	Narrow-leaved Red Ironbark
66=	30	orange
69=	29	Brush-tailed Possum
69=	29	Hoop Pine
69=	29	Peron’s Tree Frog
69=	29	Red Bloodwood
69=	29	Spotted-tailed Quoll
74=	28	Australian Brush-turkey
74=	28	Coral
74=	28	Desert Tree Frog
74=	28	Emu
74=	28	Northern Nailtail Wallaby
74=	28	Swamp Rat
74=	28	Tammar Wallaby
81=	27	Masked Lapwing
81=	27	Red-necked Wallaby, Bennett’s Wallaby
81=	27	Striped Marsh Frog
81=	27	White Mahogany
85=	26	Blue Gum
85=	26	Dog
85=	26	Domestic Chicken
85=	26	Giant White-tailed Rat
85=	26	Golden Perch
85=	26	Lace Monitor
85=	26	Lemon
85=	26	Spectacled Hare-wallaby
85=	26	Tammar Wallaby, Dama Wallaby
94=	25	Canefield Rat
94=	25	Dingo
94=	25	Gould's Goanna
94=	25	Parma Wallaby
94=	25	Southern Hairy-nosed Wombat
94=	25	White-faced Heron
94=	25	papaya
101=	24	Agile Wallaby
101=	24	Black-browed Albatross
101=	24	Broad-palmed Frog
101=	24	Cattle
101=	24	Common Bent-wing Bat
101=	24	Cowtail Stingray
101=	24	Roth’s Tree Frog
108=	23	Boxthorn
108=	23	Brush-tailed Phascogale
108=	23	Chuditch
108=	23	Common Sawshark
108=	23	Freshwater Catfish
108=	23	Guinea Grass
108=	23	Marine Toad, Cane Toad
108=	23	Soap Mallee
108=	23	Western Banjo Frog
117=	22	Anopheline Mosquito
117=	22	Dwarf Apple
117=	22	Fawn Footed Melomys
117=	22	Grey Teal
117=	22	Ornate Burrowing Frog
117=	22	Unadorned Rock-wallaby
117=	22	Wedgefish
117=	22	White-headed Petrel
125=	21	Allied Rock-wallaby
125=	21	Australian Pelican
125=	21	Black Peppermint
125=	21	Budgerigar
125=	21	Common Ringtail Possum
125=	21	Longfin Eel
125=	21	Narrow-leaved Peppermint
125=	21	Rocket Frog
125=	21	Saltwater Crocodile
125=	21	Southern Fiddler Ray
125=	21	Tea-Tree
136=	20	Chestnut Teal
136=	20	Dusky Flathead
136=	20	Fallow Deer
136=	20	Fox
136=	20	Grassland Melomys
136=	20	Green Tree Ant
136=	20	House Sparrow
136=	20	Red-necked Wallaby
136=	20	Sulphur-crested Cockatoo
136=	20	custard apple
136=	20	kiwifruit
136=	20	mandarin
148=	19	Bare-nosed Wombat
148=	19	Brown Falcon
148=	19	Carpet Python
148=	19	Lesueur’s Frog
148=	19	Narrow-Leaved Red Mallee
