rank	count	N_FAMILY

1	7338	MYRTACEAE
2	3940	MIMOSACEAE
3	2874	NULL
4	1978	FABACEAE
5	1750	MACROPODIDAE
6	1560	POACEAE
7	1452	RUTACEAE
8	1360	LORANTHACEAE
9	947	MURIDAE
10	940	PROTEACEAE
11	769	LAURACEAE
12	733	SAPINDACEAE
13	622	CAESALPINIACEAE
14	592	EUPHORBIACEAE
15	521	ROSACEAE
16	518	MORACEAE
17	493	HYLIDAE
18	491	ANNONACEAE
19	480	CHENOPODIACEAE
20	474	CYPERACEAE
21	449	BOVIDAE
22	448	DASYURIDAE
23	445	FORMICIDAE
24	423	CASUARINACEAE
25	420	ASTERACEAE
26	416	ASCLEPIADACEAE
27	399	POMACENTRIDAE
28	380	ARECACEAE
29	379	PROCELLARIIDAE
30	368	ACANTHACEAE
31	336	MYOBATRACHIDAE
32	325	ANATIDAE
33	322	MALVACEAE
34	290	COMBRETACEAE
35	283	Dasyuridae
36	263	STERCULIACEAE
37	255	CAPPARACEAE
38	252	EPACRIDACEAE
39	251	VERBENACEAE
40	240	SOLANACEAE
41	232	CHAETODONTIDAE
42	229	ANACARDIACEAE
43	228	APOCYNACEAE
44	210	Myrtaceae
45	203	ARISTOLOCHIACEAE
46	201	SANTALACEAE
47=	200	PERAMELIDAE
47=	200	XANTHORRHOEACEAE
49	197	RUBIACEAE
50	190	PITTOSPORACEAE
51	189	MYOPORACEAE
52	174	SCINCIDAE
53	172	PASSIFLORACEAE
54	168	RHAMNACEAE
55	164	FLACOURTIACEAE
56	163	SCROPHULARIACEAE
57	161	Bovidae
58	159	MELIACEAE
59	157	ELAPIDAE
60	154	PARASTACIDAE
61	150	OLEACEAE
62	149	VARANIDAE
63	148	ORCHIDACEAE
64	146	CERVIDAE
65	144	CHARADRIIDAE
66	141	ULMACEAE
67	140	SCOMBRIDAE
68	138	LAMIACEAE
69	137	LARIDAE
70	136	MUGILIDAE
71	133	PSITTACIDAE
72	131	CANIDAE
73	126	CARANGIDAE
74	123	DIOMEDEIDAE
75	116	DASYATIDAE
76=	115	COLUMBIDAE
76=	115	HOMINIDAE
76=	115	PHASIANIDAE
79	108	PERCICHTHYIDAE
80	107	SERRANIDAE
81=	105	PLATYCEPHALIDAE
81=	105	URTICACEAE
83	104	KALOTERMITIDAE
84=	99	PINACEAE
84=	99	SPARIDAE
86=	97	POTOROIDAE
86=	97	RHIZOPHORACEAE
88=	94	ACCIPITRIDAE
88=	94	MYRSINACEAE
90	93	LEPORIDAE
91	92	AGAMIDAE
92	91	CHELIDAE
93=	89	SIGANIDAE
93=	89	VITACEAE
95=	88	BOIDAE
95=	88	MELIPHAGIDAE
97=	87	Fabaceae
97=	87	MONIMIACEAE
99	84	ARAUCARIACEAE
100=	83	PANDANACEAE
100=	83	SILLAGINIDAE
102	81	EQUIDAE
103=	80	MUSACEAE
103=	80	RALLIDAE
105	79	CACTACEAE
106=	78	AMARANTHACEAE
106=	78	GRAMINEAE
108=	76	ARALIACEAE
108=	76	BRASSICACEAE
110	75	ELAEOCARPACEAE
111	74	SUIDAE
112=	72	PHALANGERIDAE
112=	72	ZAMIACEAE
114=	71	CUNONIACEAE
114=	71	LABRIDAE
116=	70	CUCURBITACEAE
116=	70	MONACANTHIDAE
118=	69	ACANTHURIDAE
118=	69	CACATUIDAE
120=	68	ARDEIDAE
120=	68	CYCADACEAE
120=	68	LYTHRACEAE
123=	67	Macropodidae
123=	67	SCOLOPACIDAE
123=	67	THYMELAEACEAE
126	66	POLYGONACEAE
127=	65	BORAGINACEAE
127=	65	CUPRESSACEAE
127=	65	RHINOBATIDAE
130=	64	CARCHARHINIDAE
130=	64	FELIDAE
132	62	ERICACEAE
133	59	Peramelidae
134=	58	MEGAPODIIDAE
134=	58	Muridae
134=	58	PSEUDOCHEIRIDAE
134=	58	SPHENISCIDAE
134=	58	THEACEAE
139	57	TERAPONTIDAE
140=	56	Asteraceae
140=	56	CELASTRACEAE
140=	56	GEKKONIDAE
140=	56	LECYTHIDACEAE
140=	56	PLANTAGINACEAE
140=	56	SMILACACEAE
140=	56	Tachyglossidae
147	55	VOMBATIDAE
148	54	CONNARACEAE
149	53	GOODENIACEAE
150=	52	ACROPORIDAE
150=	52	Phalangeridae
152=	51	KYPHOSIDAE
152=	51	Leporidae
152=	51	VESPERTILIONIDAE
155=	50	CORVIDAE
155=	50	IRIDACEAE
155=	50	TERMOPSIDAE
155=	50	XIPHIIDAE
159	49	VIOLACEAE
160=	48	ANGUILLIDAE
160=	48	LOGANIACEAE
160=	48	RHINOTERMITIDAE
160=	48	VISCACEAE
164=	47	ARRIPIDAE
164=	47	ATHERINIDAE
164=	47	CONVOLVULACEAE
164=	47	CULICIDAE
164=	47	Leguminosae
169=	46	LUTJANIDAE
169=	46	POLYPODIACEAE
169=	46	RECURVIROSTRIDAE
169=	46	TETRAODONTIDAE
173	45	TRIAKIDAE
174	44	UROLOPHIDAE
175=	43	FALCONIDAE
175=	43	Sapindaceae
177=	42	Cervidae
177=	42	PHOCIDAE
179	41	LETHRINIDAE
180=	40	PLOTOSIDAE
180=	40	ZEIDAE
182=	39	CHRYSOMELIDAE
182=	39	ELEOTRIDAE
182=	39	FLAGELLARIACEAE
185=	38	BERYCIDAE
185=	38	Proteaceae
185=	38	THRESKIORNITHIDAE
188	37	CYPRINIDAE
189=	36	BUFONIDAE
189=	36	HIPPOCRATEACEAE
189=	36	MYLIOBATIDAE
189=	36	Mimosaceae
193=	35	DELPHINIDAE
193=	35	PHALACROCORACIDAE
195=	34	CLUPEIDAE
195=	34	Elapidae
195=	34	FAGACEAE
195=	34	GALAXIIDAE
199=	33	CHEILODACTYLIDAE
199=	33	CUCULIDAE
199=	33	EBENACEAE
202=	32	AGAVACEAE
202=	32	JUGLANDACEAE
202=	32	OSTRACIIDAE
202=	32	PORTULACACEAE
206=	31	CARICACEAE
206=	31	CHRYSOBALANACEAE
206=	31	Poaceae
209=	30	GUTTIFERAE
209=	30	ISTIOPHORIDAE
209=	30	TILIACEAE
209=	30	Vespertilionidae
213=	29	APIACEAE
213=	29	ARACEAE
213=	29	SAPOTACEAE
216=	28	ARTAMIDAE
216=	28	Elapidae 
216=	28	LILIACEAE
216=	28	Nothofagaceae
220=	27	PRISTIOPHORIDAE
220=	27	PTEROPODIDAE
222=	26	BLENNIIDAE
222=	26	GERREIDAE
222=	26	OCEANITIDAE
222=	26	PENEIDAE
222=	26	Rosaceae
222=	26	TACHYGLOSSIDAE
228=	25	COLUBRIDAE
228=	25	Crocodylidae 
228=	25	Euphorbiaceae
228=	25	HEMISCYLLIIDAE
228=	25	NOTOTHENIIDAE
228=	25	OXALIDACEAE
234=	24	APOGONIDAE
234=	24	BALISTIDAE
234=	24	Boidae
234=	24	CROCODYLIDAE
234=	24	LEGUMINOSAE
234=	24	Moraceae
234=	24	PLATYCERCIDAE
234=	24	PODARGIDAE
234=	24	STRIGIDAE
234=	24	STRYCHNACEAE
244=	23	CAMELIDAE
244=	23	CHANNICHTHYIDAE
244=	23	CLUSIACEAE
244=	23	COMPOSITAE
244=	23	FERGUSONINIDAE
244=	23	MELANOTAENIIDAE
244=	23	POECILIIDAE
251=	22	BOMBACACEAE
251=	22	CAPPARIDACEAE
251=	22	CAPRIFOLIACEAE
251=	22	OREOSOMATIDAE
251=	22	PETAURIDAE
251=	22	PHREATOICIDAE
251=	22	POMACANTHIDAE
251=	22	Potoroidae
251=	22	RHYNCHOBATIDAE
251=	22	SCORPAENIDAE
251=	22	SULIDAE
262=	21	CASUARIIDAE
262=	21	ORECTOLOBIDAE
262=	21	PASSERIDAE
262=	21	PELECANIDAE
262=	21	PLUMBAGINACEAE
262=	21	Phasianidae
262=	21	SALMONIDAE
262=	21	STAPHYLINIDAE
270=	20	ACTINIDIACEAE
270=	20	ASPLENIACEAE
270=	20	Araucariaceae
270=	20	CYCLOPOIDAE
270=	20	PODOCARPACEAE
270=	20	PTILONORHYNCHIDAE
270=	20	SALICACEAE
270=	20	ZYGOPHYLLACEAE
278=	19	BETULACEAE
278=	19	ZINGIBERACEAE
280=	18	Anacardiaceae
280=	18	CAESIONIDAE
280=	18	CRUCIFERAE
280=	18	Diogenidae
280=	18	HAEMATOPODIDAE
280=	18	MALPHIGIACEAE
280=	18	MOLLUGINACEAE
280=	18	NEMIPTERIDAE
280=	18	PUNICACEAE
280=	18	SCIAENIDAE
290=	17	BATHYDRACONIDAE
290=	17	CURCULIONIDAE
290=	17	Chenopodiaceae
290=	17	HAEMULIDAE
290=	17	MASTOTERMITIDAE
295=	16	Avicenniaceae
295=	16	DICKSONIACEAE
295=	16	DIPSACACEAE
295=	16	GERANIACEAE
295=	16	OCHNACEAE
295=	16	POCILLOPORIDAE
295=	16	TERMITIDAE
302=	15	BURRAMYIDAE
302=	15	GROSSULARIACEAE
302=	15	HIRUNDINIDAE
302=	15	Labridae
302=	15	MORIDAE
302=	15	MURAENIDAE
302=	15	NYCTAGINACEAE
302=	15	PACHYCEPHALIDAE
302=	15	SATALACEAE
302=	15	STRELITZIACEAE
302=	15	TERAPONIDAE
313=	14	AMARYLLIDACEAE
313=	14	ARTEDIDRACONIDAE
313=	14	BIXACEAE
313=	14	CORYPHAENIDAE
313=	14	Casuarinaceae
313=	14	GINGLYMOSTOMATIDAE
313=	14	HETERODONTIDAE
313=	14	Hylidae
313=	14	LUMBRICIDAE
313=	14	MUSCICAPIDAE
313=	14	MYRISTICACEAE
313=	14	NOCTUIDAE
313=	14	PERGIDAE
313=	14	PERMELIDAE
313=	14	PODICIPEDIDAE
313=	14	PRIACANTHIDAE
313=	14	Palaemonidae
313=	14	Scolopacidae
313=	14	Verbenaceae
313=	14	WINTERACEAE
333=	13	AMBASSIDAE
333=	13	ANSERANATIDAE
333=	13	CENTROLOPHIDAE
333=	13	CENTROPOMIDAE
333=	13	CORCORACIDAE
333=	13	Combretaceae
333=	13	Cupressaceae
333=	13	ELAEAGNACEAE
333=	13	GEMPYLIDAE
333=	13	Hominidae
333=	13	Luguminosae (Fabaceae)
333=	13	MONODACTYLIDAE
333=	13	Malvaceae
333=	13	RAJIDAE
333=	13	Solanaceae
348=	12	ACRIDIDAE
348=	12	AVICENNIACEAE
348=	12	Apocynaceae
348=	12	BROMELIACEAE
348=	12	CRACTICIDAE
348=	12	CRASSULACEAE
348=	12	DAVALLIACEAE
348=	12	EMMELICHTHYIDAE
348=	12	Equidae
348=	12	FREGATIDAE
348=	12	IXODIDAE
348=	12	LILLICEAE
348=	12	Leguminosae (Fabaceae)
348=	12	MINIOPTERIDAE
348=	12	OSTREIDAE
348=	12	PHASCOLARCTIDAE
348=	12	Rhamnaceae
348=	12	SCATOPHAGIDAE
348=	12	SPHYRAENIDAE
348=	12	Suidae
348=	12	Thylacinidae
369=	11	ACERACEAE
369=	11	CALLIONYMIDAE
369=	11	CARYOPHYLLACEAE
369=	11	CURCULIONIDAE: SCOLYTINAE
369=	11	Crocodylidae
369=	11	DASYPOGONACEAE
369=	11	GOBIIDAE
369=	11	LABIATAE
369=	11	LATRIDAE
369=	11	MALPIGHIACEAE
369=	11	SPHYRNIDAE
369=	11	STURNIDAE
369=	11	SURIANACEAE
382=	10	ARIIDAE
382=	10	AULOPODIDAE
382=	10	DICRURIDAE
382=	10	DILLENIACEAE
382=	10	DIOSCOREACEAE
382=	10	GENTIANACEAE
382=	10	KOGIIDAE
382=	10	Lauraceae
382=	10	ONAGRACEAE
382=	10	OTARIIDAE
382=	10	PLOCEIDAE
382=	10	PORTUNIDAE
382=	10	Petauridae
382=	10	RESEDACEAE
382=	10	Rutaceae
382=	10	SQUALIDAE
382=	10	TROPAEOLACEAE
382=	10	TYTONIDAE
400=	9	ALOACEAE
400=	9	ANHINGIDAE
400=	9	Amaryllidaceae
400=	9	CORACIIDAE
400=	9	Canidae
400=	9	FANACEAE
400=	9	Gramineae
400=	9	HALCYONIDAE
400=	9	HARPAGIFERIDAE
400=	9	Iridaceae
400=	9	LORANTACEAE
400=	9	MACROURIDAE
400=	9	MIMOSCAEAE
400=	9	MOLIDAE
400=	9	MYRMECOBIIDAE
400=	9	Macropidae
400=	9	Monacanthidae
400=	9	OPLEGNATHIDAE
400=	9	ORIOLIDAE
400=	9	POMATOMIDAE
400=	9	Rubiaceae
400=	9	SYNODONTIDAE
400=	9	Sparidae
400=	9	TEPHRITIDAE
400=	9	TRIACANTHIDAE
400=	9	TURDIDAE
426=	8	BALAENOPTERIDAE
426=	8	CENTROPODIDAE
426=	8	CHELONIIDAE
426=	8	Colubridae
426=	8	DENNSTAEDTIACEAE
426=	8	ECHENEIDAE
426=	8	ENGRAULIDAE
426=	8	Epacridaceae
426=	8	FAVIIDAE
426=	8	GRUIDAE
426=	8	HALIOTIDAE
426=	8	HEMIGALEIDAE
426=	8	MENISPERMACEAE
426=	8	MOLOSSIDAE
426=	8	Noctuidae
426=	8	PHAETHONTIDAE
426=	8	PYGOPODIDAE
426=	8	Peramelidae 
426=	8	Pinaceae
426=	8	Pyralidae
426=	8	RANUNCULACEAE
426=	8	Rhynchobatidae
426=	8	THYMELACEAE
449=	7	ASPARAGACEAE
449=	7	BUXACEAE
449=	7	Balistidae
449=	7	Burramyidae
449=	7	Carcharhinidae
449=	7	Cyperaceae
449=	7	DIODONTIDAE
