rank	count	N_QUALIFICATION

1	48017	NULL
2	527	intestines
3	382	blood
4	339	faeces
5	128	gall bladder (+ PCR)
6	113	gall bladder
7	108	stomach
8	104	gills
9	98	muscles (+ PCR)
10	85	faeces (+ PCR)
11=	80	ectoparasitic (skeleton eroding band disease)
11=	80	gut
13	54	Fawn Footed Melomys
14	51	forestomach
15	47	muscles
16	44	gills, pleopods
17	42	Red-necked Wallaby
18=	39	intestine
18=	39	sheep
20	37	hindgut
21	36	muscle (+ PCR)
22	33	kidney
23=	32	pleopods
23=	32	skin, fins, gills
25=	31	Allied Rock Wallaby
25=	31	sitting record
27=	30	Grassland Melomys
27=	30	muscle
29	27	Bush Rat
30	25	cattle
31=	24	= <I>R. Assimilis</I>; Bush Rat
31=	24	giant white tailed rat
31=	24	salivary glands (exptl. infection)
34=	22	Goat
34=	22	surface
34=	22	syn. <i>Hyla caerulea</i>; intestines
34=	22	various tissues
38=	21	Cattle
38=	21	Red Deer
40=	20	Cape York Rat
40=	20	Common Wallaroo
40=	20	Fallow Deer
40=	20	intestinal mucosa
40=	20	syn. <i>Hyla peronii</i>; intestines
45=	18	NSW – Whian Whian SF
45=	18	ex flower gall
45=	18	faeces (PCR)
45=	18	faeces, intestines
45=	18	muscles, connective tissue
50=	17	QLD – Eungella NP
50=	17	SA – Cox’s Scrub CP
50=	17	host originally recorded as <em>Rhynchobatus djiddensis</em> Forsskål, 1775, but this name now applies to a species found only in the Western Indian Ocean; re-examination of host material is needed to determine its new name
50=	17	on flowers
54=	16	(Medler 2000)
54=	16	= <I>M. blepotis</I> Temminck, 1840
54=	16	= <I>R. assimilis</I>
54=	16	Agile Antechinus
54=	16	Sheep
54=	16	blood (exptl. infection)
54=	16	syn. <i>Hyla nasuta</i>; intestines
61=	15	Muscle (+ PCR)
61=	15	SA – Deep Creek CP
61=	15	Swamp Wallaby
61=	15	cassava, tapioca, manioc, mandioca, yuca
61=	15	liver, gall bladder
61=	15	swamp wallaby
67=	14	Canefield Rat
67=	14	NSW – Jenolan SF
67=	14	Northern Brown Bandicoot
67=	14	QLD – Beerwah
67=	14	SA – Ferries-McDonald CP
67=	14	SA – Para Wirra RP
67=	14	Whiptail Wallaby
67=	14	black-stripe wallaby
67=	14	blood, liver, lung
67=	14	experimental
67=	14	gut (+ PCR)
67=	14	pig
67=	14	skin
67=	14	small intestine
67=	14	syn. <i>Calotermes irregularis</i>, <i>Termes insularis</i>; gut
67=	14	syn. <i>Hyla lesueuri</i>; intestines
67=	14	syn. <i>P. grandis</i> Holmgren; gut
84=	13	Godman's Rock Wallaby
84=	13	Hog Deer
84=	13	QLD – Kurrimine NP
84=	13	SA – Aldinga Scrub
84=	13	Swamp Rat
84=	13	Tammar Wallaby
84=	13	as <i>Dicrastylis fulva</i> forma <i>fulva</i>
91=	12	= <I>R. conatus</I>, Canefield Rat
91=	12	Black-striped Wallaby
91=	12	Brown Rat
91=	12	European Brown Hare
91=	12	Mareeba Rock Wallaby
91=	12	QLD – Bellenden Ker NP
91=	12	QLD – Mount Clear
91=	12	QLD – Mulambin Beach
91=	12	QLD – Nambour
91=	12	Red Kangaroo
91=	12	SA – Charleston CP
91=	12	Sharman's Rock Wallaby
91=	12	Spectacled Hare Wallaby
91=	12	captive
91=	12	cuticle
91=	12	liver
91=	12	syn. <i>Hyla aurea</i>; intestines
91=	12	syn. <i>M. bennetti</i>; faeces
91=	12	syn. <i>M. canguru</i>; faeces
110=	11	Dwarf Bearded Dragon
110=	11	Eastern Grey Kangaroo
110=	11	Gall bladder (+ PCR)
110=	11	NSW
110=	11	QLD – Davies Creek NP Atherton Tablelands
110=	11	Yellow-footed Antechinus
110=	11	in bile ducts
117=	10	?species identification
117=	10	Dusky Antechinus
117=	10	Eurasian Coot
117=	10	Grand Ctenotus
117=	10	Quokka
117=	10	SA – Alligator Gorge
117=	10	SA – Myponga CP
117=	10	White Footed Dunnart
117=	10	brain
117=	10	ex leaf gall
117=	10	gills, cuticle
117=	10	heart, skeletal muscle, lung, kidney
117=	10	on label as <I>puplifolia</I>
117=	10	skin, gills
117=	10	syn. <i>Morelia spilota</i>; blood
117=	10	tissue cysts
133=	9	= <i>Canis lupus dingo</i>; faeces
133=	9	Broad Toothed Rat
133=	9	Grey Teal (=<i>A. gibberifrons partim</i>)
133=	9	Long Tailed Mouse
133=	9	Pygmy White Tailed Rat
133=	9	QLD – Charleville
133=	9	QLD – Yeppoon
133=	9	SA – Cox’s Scrub
133=	9	SA – Sandy Creek CP
133=	9	VIC – Alfred SF
133=	9	WA – Perth
133=	9	brain (+ PCR)
133=	9	type host
146=	8	= <I>M. Lutillus</I>; Grassland Melomys
146=	8	= <I>M. lutillus</I>
146=	8	= <I>R. Conatus</I>; Canefield Rat
146=	8	= <I>Rattus Conatus</I>; Canefiled Rat
146=	8	Agile Wallaby
146=	8	Black Footed Tree Rat
146=	8	Common Rock Rat
146=	8	Giant White Tailed Rat
146=	8	Grassland melomys
146=	8	Kimberley Rock Rat
146=	8	NSW – McPherson SF
146=	8	NSW – Murramarang NP
146=	8	QLD – Bunya Mountains NP
146=	8	QLD – Mount Elliott NP
146=	8	QLD – Tolga
146=	8	Red-bellied Pademelon
146=	8	Ruddy Turnstone
146=	8	Short-eared Rock Wallaby
146=	8	Southern Brown Bandicoot
146=	8	WA – Hyden
146=	8	cloaca
146=	8	faeces, gut
146=	8	faeces, intestine
146=	8	faeces, small intestine
146=	8	fawn footed melomys
146=	8	intestines, faeces (+ PCR)
146=	8	sugarcane
146=	8	swamp rat
146=	8	syn. <i>Calotermes condonensis</i>, <i>Kalotermes condonensis</i>, <i>C. oldfieldi</i>; gut
146=	8	syn. <i>Kalotermes iridipennis</i>, <i>Glyptotermes iridipennis</i>; hindgut
146=	8	syn. <i>M. garrula</i>; blood
146=	8	syn. <i>Megalia rufus</i>; faeces
178=	7	= <I>M. lutillus</I> (Ramsay, 1887) Grassland melomys
178=	7	Black -gloved Wallaby
178=	7	Bush Rat (= <I>Rattus Asimilis</I>)
178=	7	Cane Toad
178=	7	Herbert's Rock Wallaby
178=	7	MacDonnell Ranges
178=	7	Marsupial Mole
178=	7	NT – Thorack DR
178=	7	New Holland Frog
178=	7	Northern Spadefoot Toadlet
178=	7	Proserpine Rock Wallaby
178=	7	QLD
178=	7	QLD – Rockhampton
178=	7	Red-legged Pademelon
178=	7	Rusa Deer
178=	7	TAS
178=	7	Ticking Toadlet
178=	7	Western Grey Kangaroo
178=	7	grassland Melomys
178=	7	man
178=	7	red deer
178=	7	syn. <i>M. canguru</i>; stomach
178=	7	syn. <i>Plectroplites ambiguus</i>; gills
201=	6	= <I>M. ocydromus</I>; captive
201=	6	= <I>Rattus assimilis</I>, Bush rat
201=	6	= <i>Falco cenchroides</i>
201=	6	ACT – Black Mountain
201=	6	Amethyst Python
201=	6	Antilopine Wallaroo (captive Host)
201=	6	Australian Striped Treefrog
201=	6	Beveridge et al. (1984) believe this is a host misidentification
201=	6	Black Rat
201=	6	Brown Antechinus
201=	6	Brush-tailed Rock Wallaby
201=	6	Carpet Python
201=	6	Dromedary
201=	6	Euro
201=	6	Faun Footed Melomys
201=	6	Gian white-tailed rat
201=	6	Grey Teal (=<I>A. Gibberifrons Partim</I>)
201=	6	Mallard Duck
201=	6	NR
201=	6	Numbat
201=	6	Ornate Burrowing Frog
201=	6	Pacific Black Duck
201=	6	QLD – Applethorpe
201=	6	QLD – Brisbane
201=	6	QLD – Camp Cable
201=	6	QLD – Davies Creek NP, Atherton Tablelands
201=	6	QLD – Longpocket
201=	6	Rabbit
201=	6	Radjah Shelduck
201=	6	SA
201=	6	Unadorned Rock Wallaby
201=	6	VIC – 32 km east of Lakes Entrance
201=	6	VIC – Near Lock 8 Murray River
201=	6	WA – Kununurra
201=	6	Western Grey Kangaroo (captive Host)
201=	6	Western Quoll
201=	6	White-headed Stilt
201=	6	as <i>Hyla aurea</i>
201=	6	black rat
201=	6	blood (+ PCR)
201=	6	body surface
201=	6	definitive host
201=	6	exoskeleton
201=	6	faeces (+PCR)
201=	6	from Darwin, NT
201=	6	in Australia
201=	6	in NT
201=	6	in PNG, Indonesia
201=	6	in liver and lung, Walsh Point, Mitchell Plateau, WA
201=	6	intestines (+ PCR)
201=	6	larvae
201=	6	muscle, haemolymph
201=	6	numbat
201=	6	nymph from oesophagus, Danbulla State Forest, near Atherton, Qld
201=	6	on <i>Gynaikothrips ficorum</i> (Marchal, 1908)
201=	6	red-necked wallaby
201=	6	skin, fins
201=	6	spinal cord
201=	6	syn. <i>Anellobia chrysoptera</i>, <i>A. mellivora</i>, <i>A. lunulata</i>; blood
201=	6	syn. <i>C. flavus</i>; gut
201=	6	syn. <i>Cyprinus auratus</i>; kidney
201=	6	syn. <i>Glyptotermes neotuberculatus</i>; gut
201=	6	syn. <i>M. canguru</i>; faeces, small intestine
201=	6	syn. <i>Meliphaga fusca</i>, <i>Ptilotis fusca</i>; blood
201=	6	syn. <i>Notophoyx novaehollandiae</i>, <i>Egretta novaehollandiae</i>; blood
201=	6	syn. <i>Oreocichla lunulata</i>, <i>Geocichla lunulata</i>, <i>Zoothera lunulata</i>; blood
201=	6	syn. <i>Plectroplites ambiguus</i>; skin, gills
201=	6	syn. <i>S. grandis</i>; gall bladder
201=	6	syn. <i>Squalus ocellatus</i>; blood
201=	6	syn. <i>Squalus ocellatus</i>; gall bladder
