rank	count	N_SPECIES

1	5501	sp.
2	826	spp.
3	559	australis
4	451	NULL
5	275	longifolia
6	254	aries
7	235	indica
8	224	sp
9	213	pendula
10	210	taurus
11=	200	camaldulensis
11=	200	dealbata
13	199	novaehollandiae
14	187	bicolor
15	179	fuscipes
16	173	chinensis
17	169	harpophylla
18	166	giganteus
19	162	sativa
20	154	dorsalis
21	151	parviflora
22	150	sinensis
23	146	hircus
24	145	agilis
25	143	vitellina
26	142	rufogriseus
27	139	robustus
28=	137	cervinipes
28=	137	decurrens
30	135	pycnantha
31	133	flavescens
32	132	fuliginosus
33	131	obliqua
34	130	cunninghamii
35	126	sapiens
36=	125	floribunda
36=	125	integrifolia
38=	121	paniculata
38=	121	reticulata
40	120	miquelii
41	117	saligna
42	116	mearnsii
43	112	glauca
44=	110	cambagei
44=	110	melanoxylon
46	109	viminalis
47	106	communis
48	105	nasuta
49	104	glabrescens
50	103	pauciflora
51	102	mitchellii
52	100	reticulatus
53	99	vinifera
54	97	swainsonii
55	96	anacardioides
56=	94	elliptica
56=	94	grandis
58=	93	aneura
58=	93	elaphus
60	92	cuniculus
61	91	burtoni
62=	90	alata
62=	90	eugenii
62=	90	leucoxylon
62=	90	vulpecula
66=	89	caballus
66=	89	obesulus
66=	89	vulgaris
69=	87	assimilis
69=	87	quandang
69=	87	racemosa
69=	87	triandra
73=	86	confertus
73=	86	scrofa
73=	86	spinosa
76	85	aculeatus
77=	84	canescens
77=	84	viridiflora
79=	83	cunninghamiana
79=	83	rufus
81=	82	fasciculosa
81=	82	pubescens
83=	81	gracilis
83=	81	maculatus
83=	81	nitida
83=	81	parryi
87=	80	leucopus
87=	80	officinarum
87=	80	robusta
90=	79	australasica
90=	79	conspicillatus
90=	79	muelleri
93=	78	fistula
93=	78	stuartii
93=	78	tomentosa
96	76	bidwillii
97=	75	lanceolata
97=	75	persica
99=	74	macrourus
99=	74	quinquenervia
101=	72	bifurcata
101=	72	cylindrica
101=	72	familiaris
104=	71	elegans
104=	71	eucalyptoides
104=	71	pinnata
107=	70	leucadendra
107=	70	maculata
107=	70	marginata
107=	70	sordidus
107=	70	tereticornis
112=	69	blakelyi
112=	69	melanocarpa
112=	69	melliodora
112=	69	norvegicus
112=	69	suaveolens
117=	68	carica
117=	68	catus
117=	68	minor
117=	68	oleander
117=	68	radiata
122=	67	antarcticus
122=	67	caerulea
122=	67	microtheca
122=	67	spp
126=	66	esculentum
126=	66	excelsa
126=	66	preissii
129=	65	coriaceus
129=	65	gouldii
129=	65	musculus
132=	64	catappa
132=	64	maximum
132=	64	peronii
132=	64	salicifolia
136=	63	americana
136=	63	hillii
136=	63	rubida
136=	63	sieberiana
140=	62	fuscus
140=	62	inornata
140=	62	rostrata
143=	61	baileyana
143=	61	caudimaculatus
143=	61	metallica
146=	60	gallus
146=	60	hallucatus
146=	60	macrorhyncha
146=	60	maidenii
146=	60	odorata
146=	60	stigmatica
152=	59	aspera
152=	59	dactylon
152=	59	flavipes
152=	59	nucifera
156=	58	acerifolius
156=	58	brachyurus
156=	58	pulchella
159=	57	curvata
159=	57	rattus
159=	57	sanguinea
159=	57	viscosa
163=	56	aurea
163=	56	celastroides
163=	56	fasciatus
163=	56	lateralis
163=	56	marina
163=	56	penicillata
163=	56	pilularis
163=	56	populneus
163=	56	sylvestris
163=	56	tenera
163=	56	victoriae
163=	56	virosa
175=	55	alba
175=	55	camphora
175=	55	limon
175=	55	varius
179=	54	atratus
179=	54	australe
179=	54	cephalus
179=	54	ciliata
179=	54	scoparia
184=	53	lanceolatum
184=	53	philippensis
184=	53	splendida
184=	53	tasmaniensis
188=	52	diversifolia
188=	52	filiformis
190=	51	ambigua
190=	51	globulus
190=	51	heterophylla
190=	51	inophyllum
190=	51	pallida
190=	51	rubra
196=	50	amygdalina
196=	50	destructor
196=	50	diversifolium
196=	50	gangetica
196=	50	implexa
196=	50	lebbeck
196=	50	lutreolus
196=	50	papyrocarpa
196=	50	polyanthemos
196=	50	sepiaria
196=	50	stricta
196=	50	variabile
208=	49	acuminata
208=	49	angustifolia
208=	49	crebra
208=	49	esculenta
208=	49	obovata
208=	49	oleracea
208=	49	stipoides
215=	48	europaeus
215=	48	ruficapillus
215=	48	serratifolia
215=	48	squamosa
215=	48	thetis
220=	47	auratus
220=	47	billardierii
220=	47	neriifolia
223=	46	congener
223=	46	domestica
223=	46	irrorata
223=	46	regnans
227=	45	flexuosa
227=	45	japonica
227=	45	macrophylla
227=	45	rodwayi
231=	44	aphyllus
231=	44	careya
231=	44	clarkei
231=	44	littoralis
231=	44	microcarpa
231=	44	piperita
231=	44	regia
231=	44	stenophylla
231=	44	tridactylus
240=	43	divaricata
240=	43	godmani
240=	43	superciliosa
243=	42	corniculatum
243=	42	guajava
243=	42	hirsutum
243=	42	hypospodia
243=	42	laevigatum
243=	42	miles
243=	42	novaeseelandiae
243=	42	signata
251=	41	antarctica
251=	41	arborea
251=	41	brevifolia
251=	41	discolor
251=	41	geoffroii
251=	41	glabra
251=	41	linariifolia
251=	41	lupus
251=	41	marinus
251=	41	pigra
251=	41	prostrata
251=	41	whitleyi
251=	41	woodwardi
264=	40	aurantium
264=	40	chrysogaster
264=	40	dama
264=	40	leiocalyx
264=	40	lineatus
264=	40	moluccensis
264=	40	ovata
264=	40	rossii
264=	40	speciosa
264=	40	tessellaris
274=	39	capitellata
274=	39	cupressiformis
274=	39	ferruginea
274=	39	moorei
274=	39	oblonga
274=	39	tetragona
274=	39	tetragonophylla
281=	38	acmenoides
281=	38	deanei
281=	38	fallax
281=	38	latifolia
281=	38	leefeana
281=	38	mangium
281=	38	surattensis
281=	38	umbellatum
281=	38	unguifera
281=	38	verticillata
291=	37	antilopinus
291=	37	foecunda
291=	37	gummifera
291=	37	intermedia
291=	37	interpres
291=	37	linophylla
291=	37	muricata
291=	37	ornatus
291=	37	penninervis
300=	36	albens
300=	36	anceps
300=	36	argenteus
300=	36	cambageana
300=	36	conchocarpus
300=	36	conspicua
300=	36	forsteri
300=	36	hexandra
300=	36	ilicifolia
300=	36	paradisi
300=	36	phylliraeoides
300=	36	punctata
300=	36	smithii
300=	36	triplinervis
300=	36	trutta
300=	36	viverrinus
316=	35	baxteri
316=	35	camara
316=	35	coccifera
316=	35	europaea
316=	35	floribundum
316=	35	gunnii
316=	35	hispida
316=	35	inermis
316=	35	miniata
316=	35	nodosa
316=	35	platypus
316=	35	tristis
316=	35	uncinata
329=	34	aestivum
329=	34	affinis
329=	34	gummiferum
329=	34	javanica
329=	34	labillardieri
329=	34	livia
329=	34	nitidum
329=	34	orientalis
329=	34	papaya
329=	34	podalyriifolia
329=	34	repens
329=	34	spilota
329=	34	tenuimanus
329=	34	tiliaceus
343=	33	braunii
343=	33	breviumbellata
343=	33	carnosum
343=	33	corymbosa
343=	33	deserti
343=	33	gibberifrons
343=	33	nigra
343=	33	oleosa
343=	33	propinqua
352=	32	aprepta
352=	32	barbata
352=	32	cinerea
352=	32	comosus
352=	32	fraseri
352=	32	luehmannii
352=	32	nivea
352=	32	obtusifolia
352=	32	pelamis
352=	32	serrata
352=	32	spectabilis
352=	32	tagal
352=	32	trifoliata
365=	31	drepanophylla
365=	31	kempeana
365=	31	lathami
365=	31	melanophloia
365=	31	occidentalis
365=	31	opposita
365=	31	parramattensis
365=	31	peregrinus
365=	31	retusa
365=	31	rudis
365=	31	spicatum
365=	31	timorensis
377=	30	edulis
377=	30	fasciata
377=	30	goniocalyx
377=	30	hiemata
377=	30	nervosa
377=	30	odoratissimus
377=	30	parasiticum
377=	30	platypterus
377=	30	striata
377=	30	tagala
377=	30	tenuirostris
377=	30	tetraphylla
377=	30	tuberosa
377=	30	ursinus
377=	30	vaigiensis
377=	30	venosa
393=	29	attenuata
393=	29	aulacocarpa
393=	29	delegatensis
393=	29	didymobotrya
393=	29	garrawayae
393=	29	gigantea
393=	29	inodorus
393=	29	moluccana
393=	29	obovatus
393=	29	polystachya
393=	29	porosa
393=	29	rubella
393=	29	salicina
393=	29	sieberi
393=	29	sophorae
393=	29	tandanus
393=	29	tuberosum
393=	29	viridis
411=	28	alexandrae
411=	28	artemisioides
411=	28	australasicus
411=	28	conglomerata
411=	28	cosmophylla
411=	28	cristata
411=	28	falcata
411=	28	gomphocephala
411=	28	leucocephala
411=	28	melvillei
411=	28	nitidissima
411=	28	paludosa
411=	28	reinhardtii
411=	28	sexfasciatus
425=	27	axillaris
425=	27	bridgesiana
425=	27	cajan
425=	27	cyclops
425=	27	dichotoma
425=	27	distachyon
425=	27	fruticosa
425=	27	holosericea
425=	27	huegeliana
425=	27	humifusa
425=	27	koenigii
425=	27	laevis
425=	27	leucoptera
425=	27	lobata
425=	27	lophantha
425=	27	macquarii
425=	27	miraculosa
425=	27	occidentale
425=	27	parma
425=	27	porcinus
425=	27	porphyriacus
425=	27	schreibersii
425=	27	unicolor
448=	26	chrysurus
448=	26	cirratus
448=	26	connatus
448=	26	elata
448=	26	incana
448=	26	insularis
448=	26	irma
448=	26	ligulata
448=	26	lutea
448=	26	macdonnelliensis
448=	26	mareeba
448=	26	pacificus
448=	26	polyacanthus
448=	26	ptychocarpa
448=	26	sativum
448=	26	stylosa
448=	26	verticilliflorum
448=	26	vulpes
466=	25	atra
466=	25	benthamii
466=	25	bracteata
466=	25	carbo
466=	25	cypellocarpa
466=	25	daphnoides
466=	25	domesticus
466=	25	latifrons
466=	25	latopalmata
466=	25	linearis
466=	25	microstachya
466=	25	nobilis
466=	25	patens
466=	25	porosus
466=	25	radula
466=	25	salignus
466=	25	scoparium
466=	25	sericea
466=	25	tabacum
466=	25	terminalis
466=	25	traversi
487=	24	acuminatum
487=	24	armeniaca
487=	24	benthamianum
487=	24	brachyotis
487=	24	castanea
487=	24	cinereus
487=	24	coriacea
487=	24	fibrosa
487=	24	fuscescens
487=	24	grandiflora
487=	24	hispidus
487=	24	humilis
487=	24	leichhardtii
487=	24	lineata
487=	24	lucida
487=	24	mannifera
487=	24	meleagris
487=	24	microneura
487=	24	persephone
487=	24	pictum
487=	24	populnea
487=	24	procera
487=	24	rhombifolia
487=	24	rothii
487=	24	rufoniger
487=	24	sephen
487=	24	straminea
487=	24	tapoatafa
487=	24	tenax
487=	24	tenuifolia
487=	24	terebrans
487=	24	tibicen
487=	24	xanthopus
520=	23	bassensis
520=	23	bengalensis
520=	23	brasiliensis
520=	23	chalmersii
520=	23	cunninghami
520=	23	dives
520=	23	ericifolia
520=	23	gamophylla
520=	23	gerrardi
520=	23	largiflorens
520=	23	lesueuri
520=	23	max
520=	23	media
520=	23	melanoleucos
520=	23	officinalis
520=	23	queenslandica
520=	23	rhaphiophylla
520=	23	rufescens
520=	23	stellulata
520=	23	thozetii
520=	23	umbra
520=	23	undulatum
520=	23	undulatus
520=	23	vulgare
544=	22	adscendens
544=	22	ailanthoides
544=	22	annuus
544=	22	clandestinum
544=	22	cobbe
544=	22	coronata
544=	22	costata
544=	22	dentata
544=	22	ensiformis
544=	22	erythroxylon
544=	22	exulans
544=	22	globoidea
544=	22	herberti
544=	22	himantopus
544=	22	lanigerum
544=	22	lessonii
544=	22	major
544=	22	miniatus
544=	22	oleraceus
544=	22	polycarpa
544=	22	rainfordi
544=	22	rotundus
544=	22	siderophloia
544=	22	surinamensis
544=	22	tanarius
