rank	count	TAXON_LSID

1	540	urn:lsid:biodiversity.org.au:afd.taxon:35a33965-6e29-4447-b94d-05525d12b4d1
2	484	urn:lsid:biodiversity.org.au:afd.taxon:427fb47b-07b8-4f66-8f83-4ccfc9a8cef2
3	440	urn:lsid:biodiversity.org.au:afd.taxon:b15de192-d4af-456f-b689-17c7ddd854d2
4	405	urn:lsid:biodiversity.org.au:afd.taxon:c43afd4d-05f3-4adc-abe2-407104b55326
5	350	urn:lsid:biodiversity.org.au:afd.taxon:5e00a075-7acc-49fc-8619-4e54981310e2
6	324	urn:lsid:biodiversity.org.au:afd.taxon:66c50498-06bc-4996-a097-0aaef6a9c678
7	304	urn:lsid:biodiversity.org.au:afd.taxon:63e40c09-dd78-494d-bf3f-3f9a7c1419c4
8	300	urn:lsid:biodiversity.org.au:afd.taxon:31bc56b8-e4fd-4284-b33c-dc79d92c6433
9=	279	urn:lsid:biodiversity.org.au:afd.taxon:633facec-ffb3-42af-aa60-3cba1f72469f
9=	279	urn:lsid:biodiversity.org.au:afd.taxon:6dba775b-cfe9-4fd2-b878-72841b118ad3
11	265	urn:lsid:biodiversity.org.au:afd.taxon:f1845477-e91a-4945-9455-d64638dfeb04
12=	243	urn:lsid:biodiversity.org.au:afd.taxon:215ea638-c098-4b47-a9f5-b8051d85d38f
12=	243	urn:lsid:biodiversity.org.au:afd.taxon:e68b4874-facc-447c-98f6-83dcd26b29d7
14	230	urn:lsid:biodiversity.org.au:afd.taxon:87e3e8a2-cf72-4ede-bc1b-9003f6003804
15	205	urn:lsid:biodiversity.org.au:afd.taxon:b71896d7-13aa-4b80-9030-2baff7270023
16	203	urn:lsid:biodiversity.org.au:afd.taxon:2a2449aa-183d-4dd1-97b0-4fb5aceea8cf
17	200	urn:lsid:biodiversity.org.au:afd.taxon:ee041972-64a6-4b7d-aa86-7aa4fd3ada84
18	189	urn:lsid:biodiversity.org.au:afd.taxon:24847e88-0f4f-4619-8314-987a4a51088d
19	185	urn:lsid:biodiversity.org.au:afd.taxon:aa4bb36e-e14e-4a41-b3df-f6c91f95c03a
20	170	urn:lsid:biodiversity.org.au:afd.taxon:8941c7a9-4b23-441d-b81c-c3e5aa441438
21	168	urn:lsid:biodiversity.org.au:afd.taxon:2105d764-1a66-4537-b838-1e67de44fca7
22=	162	urn:lsid:biodiversity.org.au:afd.taxon:450f4358-ab06-4e37-926c-c505cc904369
22=	162	urn:lsid:biodiversity.org.au:afd.taxon:79968663-4fc7-40c9-99a2-cef5056e0b13
24	160	urn:lsid:biodiversity.org.au:afd.taxon:fc49776d-c82e-4dd8-8b03-01473d99b7f5
25=	153	urn:lsid:biodiversity.org.au:afd.taxon:464bb187-c3a6-4502-aec1-6aafd3df4ef8
25=	153	urn:lsid:biodiversity.org.au:afd.taxon:5f5f2f9b-a9a3-4e00-8beb-51724c95a45d
25=	153	urn:lsid:biodiversity.org.au:afd.taxon:f9c96e9a-64ee-4ab4-833a-750a9f5d91f5
28	150	urn:lsid:biodiversity.org.au:afd.taxon:d5556a8a-3cb5-4754-8e55-c6c05a4935bd
29	147	urn:lsid:biodiversity.org.au:afd.taxon:16208095-f680-4395-8830-ee618d8ad639
30=	144	urn:lsid:biodiversity.org.au:afd.taxon:6ffb1527-a5ed-4b95-b3f1-2cfce6b62d2c
30=	144	urn:lsid:biodiversity.org.au:afd.taxon:dfac6e28-fd58-4648-a811-bb511285180b
32=	143	urn:lsid:biodiversity.org.au:afd.taxon:54f752f2-c0fc-4f64-aa0b-757ab2a96293
32=	143	urn:lsid:biodiversity.org.au:afd.taxon:d4d952e9-207e-4cca-996c-9fae60d77ebf
34=	140	urn:lsid:biodiversity.org.au:afd.taxon:3aa227a8-d2ab-40ef-81d8-ad4748868704
34=	140	urn:lsid:biodiversity.org.au:afd.taxon:a2e7eeb6-4254-4cf7-aa04-497ce6caf822
36	135	urn:lsid:biodiversity.org.au:afd.taxon:11b38169-417c-452f-b95d-ccd4e2342f6a
37	134	urn:lsid:biodiversity.org.au:afd.taxon:03eb657e-342c-4718-8604-c1f49e169f2a
38	133	urn:lsid:biodiversity.org.au:afd.taxon:4d7cee61-da9b-4bd1-9367-6de8bb8b523e
39	130	urn:lsid:biodiversity.org.au:afd.taxon:cc364fba-f7be-45f6-afad-bec95744e680
40=	126	urn:lsid:biodiversity.org.au:afd.taxon:13e38122-6ae8-4044-b486-bf08fd45ea31
40=	126	urn:lsid:biodiversity.org.au:afd.taxon:e4e8b9fc-b3f0-427d-a5bb-900c293e9fb5
42	120	urn:lsid:biodiversity.org.au:afd.taxon:5e7abc5c-9c87-4a02-a1db-e0d540ba39c9
43=	117	urn:lsid:biodiversity.org.au:afd.taxon:26e37e6d-832f-4d52-a4a8-0c97cc4d61fa
43=	117	urn:lsid:biodiversity.org.au:afd.taxon:2e69a30a-4c8d-4a80-950c-aa974430403f
43=	117	urn:lsid:biodiversity.org.au:afd.taxon:70519a49-0166-4d14-89a8-f1eb2998ef7a
43=	117	urn:lsid:biodiversity.org.au:afd.taxon:f099e5a7-0c99-46a5-a836-1ec17eb6118a
47	115	urn:lsid:biodiversity.org.au:afd.taxon:9cc0863f-110c-0b3b-e044-00144f3b4a43
48	114	urn:lsid:biodiversity.org.au:afd.taxon:9cc0863f-10fa-0b3b-e044-00144f3b4a43
49	111	urn:lsid:biodiversity.org.au:afd.taxon:3d740ede-431c-4a40-9b86-8a2aef9ca434
50=	110	urn:lsid:biodiversity.org.au:afd.taxon:08504eb1-0da9-4fce-8061-116c25cf853b
50=	110	urn:lsid:biodiversity.org.au:afd.taxon:9c1d594c-f3ac-4a72-be4a-8229564e447e
50=	110	urn:lsid:biodiversity.org.au:afd.taxon:d3cd6622-f609-49b3-97e9-7e7be2a178aa
53=	108	urn:lsid:biodiversity.org.au:afd.taxon:4d2a2edd-4a44-4cce-82e6-f06fecc544b3
53=	108	urn:lsid:biodiversity.org.au:afd.taxon:8a676f8f-dbbc-4a64-a664-9eb10847f1d5
53=	108	urn:lsid:biodiversity.org.au:afd.taxon:f01bd189-e99d-4d72-b12d-090b4ac6f85c
53=	108	urn:lsid:biodiversity.org.au:afd.taxon:fa4abe0d-4c1c-4bc0-a475-909d4178c6f6
57	106	urn:lsid:biodiversity.org.au:afd.taxon:14d43562-3945-4400-af69-7cdc0a3187f1
58=	102	urn:lsid:biodiversity.org.au:afd.taxon:d05d68e0-d058-4c98-8920-bb2ff632284c
58=	102	urn:lsid:biodiversity.org.au:afd.taxon:fb4f8916-ec28-4445-bb8a-93c3b10b8d22
60=	99	urn:lsid:biodiversity.org.au:afd.taxon:71076dc2-4eb6-4393-b315-c56090154009
60=	99	urn:lsid:biodiversity.org.au:afd.taxon:c60fc48f-815b-4b80-b26c-9397d3c7e3a4
60=	99	urn:lsid:biodiversity.org.au:afd.taxon:ef606349-498a-409d-92c9-36dc1800719b
60=	99	urn:lsid:biodiversity.org.au:afd.taxon:f70207dd-1d52-4502-ae7c-9e981b2104d3
60=	99	urn:lsid:biodiversity.org.au:afd.taxon:ffe2e5f9-7aef-451a-bace-05e42e632f84
65	98	urn:lsid:biodiversity.org.au:afd.taxon:05f55378-e2e3-4609-84a6-74329e9b6b28
66	96	urn:lsid:biodiversity.org.au:afd.taxon:1e4a4f9a-5ead-432e-8363-8e4590f38479
67=	95	urn:lsid:biodiversity.org.au:afd.taxon:5803cac1-4a0c-466e-a27d-08d0d3a76d33
67=	95	urn:lsid:biodiversity.org.au:afd.taxon:a4de5973-f843-49b7-a28a-a84f4e86406f
69	93	urn:lsid:biodiversity.org.au:afd.taxon:5436e606-2c6e-485f-99c7-9b4976613501
70=	90	urn:lsid:biodiversity.org.au:afd.taxon:02208690-2c60-4e42-a77c-9558b85daa40
70=	90	urn:lsid:biodiversity.org.au:afd.taxon:61f9004b-fff7-48fc-b1c3-8d3823ae9395
70=	90	urn:lsid:biodiversity.org.au:afd.taxon:88fee71a-e3c8-4f2e-b15a-daea2fd5c473
70=	90	urn:lsid:biodiversity.org.au:afd.taxon:8c5ff7e3-bba6-4dd0-b28c-3a9691f6432c
70=	90	urn:lsid:biodiversity.org.au:afd.taxon:bf899c96-f86d-4916-a913-90f4e10527f6
70=	90	urn:lsid:biodiversity.org.au:afd.taxon:cf950bf7-3ea4-4434-bb32-8ee9e1250e22
70=	90	urn:lsid:biodiversity.org.au:afd.taxon:d98be56e-991d-4b16-a729-621011abfc8e
70=	90	urn:lsid:biodiversity.org.au:afd.taxon:ff4f5a6e-0887-45e1-9bb5-8dd6dc37e844
78	88	urn:lsid:biodiversity.org.au:afd.taxon:f420d876-1200-4df8-9a88-1176663dc8ea
79	86	urn:lsid:biodiversity.org.au:afd.taxon:6316b025-4953-44a9-b0d3-abb7cef19524
80=	84	urn:lsid:biodiversity.org.au:afd.taxon:5cf86928-d126-4b4c-b0f9-7d73fb7c831e
80=	84	urn:lsid:biodiversity.org.au:afd.taxon:fc9ba343-bfe6-4d9b-9e28-a0fdf951ea62
82	82	urn:lsid:biodiversity.org.au:afd.taxon:ae8214c2-5768-4ee3-9dd2-ddb47c5470a0
83=	81	urn:lsid:biodiversity.org.au:afd.taxon:0f932d05-f526-4b75-85fd-4721f68526f4
83=	81	urn:lsid:biodiversity.org.au:afd.taxon:3b45a9d2-de53-46d4-8c4c-284060be85ea
83=	81	urn:lsid:biodiversity.org.au:afd.taxon:50c3c4e3-383e-4fe2-a95d-cb65597f68f8
83=	81	urn:lsid:biodiversity.org.au:afd.taxon:5d299f9c-fb45-48a6-8ecc-bcb15401f8f7
83=	81	urn:lsid:biodiversity.org.au:afd.taxon:8ca6e23d-b773-47f2-80d1-9c0dfb74205f
88=	80	urn:lsid:biodiversity.org.au:afd.taxon:6cfcab35-e29f-424c-bc01-85107c261da2
88=	80	urn:lsid:biodiversity.org.au:afd.taxon:a2a60f8d-9455-4c19-8927-4376b076511c
88=	80	urn:lsid:biodiversity.org.au:afd.taxon:c1c35ac0-7e20-40a3-b762-dd04a2b458b9
88=	80	urn:lsid:biodiversity.org.au:afd.taxon:cc3dc24f-e850-45f8-8437-bf22493fa0c1
92=	78	urn:lsid:biodiversity.org.au:afd.taxon:65d26f86-9f73-4fa7-b056-eb9c450f6052
92=	78	urn:lsid:biodiversity.org.au:afd.taxon:e79c0d27-b78e-492d-84b7-04efb3eaf126
94=	77	urn:lsid:biodiversity.org.au:afd.taxon:01901599-6001-4b2d-bffa-c4df7120c83a
94=	77	urn:lsid:biodiversity.org.au:afd.taxon:46e4c468-2a8d-43ad-9049-e728b848cba3
94=	77	urn:lsid:biodiversity.org.au:afd.taxon:be4e1164-4e46-41d2-afbf-857aabb7e111
94=	77	urn:lsid:biodiversity.org.au:afd.taxon:d2bb2623-6cee-49a4-820d-f9390fb1c5f6
98	75	urn:lsid:biodiversity.org.au:afd.taxon:f37b8706-ad73-400b-ba40-b36e5f1c602d
99=	73	urn:lsid:biodiversity.org.au:afd.taxon:9cc0863f-0fbf-0b3b-e044-00144f3b4a43
99=	73	urn:lsid:biodiversity.org.au:afd.taxon:9e242ae1-eff9-4c8a-8800-21f0d89372a9
101=	72	urn:lsid:biodiversity.org.au:afd.taxon:693a35b1-9eef-4313-92d5-b588c1da9e3e
101=	72	urn:lsid:biodiversity.org.au:afd.taxon:868f85b6-4ddd-427e-b355-58f38be6dff6
101=	72	urn:lsid:biodiversity.org.au:afd.taxon:97225fe5-efbd-4a9d-849f-d205a660f2c5
101=	72	urn:lsid:biodiversity.org.au:afd.taxon:a6110e5b-becc-470c-aa26-ef496e17e226
101=	72	urn:lsid:biodiversity.org.au:afd.taxon:abe8be5e-719a-4545-9717-21ef20a42100
101=	72	urn:lsid:biodiversity.org.au:afd.taxon:bd557eb2-d95d-4d5f-990d-9c502bfd7bad
107=	70	urn:lsid:biodiversity.org.au:afd.taxon:0a5494ef-7ddd-492c-ae7e-ac8831acfd7b
107=	70	urn:lsid:biodiversity.org.au:afd.taxon:0d2a4414-5672-49c3-898d-d133cd2db071
107=	70	urn:lsid:biodiversity.org.au:afd.taxon:17344d5a-5530-4903-8fe4-3d345eb55e38
107=	70	urn:lsid:biodiversity.org.au:afd.taxon:4ddb79c1-0bdd-4ada-ba0f-2869b9e083d0
107=	70	urn:lsid:biodiversity.org.au:afd.taxon:6c183a60-3566-4859-9dda-360c07a39ec8
107=	70	urn:lsid:biodiversity.org.au:afd.taxon:ac57e36c-b999-45c6-b44d-df6ad0635711
107=	70	urn:lsid:biodiversity.org.au:afd.taxon:b3b7d121-2f53-4b79-9763-7fd075dc30ee
107=	70	urn:lsid:biodiversity.org.au:afd.taxon:fbaf9297-1497-4b2f-8dc2-9210e67b51cc
115	69	urn:lsid:biodiversity.org.au:afd.taxon:ce0bdbcb-c748-4e04-ad11-08f729628eac
116	68	urn:lsid:biodiversity.org.au:afd.taxon:7d8ca57e-3a84-4067-8de2-cbb7862ec5b2
117=	66	urn:lsid:biodiversity.org.au:afd.taxon:088906e3-8a86-47e2-bb2c-169974a0a8e2
117=	66	urn:lsid:biodiversity.org.au:afd.taxon:0eecf07b-eaf9-4fa0-a54d-fb1daf54e141
