rank	count	NAME_YEAR

1	72	1999
2	63	1998
3=	51	1967
3=	51	2002
5	45	2011
6	42	2004
7=	41	1880
7=	41	1959
9=	40	1939
9=	40	1971
11	36	1990
12	35	1758
13	34	1914
14=	31	1842
14=	31	1938
14=	31	1975
17=	30	1866
17=	30	1957
17=	30	1960
17=	30	1961
17=	30	1968
17=	30	1981
17=	30	1985
24=	29	1973
24=	29	2005
26=	28	1940
26=	28	1986
28=	27	1896
28=	27	2012
30=	26	1838
30=	26	1912
30=	26	1916
30=	26	1931
30=	26	2001
30=	26	2006
36	25	1984
37=	24	1937
37=	24	1969
37=	24	1995
37=	24	2008
37=	24	2010
42=	23	1889
42=	23	1917
42=	23	1976
45=	22	1869
45=	22	1902
47=	21	1929
47=	21	1980
47=	21	2009
50=	20	1922
50=	20	2000
50=	20	2013
53=	19	1874
53=	19	1954
53=	19	1965
53=	19	1983
53=	19	1987
58=	18	1979
58=	18	1982
58=	18	1988
61=	17	1892
61=	17	1994
63=	16	1915
63=	16	1955
63=	16	1956
63=	16	1972
67=	15	1905
67=	15	1913
67=	15	1964
67=	15	2007
71=	14	1897
71=	14	1898
71=	14	1900
71=	14	1904
71=	14	1909
71=	14	1911
71=	14	1936
71=	14	1948
79=	13	1906
79=	13	1907
79=	13	1927
79=	13	1978
79=	13	1989
84=	12	1763
84=	12	1819
84=	12	1835
84=	12	1893
84=	12	1903
84=	12	1925
84=	12	1926
84=	12	1962
84=	12	1991
93=	11	1870
93=	11	1930
93=	11	1966
93=	11	1977
97=	10	1894
97=	10	1899
97=	10	1908
97=	10	1935
97=	10	1944
97=	10	1953
97=	10	1992
104=	9	1818
104=	9	1910
104=	9	1928
104=	9	1934
104=	9	1974
104=	9	1993
110=	8	1856
110=	8	1882
110=	8	1884
110=	8	1885
110=	8	1890
110=	8	1932
110=	8	1952
110=	8	1996
110=	8	2003
119=	7	1871
119=	7	1895
119=	7	1923
119=	7	1924
119=	7	1933
119=	7	1947
119=	7	1950
119=	7	1970
127=	6	1949
127=	6	1963
129=	5	1780
129=	5	1850
129=	5	1920
129=	5	1942
129=	5	1945
129=	5	1997
135=	4	1775
135=	4	1778
135=	4	1802
135=	4	1844
135=	4	1855
135=	4	1859
135=	4	1865
135=	4	1878
135=	4	1879
135=	4	1883
135=	4	1886
135=	4	1888
135=	4	1891
135=	4	1921
135=	4	1951
150=	3	1776
150=	3	1781
150=	3	1787
150=	3	1789
150=	3	1800
150=	3	1839
150=	3	1867
150=	3	1873
150=	3	1876
150=	3	1919
150=	3	1958
161=	2	1782
161=	2	1803
161=	2	1817
161=	2	1824
161=	2	1841
161=	2	1843
161=	2	1845
161=	2	1858
161=	2	1861
161=	2	1881
161=	2	1943
172=	1	1810
172=	1	1811
172=	1	1816
172=	1	1826
172=	1	1829
172=	1	1831
172=	1	1833
172=	1	1834
172=	1	1836
172=	1	1846
172=	1	1848
172=	1	1849
172=	1	1851
172=	1	1860
172=	1	1862
172=	1	1868
172=	1	1875
172=	1	1887
172=	1	1901
172=	1	1918
172=	1	1941

2665	TOTAL
