rank	count	N_AUTHOR

1	524	NULL
2	281	Linnaeus
3	108	Gould
4	105	Latham
5	74	Shaw
6	57	Gmelin
7	51	Forsskål
8	42	L.
9	40	Desmarest
10	36	Waterhouse
11	35	Gray
12	34	Günther
13	27	Temminck
14	25	Cuvier
15=	22	Bloch & Schneider
15=	22	J.E. Gray
15=	22	R.Br.
18=	21	Macleay
18=	21	Peters
18=	21	Vieillot
21=	20	Kerr
21=	20	Müller & Henle
23=	19	Lesson
23=	19	Valenciennes
25=	18	Mathews
25=	18	Quoy & Gaimard
27	17	Thomas
28	14	Benth.
29=	13	Bleeker
29=	13	Forster
31=	12	Boddaert
31=	12	Smith
33=	11	F. Muell.
33=	11	Mayr
33=	11	Ramsay
36=	10	F.Muell.
36=	10	Lacépède
36=	10	Pallas
36=	10	Richardson
40=	9	Bennett
40=	9	Bloch
40=	9	Euphrasén
40=	9	L.f.
40=	9	Riek
45=	8	Collett
45=	8	Geoffroy
45=	8	Kuhl
45=	8	Labill.
45=	8	Ogilby
45=	8	Owen
45=	8	Stephens
52=	7	(Miq.) L.A.S. Johnson
52=	7	Brandt
52=	7	Dickman, Parnaby, Crowther & King
52=	7	Eyton
52=	7	F.Muell. ex Benth.
52=	7	Jordan & Seale
52=	7	Kner & Steindachner
52=	7	Lowne
52=	7	Rüppell
52=	7	Scopoli
62=	6	Bell
62=	6	Bonnaterre
62=	6	Krefft
62=	6	R.T.Baker
62=	6	Schneider
62=	6	Shaw & Nodder
68=	5	(Forssk.) Vierh.
68=	5	Blainville
68=	5	Castelnau
68=	5	Cav.
68=	5	Hermann
68=	5	Horsfield
68=	5	Houttuyn
68=	5	Lear
68=	5	Miq.
68=	5	Schauer
68=	5	Sm.
79=	4	(Andrews) Willd.
79=	4	A.Cunn. ex Benth.
79=	4	Carpenter
79=	4	G. Forster
79=	4	J.R. Forster
79=	4	Lichtenstein
79=	4	Meyer
79=	4	Munro
79=	4	Peale
79=	4	R. Br.
79=	4	Regan
79=	4	Schreber
79=	4	Waite
79=	4	White
79=	4	Whitley
94=	3	(L.) Osbeck
94=	3	(R.Br.) Steud.
94=	3	(Sm.) R.Br.
94=	3	(Sm.) Sweet
94=	3	A.Cunn. ex G.Don
94=	3	Aiton ex A.Cunn.
94=	3	Baill.
94=	3	Boitard
94=	3	Borowski
94=	3	Coues
94=	3	De Vis
94=	3	De Wild.
94=	3	Dubois
94=	3	Dumont
94=	3	Duméril & Bibron
94=	3	Euphrasen
94=	3	F.Muell. ex R.T.Baker
94=	3	Forskål
94=	3	G.R. Gray
94=	3	Jameson
94=	3	Jardine & Selby
94=	3	Jordan
94=	3	Klunzinger
94=	3	Lacepède
94=	3	Maconochie
94=	3	McCulloch
94=	3	Mitchell
94=	3	Mueller
94=	3	Müller & Troschel
94=	3	Pontoppidan
94=	3	R.T. Baker
94=	3	Ramsay & Ogilby
94=	3	Reichenow
94=	3	Rendahl
94=	3	Schlegel
94=	3	Willd.
130=	2	(C.A. Gardner) L.A.S. Johnson
130=	2	(Diels) L.A.S. Johnson
130=	2	(Gaertn.) F.Muell.
130=	2	(L.) L.
130=	2	(Labill.) R.Br.
130=	2	(Lepechin) Garcke
130=	2	(Lindl.) Swingle
130=	2	(Nees) Benth.
130=	2	(Sol. ex Gaertn.) G.Don
130=	2	(Sol. ex Gaertn.) Sm.
130=	2	A. Cunn. ex G. Don
130=	2	A. Smith
130=	2	A.Cunn.
130=	2	Ahl
130=	2	Annandale
130=	2	Berkenhout
130=	2	Blume
130=	2	Boulenger
130=	2	Brehm
130=	2	Brünnich
130=	2	Cantor
130=	2	Collette & Russo
130=	2	Copland
130=	2	Cunn.
130=	2	Cuvier & Valenciennes
130=	2	DC.
130=	2	Dana
130=	2	De Wild
130=	2	Dietrichsen
130=	2	Ellis
130=	2	Erichson
130=	2	Fisher
130=	2	Garnot
130=	2	Gunnerus
130=	2	Gunther
130=	2	Haacke
130=	2	Herbst
130=	2	Hill
130=	2	Hombron & Jacquinot
130=	2	Horsefield
130=	2	J.F. Miller
