rank	count	N_FAMILY

1	738	NULL
2	107	MYRTACEAE
3	90	MACROPODIDAE
4	51	MIMOSACEAE
5	48	DASYATIDAE
6	41	ANATIDAE
7	40	CASUARINACEAE
8	39	FORMICIDAE
9	33	MURIDAE
10	31	DASYURIDAE
11	23	PROTEACEAE
12	22	Myrtaceae
13	21	RHINOBATIDAE
14	20	RUTACEAE
15=	19	Dasyuridae
15=	19	MYLIOBATIDAE
15=	19	Mimosaceae
15=	19	PERAMELIDAE
19=	18	Muridae
19=	18	VESPERTILIONIDAE
21=	17	CARCHARHINIDAE
21=	17	Poaceae
23	16	CHARADRIIDAE
24=	15	Bovidae
24=	15	EUPHORBIACEAE
24=	15	SIGANIDAE
27=	14	CHELIDAE
27=	14	SPARIDAE
29=	13	BOVIDAE
29=	13	CARANGIDAE
29=	13	MUGILIDAE
29=	13	POTOROIDAE
29=	13	SOLANACEAE
34=	12	MYOPORACEAE
34=	12	Macropodidae
34=	12	PSEUDOCHEIRIDAE
34=	12	SCOMBRIDAE
34=	12	TRIAKIDAE
34=	12	VOMBATIDAE
40=	11	LARIDAE
40=	11	MELANOTAENIIDAE
40=	11	SCOLOPACIDAE
43=	10	LAURACEAE
43=	10	PROCELLARIIDAE
43=	10	Tachyglossidae
46=	9	ARDEIDAE
46=	9	COMASTERIDAE
46=	9	FABACEAE
46=	9	MORACEAE
46=	9	PHASIANIDAE
46=	9	PROCELLARIDAE
52=	8	ACANTHURIDAE
52=	8	ARIIDAE
52=	8	CACATUIDAE
52=	8	CHAETODONTIDAE
52=	8	Elapidae
52=	8	LABRIDAE
52=	8	PHOCIDAE
52=	8	PLATYCEPHALIDAE
52=	8	SERRANIDAE
52=	8	TERAPONTIDAE
62=	7	ACCIPITRIDAE
62=	7	CASUARIIDAE
62=	7	DASYATIDIDAE
62=	7	MEGAPODIIDAE
62=	7	OLEACEAE
62=	7	PHALANGERIDAE
62=	7	PITTOSPORACEAE
62=	7	RHYNCHOBATIDAE
62=	7	UROLOPHIDAE
71=	6	EPACRIDACEAE
71=	6	HEMISCYLLIIDAE
71=	6	HYLIDAE
71=	6	LUTJANIDAE
71=	6	Macropidae
71=	6	PLOTOSIDAE
71=	6	PORTUNIDAE
