rank	count	N_NAME

1	31	Wallabia bicolor
2	28	Macropus dorsalis
3	25	Macropus robustus
4	22	Macropus giganteus
5	20	Eucalyptus sp.
6=	18	Gallus gallus
6=	18	Macropus rufogriseus
6=	18	Rattus fuscipes
9	17	Isoodon obesulus
10	16	Isoodon macrourus
11=	15	Cygnus atratus
11=	15	Ovis aries
11=	15	Tachyglossus aculeatus
14=	14	Bos taurus
14=	14	Macropus agilis
16	12	Thylogale stigmatica
17=	11	Antechinus swainsonii
17=	11	Pastinachus sephen
17=	11	Vombatus ursinus
20=	10	Himantura uarnak
20=	10	Lagorchestes conspicillatus
20=	10	Myliobatis australis
20=	10	Petrogale assimilis
20=	10	Trichosurus vulpecula
25=	9	Acacia sp.
25=	9	Aetobatus narinari
25=	9	Antechinus agilis
25=	9	Casuarina sp.
25=	9	Citrus sp.
25=	9	Iridomyrmex sp.
25=	9	Macropus rufus
32=	8	Dromaius novaehollandiae
32=	8	Himantura fai
32=	8	Lasiorhinus latifrons
32=	8	Macropus eugenii
32=	8	Mustelus antarcticus
32=	8	Perameles nasuta
32=	8	Petrogale lateralis
32=	8	Poaceae
32=	8	Rhynchobatus djiddensis
32=	8	Taeniura lymma
32=	8	Thylogale billardierii
32=	8	Thylogale thetis
44=	7	Cacatua galerita
44=	7	Leipoa ocellata
44=	7	Macronectes giganteus
44=	7	Macropus parryi
44=	7	Melaleuca sp.
44=	7	Mugil cephalus
50=	6	Acacia harpophylla
50=	6	Alectura lathami lathami
50=	6	Capra hircus
50=	6	Casuarina huegeliana
50=	6	Cherax sp.
50=	6	Chrysophrys auratus
50=	6	Dasyurus maculatus
50=	6	Dasyurus viverrinus
50=	6	Diomedea exulans
50=	6	Macropus antilopinus
50=	6	Melomys cervinipes
50=	6	Menura novaehollandiae
50=	6	Neoarius graeffei
50=	6	Potorous tridactylus
50=	6	Trygonorrhina fasciata
65=	5	Acacia longifolia
65=	5	Acanthopagrus australis
65=	5	Anseranas semipalmata
65=	5	Avicennia marina
65=	5	Canis familiaris
65=	5	Casuarina cunninghamiana
65=	5	Chaetodon auriga
65=	5	Charadrius ruficapillus
65=	5	Columba livia
65=	5	Coturnix chinensis victoriae
65=	5	Dasyurus hallucatus
65=	5	Diomedea melanophrys
65=	5	Egretta novaehollandiae
65=	5	Fulica atra atra
65=	5	Homo sapiens
65=	5	Hydromys chrysogaster
65=	5	Hydrurga leptonyx
65=	5	Macropus fuliginosus
65=	5	Macropus irma
65=	5	Melanotaenia splendida splendida
65=	5	Nebrius ferrugineus
65=	5	Papyrius nitidus
65=	5	Petrogale godmani
65=	5	Platycephalus bassensis
65=	5	Pluvialis squatarola
65=	5	Pseudechis porphyriacus
65=	5	Saccharum officinarum
65=	5	Scythrops novaehollandiae
65=	5	Setonix brachyurus
65=	5	Uromys caudimaculatus
95=	4	Acacia mearnsii
95=	4	Acacia pendula
95=	4	Aepyprymnus rufescens
95=	4	Anas gibberifrons
95=	4	Argyrosomus hololepidotus
95=	4	Banksia integrifolia
95=	4	Cereopsis novaehollandiae
95=	4	Chelodina longicollis
95=	4	Citrus sinensis
95=	4	Comanthus annulatus
95=	4	Crocodylus porosus
95=	4	Daption capense
95=	4	Eudyptes chrysocome
95=	4	Felis catus
95=	4	Gallinula ventralis
95=	4	Hemibelideus lemuroides
95=	4	Himantopus himantopus leucocephalus
95=	4	Iridomyrmex rufoniger
95=	4	Leptospermum laevigatum
95=	4	Lutjanus carponotatus
95=	4	Melaleuca leucadendron
95=	4	Miniopterus schreibersii
95=	4	Mus musculus
95=	4	Myrmecobius fasciatus
95=	4	Onychogalea fraenata
95=	4	Onychogalea unguifera
95=	4	Oryctolagus cuniculus
95=	4	Pelagodroma marina
95=	4	Pelecanus conspicillatus
95=	4	Petrogale herberti
95=	4	Platalea flavipes
95=	4	Pseudocheirus peregrinus
95=	4	Puffinus opisthomelas
95=	4	Rattus sordidus
95=	4	Rhynchobatus laevis
95=	4	Rhytidoponera metallica
95=	4	Thalassoica antarctica
95=	4	Vanellus miles
133=	3	Acacia cambagei
133=	3	Acacia decurrens
133=	3	Aldrichetta forsteri
133=	3	Allocasuarina verticillata
133=	3	Anas platyrhynchos platyrhynchos
133=	3	Antechinus flavipes
133=	3	Antechinus stuartii
133=	3	Aquila chrysaetos
133=	3	Araucaria cunninghamii
133=	3	Arctocephalus pusillus
133=	3	Austrelaps superbus
133=	3	Bettongia gaimardi
133=	3	Biziura lobata
133=	3	Cacatua roseicapilla
133=	3	Callistemon salignus
133=	3	Callitris gracilis
133=	3	Calyptorhynchus funereus
133=	3	Camelus dromedarius
133=	3	Casuarina cristata
133=	3	Chiloscyllium punctatum
133=	3	Citrus
133=	3	Corvus orru cecilae
133=	3	Crinia tasmaniensis
133=	3	Cygnus olor
133=	3	Dacelo novaeguineae
133=	3	Dasyatis fluviorum
133=	3	Dasyurus geoffroii
133=	3	Dendrocygna eytoni
133=	3	Dryandra floribunda
133=	3	Emydura sp.
133=	3	Eucalyptus globulus
133=	3	Fulica atra
133=	3	Gallinula mortierii
133=	3	Gymnobelideus leadbeateri
133=	3	Hakea sp.
133=	3	Hemipristis elongata
133=	3	Hydrolagus ogilbyi
133=	3	Larus dominicanus
133=	3	Leptonychotes weddelli
133=	3	Lethrinus miniatus
133=	3	Macropus parma
133=	3	Macropus robustus woodwardi
133=	3	Macropus rufogriseus rufogriseus
133=	3	Megapodius reinwardt reinwardt
133=	3	Megaptera novaeangliae
133=	3	Melanotaenia trifasciata
133=	3	Miniopterus sp.
133=	3	Mola mola
133=	3	Neotrygon kuhlii
133=	3	Nothofagus cunninghamii
133=	3	Pagodroma nivea
133=	3	Pandanus odoratissimus
133=	3	Pelecanoides urinatrix
133=	3	Petrogale brachyotis
133=	3	Phalacrocorax sulcirostris
133=	3	Phaps chalcoptera
133=	3	Phaps chalcoptera chalcoptera
133=	3	Phascogale tapoatafa
133=	3	Platalea leucorodia
133=	3	Platycercus eximius
133=	3	Pristiophorus cirratus
133=	3	Pterodroma mollis
133=	3	Ptilonorhynchus violaceus
133=	3	Rattus lutreolus
133=	3	Rattus sp.
133=	3	Rattus tunneyi
133=	3	Recurvirostra avosetta
133=	3	Rhina ancylostoma
133=	3	Rhinoptera sp.
133=	3	Sarcophilus harrisii
133=	3	Scomberomorus commerson
133=	3	Scoteanax rueppellii
133=	3	Seriolella brama
133=	3	Siganus fuscescens
133=	3	Sphyraena obtusata
133=	3	Sphyrna mokarran
133=	3	Struthio camelus
133=	3	Sturnus vulgaris
133=	3	Sus scrofa
133=	3	Sutorectus tentaculatus
133=	3	Syzygium sp.
133=	3	Threskiornis spinicollis
133=	3	Trichosurus caninus
133=	3	Triodia
133=	3	Trygonoptera testacea
