rank	count	N_SPECIES

1	175	sp.
2	33	novaehollandiae
3=	31	australis
3=	31	bicolor
5=	29	dorsalis
5=	29	giganteus
5=	29	robustus
8	26	NULL
9=	23	agilis
9=	23	rufogriseus
11	19	fuscipes
12=	18	gallus
12=	18	obesulus
14=	16	atratus
14=	16	macrourus
16=	15	aculeatus
16=	15	aries
16=	15	conspicillatus
19=	14	stigmatica
19=	14	taurus
21	13	assimilis
22=	12	maculatus
22=	12	swainsonii
24=	11	lateralis
24=	11	sephen
24=	11	uarnak
24=	11	ursinus
24=	11	vulpecula
29	10	narinari
30=	9	alba
30=	9	antarcticus
30=	9	marina
30=	9	rufus
34=	8	atra
34=	8	billardierii
34=	8	brachyurus
34=	8	chinensis
34=	8	djiddensis
34=	8	eugenii
34=	8	exulans
34=	8	fai
34=	8	fuliginosus
34=	8	galerita
34=	8	lathami
34=	8	latifrons
34=	8	lymma
34=	8	minor
34=	8	nasuta
34=	8	thetis
50=	7	auratus
50=	7	cephalus
50=	7	cunninghamii
50=	7	fasciata
50=	7	flavipes
50=	7	forsteri
50=	7	gracilis
50=	7	graeffei
50=	7	himantopus
50=	7	huegeliana
50=	7	livia
50=	7	longifolia
50=	7	miles
50=	7	ocellata
50=	7	parryi
50=	7	tridactylus
66=	6	antarctica
66=	6	antilopinus
66=	6	cervinipes
66=	6	chalcoptera
66=	6	familiaris
66=	6	fasciatus
66=	6	glauca
66=	6	hallucatus
66=	6	harpophylla
66=	6	hircus
66=	6	laevis
66=	6	splendida
66=	6	viverrinus
66=	6	vulgaris
80=	5	annulatus
80=	5	auriga
80=	5	bassensis
80=	5	caudimaculatus
80=	5	chrysogaster
80=	5	cunninghamiana
80=	5	falcinellus
80=	5	ferrugineus
80=	5	floribunda
80=	5	godmani
80=	5	integrifolia
80=	5	irma
80=	5	leptonyx
80=	5	leucogaster
80=	5	lineatus
80=	5	macquarii
80=	5	melanophrys
80=	5	nitidus
80=	5	officinarum
80=	5	pacificus
80=	5	penicillata
80=	5	porphyriacus
80=	5	rufescens
80=	5	ruficapillus
80=	5	sapiens
80=	5	semipalmata
80=	5	squatarola
80=	5	typus
80=	5	ventralis
109=	4	avosetta
109=	4	brevirostris
109=	4	capense
109=	4	carbo
109=	4	carponotatus
109=	4	catus
109=	4	chrysocome
109=	4	cirratus
109=	4	cristatus
109=	4	cuniculus
109=	4	fraenata
109=	4	fuscescens
109=	4	gallopavo
109=	4	gibberifrons
109=	4	glacialis
109=	4	grandis
109=	4	herberti
109=	4	hololepidotus
109=	4	laevigatum
109=	4	leadbeateri
109=	4	lemuroides
109=	4	leucadendron
109=	4	leucorodia
109=	4	longicollis
109=	4	lutea
109=	4	mearnsii
109=	4	metallica
109=	4	molucca
109=	4	moorei
109=	4	musculus
109=	4	novaeseelandiae
109=	4	opisthomelas
109=	4	ostralegus
109=	4	pendula
109=	4	peregrinus
109=	4	porosus
109=	4	pumilus
109=	4	rufoniger
109=	4	schreibersii
109=	4	sinensis
109=	4	sordidus
109=	4	sulcirostris
109=	4	tasmaniensis
109=	4	unguifera
109=	4	varius
109=	4	viridis
