rank	count	N_YEAR

1	920	NULL
2	265	1758
3	88	1790
4	73	1801
5	57	1775
6	51	1841
7	49	1837
8	47	1789
9	44	1842
10	41	1792
11	31	1840
12	30	1838
13	28	1817
14	22	1829
15=	21	1804
15=	21	1824
15=	21	1858
15=	21	1867
19	20	1839
20=	19	1794
20=	19	1831
22=	18	1822
22=	18	1912
24	17	1844
25=	16	1788
25=	16	1800
27=	15	1783
27=	15	1797
27=	15	1830
27=	15	1881
31=	14	1864
31=	14	1866
31=	14	1982
34	13	1766
35=	12	1826
35=	12	1835
35=	12	1860
35=	12	1870
35=	12	1877
40=	11	1820
40=	11	1828
40=	11	1862
40=	11	1906
44=	10	1836
44=	10	1845
44=	10	1852
44=	10	1882
48=	9	1827
48=	9	1848
48=	9	1884
51=	8	1781
51=	8	1782
51=	8	1823
51=	8	1859
51=	8	1878
56=	7	1815
56=	7	1816
56=	7	1818
56=	7	1819
56=	7	1821
56=	7	1843
56=	7	1865
56=	7	1871
56=	7	1904
56=	7	1998
66=	6	1764
66=	6	1769
66=	6	1786
66=	6	1793
66=	6	1810
66=	6	1846
66=	6	1888
66=	6	1898
66=	6	1916
75=	5	1785
75=	5	1825
75=	5	1833
75=	5	1883
79=	4	1761
79=	4	1777
79=	4	1778
79=	4	1796
79=	4	1798
79=	4	1802
79=	4	1832
79=	4	1834
79=	4	1850
79=	4	1872
79=	4	1880
79=	4	1886
79=	4	1887
79=	4	1901
79=	4	1908
79=	4	1913
79=	4	1915
79=	4	1923
97=	3	1763
97=	3	1787
97=	3	1791
97=	3	1803
97=	3	1854
97=	3	1855
97=	3	1856
97=	3	1857
97=	3	1873
97=	3	1875
97=	3	1893
97=	3	1894
97=	3	1922
97=	3	1938
111=	2	1717
111=	2	1770
111=	2	1795
111=	2	1805
111=	2	1806
111=	2	1811
111=	2	1812
111=	2	1813
111=	2	1863
111=	2	1869
111=	2	1879
111=	2	1885
111=	2	1889
111=	2	1895
111=	2	1902
111=	2	1903
111=	2	1909
111=	2	1911
111=	2	1926
111=	2	1931
111=	2	1932
111=	2	1942
111=	2	1943
111=	2	1956
111=	2	1957
111=	2	1958
111=	2	1966
111=	2	1969
111=	2	1980
140=	1	1755
140=	1	1765
140=	1	1767
140=	1	1773
140=	1	1776
140=	1	1784
140=	1	1799
140=	1	1808
140=	1	1809
140=	1	1847
140=	1	1849
140=	1	1851
140=	1	1853
140=	1	1861
140=	1	1876
140=	1	1890
140=	1	1891
140=	1	1892
140=	1	1896
140=	1	1897
140=	1	1899
140=	1	1907
140=	1	1910
140=	1	1914
140=	1	1919
140=	1	1920
140=	1	1921
140=	1	1925
140=	1	1928
140=	1	1929
140=	1	1930
140=	1	1934
140=	1	1935
140=	1	1936
140=	1	1937
140=	1	1939
140=	1	1944
140=	1	1948
140=	1	1949
140=	1	1954
140=	1	1964
140=	1	1967
140=	1	1972
140=	1	1974
140=	1	1976
140=	1	1986
140=	1	1987
140=	1	1992
140=	1	2001
140=	1	2005

2665	TOTAL
