rank	count	cc_attributionURL

1	18	http://biodiversity.org.au/afd.taxon/9a51c90e-ec94-4ab6-9ddc-e07ab99ae90c
2	8	http://biodiversity.org.au/afd.taxon/52046641-c09a-48b4-9a6f-1cd068c57e5f
3	6	http://biodiversity.org.au/afd.taxon/d4980ca8-ad60-4b5f-96ab-e17c899a77cf
4=	5	http://biodiversity.org.au/afd.taxon/9a355f76-6911-4363-bf83-2f3c20b80344
4=	5	http://biodiversity.org.au/afd.taxon/bd08f9d9-09f6-4919-9266-8aa609640ec2
6=	4	http://biodiversity.org.au/afd.taxon/1b2c3c48-3e74-4728-a0b2-910633f1765d
6=	4	http://biodiversity.org.au/afd.taxon/27cd554d-2dd5-4f13-b572-3203fd76beb0
6=	4	http://biodiversity.org.au/afd.taxon/50ec8762-c534-45b2-9c3d-3d303a44ff3e
6=	4	http://biodiversity.org.au/afd.taxon/78744d0f-22b0-42ec-88ab-8ce41f29b43c
6=	4	http://biodiversity.org.au/afd.taxon/8c5ff7e3-bba6-4dd0-b28c-3a9691f6432c
6=	4	http://biodiversity.org.au/afd.taxon/9398c3fe-1328-4265-88cd-2a8b47d7c890
6=	4	http://biodiversity.org.au/afd.taxon/b5ed02af-39a3-4f66-b932-2ca92fda4240
13=	3	http://biodiversity.org.au/afd.taxon/0f2740ff-46a3-47f8-ac7f-7bb589d4f30a
13=	3	http://biodiversity.org.au/afd.taxon/269eced8-57ee-4325-a3d5-da14a4a7b56a
13=	3	http://biodiversity.org.au/afd.taxon/2f70ca6e-735a-457f-8f4a-082a8ac33b33
13=	3	http://biodiversity.org.au/afd.taxon/3512f025-d11d-46c9-8238-e2aeee11f8a1
13=	3	http://biodiversity.org.au/afd.taxon/37b34d4e-643a-4561-b64e-e75a7359f682
13=	3	http://biodiversity.org.au/afd.taxon/3b3fff56-90d0-48a1-b6cc-44ba6dbdad63
13=	3	http://biodiversity.org.au/afd.taxon/3eccf4cb-55fa-49f8-ac90-e938994f9f2e
13=	3	http://biodiversity.org.au/afd.taxon/4e6444ca-82b4-43f3-acea-0cc2e1edef4c
13=	3	http://biodiversity.org.au/afd.taxon/514b3e6e-ad13-4fad-8705-b82df284881a
13=	3	http://biodiversity.org.au/afd.taxon/922d35c1-200a-48ae-b076-aab4f2b67878
13=	3	http://biodiversity.org.au/afd.taxon/938cea0d-de85-425c-9e0c-855c2b8e4285
13=	3	http://biodiversity.org.au/afd.taxon/ab0f2035-a92c-4bec-a543-0dd9b4ff9413
13=	3	http://biodiversity.org.au/afd.taxon/e2335c87-1f07-42bd-983c-84885ad8f6be
13=	3	http://biodiversity.org.au/afd.taxon/ecccbc1a-bee1-48c6-ae5d-42db7f9353fa
13=	3	http://biodiversity.org.au/afd.taxon/f5379c19-ca35-4d3f-93c1-cf641b3e3616
13=	3	http://biodiversity.org.au/afd.taxon/f8abd035-85be-49a0-80ad-23bc8d6e209f
29=	2	http://biodiversity.org.au/afd.taxon/029400a8-7a71-4739-ac60-446b54d59e7f
29=	2	http://biodiversity.org.au/afd.taxon/03e6371b-260c-4c9b-b017-b3841308147c
29=	2	http://biodiversity.org.au/afd.taxon/046b19eb-1c4d-400f-9dae-84e5e33ea168
29=	2	http://biodiversity.org.au/afd.taxon/05a8e020-efea-4b9b-babc-11264698a526
29=	2	http://biodiversity.org.au/afd.taxon/08a48d37-8a6b-474e-87a9-db88ec0695a8
29=	2	http://biodiversity.org.au/afd.taxon/0da57be1-bfb7-485c-9ec1-0483596e54e9
29=	2	http://biodiversity.org.au/afd.taxon/11b38169-417c-452f-b95d-ccd4e2342f6a
29=	2	http://biodiversity.org.au/afd.taxon/15efee80-800e-49b2-a63c-c3b70123b332
29=	2	http://biodiversity.org.au/afd.taxon/162db43f-f597-4b88-ada5-025219ece5a0
29=	2	http://biodiversity.org.au/afd.taxon/1b9f3c7d-7635-4384-9827-b900d0b37931
29=	2	http://biodiversity.org.au/afd.taxon/1daf988d-7556-45d7-b42d-f2e930dcc6b9
29=	2	http://biodiversity.org.au/afd.taxon/262cd6f3-8664-4a45-865a-2f2f82b47292
29=	2	http://biodiversity.org.au/afd.taxon/276ad7b4-1a39-4dec-bcb7-044aabf49644
29=	2	http://biodiversity.org.au/afd.taxon/27b83f68-affc-438a-b0c4-0f25546a5f7c
29=	2	http://biodiversity.org.au/afd.taxon/2c5cbb03-806b-4fb6-8d74-20d6e4ba0619
29=	2	http://biodiversity.org.au/afd.taxon/2d2ada37-e4fb-40b6-9bcc-e23aa9de7cbb
29=	2	http://biodiversity.org.au/afd.taxon/2d8d2b31-6f3d-48c7-aef2-427a539e4c18
29=	2	http://biodiversity.org.au/afd.taxon/3028c4c3-f783-4bb4-9017-25b09d0a4026
