name	family	interaction	host name	host family	source
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Acanthophis antarcticus	Elapidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Acanthophis pyrrhus	Elapidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Ctenophorus nuchalis	Agamidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Echiopsis curta	Elapidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Liasis olivaceus	Boidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Moloch horridus	Agamidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Pseudechis australis	Elapidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Pseudonaja affinis	Elapidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Pseudonaja modesta	Elapidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Pseudonaja nuchalis	Elapidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Pseudonaja textilis	Elapidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Simoselaps bertholdi	Elapidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Suta fasciata	Elapidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Suta punctata	Elapidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Varanus acanthurus	Varanidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Varanus giganteus	Varanidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Varanus glauerti	Varanidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Varanus glebopalma	Varanidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Varanus gouldii	Varanidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Varanus mertensi	Varanidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Varanus mitchelli	Varanidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Varanus panoptes	Varanidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Varanus scalaris	Varanidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Varanus storri	Varanidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Varanus tristis	Varanidae	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata aechmespiculum	Heterakidae	Associate:Consumer:Parasite	Acanthophis antarcticus	Elapidae	http://biodiversity.org.au/afd/taxa/2de9469d-f9c2-4710-a3aa-db3348b609d2	
